train_start,train_end,cal_year,valid_year,strategy,segment,n,brier,logloss,pred_mean,pred_std,actual_rate,global_prior,raw_r_prior,raw_f_prior,alpha_R,alpha_F,shrunk_r_prior,shrunk_f_prior,current_brier,improvement_vs_current
2019,2020,2021,2022,current_best_global_prior_w075,overall,247472,0.24912154696639416,0.6913893124636288,0.5177957148260307,0.005186253854513755,0.5289204435249241,0.5114727049981269,0.492998577985432,0.62,0.0,0.0,0.5114727049981269,0.5114727049981269,0.24912154696639416,0.0
2019,2020,2021,2022,current_best_global_prior_w075,R,217024,0.25001680498395584,0.693180807463604,0.5177700536277476,0.005153826714890152,0.5036908360365674,0.5114727049981269,0.492998577985432,0.62,0.0,0.0,0.5114727049981269,0.5114727049981269,0.24912154696639416,-0.0008952580175616842
2019,2020,2021,2022,current_best_global_prior_w075,F,30448,0.2427404225574575,0.6786200858847196,0.5179786199723838,0.005408233652903498,0.7087493431424067,0.5114727049981269,0.492998577985432,0.62,0.0,0.0,0.5114727049981269,0.5114727049981269,0.24912154696639416,0.00638112440893665
2019,2020,2021,2022,fixed_alpha_0.05,overall,247472,0.24891584930257812,0.6909772317557227,0.517688901247739,0.005436811596600263,0.5289204435249241,0.5114727049981269,0.492998577985432,0.62,0.05,0.05,0.5105489986474921,0.5168990697482205,0.24912154696639416,0.0002056976638160346
2019,2020,2021,2022,fixed_alpha_0.05,R,217024,0.2499977773337044,0.6931427254737507,0.5170772738647716,0.005153826714890152,0.5036908360365674,0.5114727049981269,0.492998577985432,0.62,0.05,0.05,0.5105489986474921,0.5168990697482205,0.24912154696639416,-0.0008762303673102434
2019,2020,2021,2022,fixed_alpha_0.05,F,30448,0.2412041983229686,0.6755422570887062,0.5220483935349539,0.005408233652903498,0.7087493431424067,0.5114727049981269,0.492998577985432,0.62,0.05,0.05,0.5105489986474921,0.5168990697482205,0.24912154696639416,0.007917348643425554
2019,2020,2021,2022,fixed_alpha_0.10,overall,247472,0.24871506913470692,0.6905747361688999,0.5175820876694475,0.006092231881196041,0.5289204435249241,0.5114727049981269,0.492998577985432,0.62,0.1,0.1,0.5096252922968575,0.5223254344983143,0.24912154696639416,0.0004064778316872353
2019,2020,2021,2022,fixed_alpha_0.10,R,217024,0.24997970957105298,0.693106568138567,0.5163844941017957,0.005153826714890152,0.5036908360365674,0.5114727049981269,0.492998577985432,0.62,0.1,0.1,0.5096252922968575,0.5223254344983143,0.24912154696639416,-0.0008581626046588187
2019,2020,2021,2022,fixed_alpha_0.10,F,30448,0.23970110020218083,0.6725286148675003,0.5261181670975242,0.005408233652903498,0.7087493431424067,0.5114727049981269,0.492998577985432,0.62,0.1,0.1,0.5096252922968575,0.5223254344983143,0.24912154696639416,0.00942044676421333
2019,2020,2021,2022,fixed_alpha_0.15,overall,247472,0.2485192064627807,0.6901817883774556,0.5174752740911559,0.007040336349597358,0.5289204435249241,0.5114727049981269,0.492998577985432,0.62,0.15,0.15,0.5087015859462226,0.5277517992484079,0.24912154696639416,0.0006023405036134633
2019,2020,2021,2022,fixed_alpha_0.15,R,217024,0.24996260169600146,0.6930723349617585,0.5156917143388196,0.005153826714890152,0.5036908360365674,0.5114727049981269,0.492998577985432,0.62,0.15,0.15,0.5087015859462226,0.5277517992484079,0.24912154696639416,-0.000841054729607299
2019,2020,2021,2022,fixed_alpha_0.15,F,30448,0.2382311281950943,0.6695788593866598,0.5301879406600944,0.005408233652903498,0.7087493431424067,0.5114727049981269,0.492998577985432,0.62,0.15,0.15,0.5087015859462226,0.5277517992484079,0.24912154696639416,0.01089041877129987
2019,2020,2021,2022,sample_size_lambda_50000,overall,247472,0.2469511299705207,0.6870171297410976,0.5125124383170122,0.020977513060909038,0.5289204435249241,0.5114727049981269,0.492998577985432,0.62,0.9289498215219517,0.5995514976773987,0.4943111680069101,0.5765404072553768,0.24912154696639416,0.0021704169958734476
2019,2020,2021,2022,sample_size_lambda_50000,R,217024,0.24982004003665242,0.6927872089193297,0.5048989008843352,0.005153826714890152,0.5036908360365674,0.5114727049981269,0.492998577985432,0.62,0.9289498215219517,0.5995514976773987,0.4943111680069101,0.5765404072553768,0.24912154696639416,-0.0006984930702582659
2019,2020,2021,2022,sample_size_lambda_50000,F,30448,0.22650241944135055,0.6458897761028738,0.5667793966653212,0.005408233652903497,0.7087493431424067,0.5114727049981269,0.492998577985432,0.62,0.9289498215219517,0.5995514976773987,0.4943111680069101,0.5765404072553768,0.24912154696639416,0.02261912752504361
2019,2020,2021,2022,sample_size_lambda_100000,overall,247472,0.24746502579014146,0.6880599958463488,0.5115443426159496,0.016308735556988165,0.5289204435249241,0.5114727049981269,0.492998577985432,0.62,0.8673261441793326,0.4281139197071943,0.495449611649127,0.5579347506565977,0.24912154696639416,0.001656521176252701
2019,2020,2021,2022,sample_size_lambda_100000,R,217024,0.24982283203760405,0.6927927883981546,0.5057527336159978,0.005153826714890152,0.5036908360365674,0.5114727049981269,0.492998577985432,0.62,0.8673261441793326,0.4281139197071943,0.495449611649127,0.5579347506565977,0.24912154696639416,-0.000701285071209895
2019,2020,2021,2022,sample_size_lambda_100000,F,30448,0.2306593064309279,0.6543261029547606,0.5528251542162368,0.005408233652903498,0.7087493431424067,0.5114727049981269,0.492998577985432,0.62,0.8673261441793326,0.4281139197071943,0.495449611649127,0.5579347506565977,0.24912154696639416,0.018462240535466246
2019,2020,2021,2022,sample_size_lambda_300000,overall,247472,0.24823557686177486,0.6896129868319525,0.5114668970791577,0.009980520715502967,0.5289204435249241,0.5114727049981269,0.492998577985432,0.62,0.6854449067239297,0.19970122178946806,0.4988097087311042,0.533145738407507,0.24912154696639416,0.0008859701046192991
2019,2020,2021,2022,sample_size_lambda_300000,R,217024,0.2498395750686392,0.6928262583605558,0.5082728064274807,0.005153826714890152,0.5036908360365674,0.5114727049981269,0.492998577985432,0.62,0.6854449067239297,0.19970122178946806,0.4988097087311042,0.533145738407507,0.24912154696639416,-0.0007180281022450552
2019,2020,2021,2022,sample_size_lambda_300000,F,30448,0.23680276988441906,0.6667097734772631,0.5342333950294188,0.005408233652903498,0.7087493431424067,0.5114727049981269,0.492998577985432,0.62,0.6854449067239297,0.19970122178946806,0.4988097087311042,0.533145738407507,0.24912154696639416,0.012318777081975096
2019,2020,2021,2022,volatility_k_5,overall,247472,0.24712925379644657,0.6873794171951244,0.5121794096853746,0.019292471684908875,0.5289204435249241,0.5114727049981269,0.492998577985432,0.62,0.9058396096317786,0.5382571442526181,0.49473810899665943,0.5698882968792965,0.24912154696639416,0.00199229316994759
2019,2020,2021,2022,volatility_k_5,R,217024,0.2498209162269725,0.6927889596991049,0.5052191066266472,0.005153826714890152,0.5036908360365674,0.5114727049981269,0.492998577985432,0.62,0.9058396096317786,0.5382571442526181,0.49473810899665943,0.5698882968792965,0.24912154696639416,-0.0006993692605783419
2019,2020,2021,2022,volatility_k_5,F,30448,0.22794391001943445,0.6488218583280772,0.5617903138832611,0.005408233652903498,0.7087493431424067,0.5114727049981269,0.492998577985432,0.62,0.9058396096317786,0.5382571442526181,0.49473810899665943,0.5698882968792965,0.24912154696639416,0.021177636946959705
2019,2020,2021,2022,volatility_k_10,overall,247472,0.2476572074598169,0.6884483276388021,0.511423863724308,0.014631501519880337,0.5289204435249241,0.5114727049981269,0.492998577985432,0.62,0.8278855802182103,0.3682297075277373,0.4961782416371971,0.5514356790954431,0.24912154696639416,0.0014643395065772613
2019,2020,2021,2022,volatility_k_10,R,217024,0.24982538421040063,0.6927978894787189,0.5062992061070504,0.005153826714890152,0.5036908360365674,0.5114727049981269,0.492998577985432,0.62,0.8278855802182103,0.3682297075277373,0.4961782416371971,0.5514356790954431,0.24912154696639416,-0.0007038372440064666
2019,2020,2021,2022,volatility_k_10,F,30448,0.23220310896012297,0.6574459856542361,0.547950850545371,0.005408233652903498,0.7087493431424067,0.5114727049981269,0.492998577985432,0.62,0.8278855802182103,0.3682297075277373,0.4961782416371971,0.5514356790954431,0.24912154696639416,0.016918438006271186
2019,2020,2021,2022,volatility_k_20,overall,247472,0.24814312936319632,0.6894271606578399,0.5114732639537899,0.01066264538933772,0.5289204435249241,0.5114727049981269,0.492998577985432,0.62,0.7063180575598893,0.22566271075436717,0.49842409549140554,0.5359632685790885,0.24912154696639416,0.0009784176031978342
2019,2020,2021,2022,volatility_k_20,R,217024,0.24983700840835274,0.692821126921221,0.5079835964977067,0.005153826714890152,0.5036908360365674,0.5114727049981269,0.492998577985432,0.62,0.7063180575598893,0.22566271075436717,0.49842409549140554,0.5359632685790885,0.24912154696639416,-0.0007154614419585814
2019,2020,2021,2022,volatility_k_20,F,30448,0.23606967935347395,0.6652360106859546,0.5363465426581049,0.005408233652903498,0.7087493431424067,0.5114727049981269,0.492998577985432,0.62,0.7063180575598893,0.22566271075436717,0.49842409549140554,0.5359632685790885,0.24912154696639416,0.01305186761292021
2019,2020,2021,2022,volatility_k_50,overall,247472,0.24860423151098351,0.6903529194828617,0.5128834292522714,0.007267397609990546,0.5289204435249241,0.5114727049981269,0.492998577985432,0.62,0.49032059876453776,0.10440068991645024,0.5024144599796102,0.5228030294710886,0.24912154696639416,0.000517315455410644
