candidate_name,model_label,valid_year,feature_seconds,train_seconds,inference_seconds
BASE,v2_params,2022,13.889991044998169,7.764289855957031,0.07759952545166016
BASE,v2_params,2023,18.83884572982788,11.01192307472229,0.08551597595214844
BASE,v2_params,2024,24.25888752937317,15.644276857376099,0.10042142868041992
A_recent_vs_longterm,v2_params,2022,13.537200689315796,9.58402132987976,0.09665536880493164
A_recent_vs_longterm,v2_params,2023,18.64519500732422,13.180333137512207,0.10569953918457031
A_recent_vs_longterm,v2_params,2024,23.92744541168213,17.238972425460815,0.08013081550598145
B_recent_trend,v2_params,2022,13.790867567062378,9.037085771560669,0.09380483627319336
B_recent_trend,v2_params,2023,18.995017051696777,12.932735919952393,0.08378028869628906
B_recent_trend,v2_params,2024,23.76435613632202,16.927106857299805,0.08139801025390625
C_skill_decomposition,v2_params,2022,13.317434310913086,9.031009197235107,0.09273695945739746
C_skill_decomposition,v2_params,2023,18.17114496231079,12.872619867324829,0.09240078926086426
C_skill_decomposition,v2_params,2024,23.61449360847473,16.96901845932007,0.08658480644226074
D_pitcher_batter,v2_params,2022,13.534153461456299,9.18309211730957,0.09059453010559082
D_pitcher_batter,v2_params,2023,18.26295304298401,13.315205812454224,0.0885157585144043
D_pitcher_batter,v2_params,2024,23.671916007995605,17.144537448883057,0.07738590240478516
E_recent_context,v2_params,2022,13.449062824249268,9.345175981521606,0.09885501861572266
E_recent_context,v2_params,2023,18.136040687561035,13.24790906906128,0.0981912612915039
E_recent_context,v2_params,2024,23.411606550216675,17.250069618225098,0.09956836700439453
P_pitchmix,v2_params,2022,13.437452793121338,9.372214078903198,0.07175040245056152
P_pitchmix,v2_params,2023,17.9361355304718,13.677938461303711,0.09851717948913574
P_pitchmix,v2_params,2024,23.05988121032715,17.542004108428955,0.09223294258117676
A_B_recent_combo,v2_params,2022,14.097773790359497,11.551013469696045,0.10314249992370605
A_B_recent_combo,v2_params,2023,18.916699171066284,14.152254104614258,0.08635759353637695
A_B_recent_combo,v2_params,2024,24.16226553916931,18.27443528175354,0.09708571434020996
A_C_skill_combo,v2_params,2022,13.7443528175354,10.436648607254028,0.10365009307861328
A_C_skill_combo,v2_params,2023,18.29932475090027,13.574543476104736,0.08352160453796387
A_C_skill_combo,v2_params,2024,23.975098371505737,18.368215799331665,0.09470725059509277
A_D_env_combo,v2_params,2022,13.799192428588867,10.429602146148682,0.09863090515136719
A_D_env_combo,v2_params,2023,18.55283546447754,13.69430923461914,0.09512972831726074
A_D_env_combo,v2_params,2024,23.678017139434814,18.10599684715271,0.09058833122253418
A_E_context_combo,v2_params,2022,13.81884217262268,10.397467851638794,0.10377216339111328
A_E_context_combo,v2_params,2023,18.523942232131958,14.91562533378601,0.08495831489562988
A_E_context_combo,v2_params,2024,23.98466205596924,18.50462007522583,0.08803343772888184
A_B_C_core,v2_params,2022,14.267268896102905,10.673620223999023,0.10331153869628906
A_B_C_core,v2_params,2023,18.98353624343872,14.265459775924683,0.08934378623962402
A_B_C_core,v2_params,2024,24.58173680305481,19.154548406600952,0.10567855834960938
A_B_D_core_env,v2_params,2022,14.319689273834229,10.715237140655518,0.10259389877319336
A_B_D_core_env,v2_params,2023,19.255674600601196,14.67726445198059,0.08578109741210938
A_B_D_core_env,v2_params,2024,24.228160619735718,18.962820291519165,0.09235405921936035
A_B_C_D_all_signal,v2_params,2022,14.53240418434143,11.583107471466064,0.1411733627319336
A_B_C_D_all_signal,v2_params,2023,19.25749707221985,15.411148071289062,0.08951115608215332
A_B_C_D_all_signal,v2_params,2024,24.69820761680603,19.609830379486084,0.1265420913696289
A_C_skill_combo_tuned_catboost,tuned_params,2022,13.750401496887207,17.83738422393799,0.09953784942626953
A_C_skill_combo_tuned_catboost,tuned_params,2023,18.278907299041748,23.87057065963745,0.09134697914123535
A_C_skill_combo_tuned_catboost,tuned_params,2024,23.135804653167725,30.98411798477173,0.10593271255493164
