candidate_name,model_label,families,mean_auc,worst_auc,mean_brier,worst_brier,mean_skill_margin,worst_skill_margin,mean_pseudo_score,positive_fold_count,mean_pred_std,auc_2022,brier_2022,pseudo_2022,skill_2022,pred_std_2022,high_minus_low_actual_rate_2022,auc_2023,brier_2023,pseudo_2023,skill_2023,pred_std_2023,high_minus_low_actual_rate_2023,auc_2024,brier_2024,pseudo_2024,skill_2024,pred_std_2024,high_minus_low_actual_rate_2024,delta_vs_v2_mean_auc,delta_vs_v2_auc_2022,delta_vs_v2_auc_2023,delta_vs_v2_auc_2024,delta_vs_v2_mean_brier,delta_vs_v2_brier_2022,delta_vs_v2_brier_2023,delta_vs_v2_brier_2024,delta_vs_v2_pseudo_2022,delta_vs_v2_pseudo_2023,delta_vs_v2_pseudo_2024,delta_vs_v2_skill_2023,success_flag,overall_corr_vs_v2,overall_mean_abs_diff_vs_v2,corr_vs_v2_2022,corr_vs_v2_2023,corr_vs_v2_2024,selection_note
A_C_skill_combo_tuned_catboost,tuned_params,AC,0.5210465360723192,0.5119081229141909,0.24973120514281236,0.250573402087554,-7.436085140523814e-05,-0.0005734039164422555,46.85072211795025,2,0.010559192707139961,0.5358209303340677,0.24885852990207563,122.44085192078367,0.0003050780442460377,0.011457179973486479,0.04539503458977179,0.5154105549686989,0.250573402087554,0.0,-0.0005734039164422555,0.014420885042770134,0.023146319460850384,0.5119081229141909,0.24976168343880747,18.11131443306706,4.5243317980503406e-05,0.005799513105163276,0.020390079130911898,0.001600897828832215,0.0035421933292494323,4.0070915951817554e-05,0.0012204292412953954,-2.9656065981820134e-05,-8.20275972013007e-05,5.373736558067499e-06,-1.231433730214393e-05,32.92117893034052,0.0,4.929541971481505,-5.373736558067499e-06,False,0.9963156683212885,0.0010637617369236422,0.9868799638553994,0.9886995625967511,0.993002700151349,Candidate B - highest discrimination
A_C_skill_combo,v2_params,AC,0.5201343410294029,0.5113917717905305,0.24974431170222275,0.25056028374366457,-8.746741081561149e-05,-0.0005602855725528044,39.83601661725039,2,0.010386631274063633,0.5335651236320256,0.24890951479808293,101.97843510657381,0.00025409314823873763,0.011177708655530859,0.04146731751470878,0.5154461276656528,0.25056028374366457,0.0,-0.0005602855725528044,0.014210282412197819,0.021810406620995204,0.5113917717905305,0.24976313656492075,17.529614745177362,4.379019186723232e-05,0.0057719027544622225,0.017723486097936392,0.0006887027859159289,0.0012863866272072588,7.564361290568478e-05,0.0007040781176350652,-1.6549506571428285e-05,-3.1042701194000655e-05,-7.744607331383602e-06,-1.0861211188872844e-05,12.458762116130657,0.0,4.347842283591806,7.744607331383602e-06,False,0.995772810676662,0.0011279904425908819,0.9857591394657617,0.9860624861215674,0.9916031644334501,
A_E_context_combo,v2_params,AE,0.5199445771376748,0.5109780768406268,0.24975083042435633,0.2505891615788537,-9.39861329491883e-05,-0.0005891634077419272,41.08512186999193,2,0.010416714888631872,0.5344262296379745,0.24889426039566162,108.10067845785694,0.00026934755066004845,0.011201951385773406,0.043019008211029885,0.5144294249344231,0.2505891615788537,0.0,-0.0005891634077419272,0.014354259281815796,0.019692496021224748,0.5109780768406268,0.24976906929855366,15.154687152118836,3.7857458234313857e-05,0.005693933998306412,0.01753414221393812,0.0004989388941878392,0.0021474926331561672,-0.0009410591183239836,0.000290383167731334,-1.0030784437842222e-05,-4.6297103615311475e-05,2.113322785773919e-05,-4.92847755595438e-06,18.58100546741379,0.0,1.9729146905332797,-2.113322785773919e-05,False,0.9963273206474066,0.0010431888933169174,0.9849095137567014,0.9894450432092315,0.9932682437714947,
A_B_C_D_all_signal,v2_params,ABCD,0.519800453992497,0.5110191339781389,0.249754428334071,0.25056886636457404,-9.758404266385634e-05,-0.0005688681934622741,36.92516086012932,2,0.010321087152573306,0.5329882950284367,0.24892782807528321,94.62853463305528,0.0002357798710384551,0.011018124646381171,0.04030354949246784,0.5153939329709152,0.25056886636457404,0.0,-0.0005688681934622741,0.014245002102682295,0.02133794964104635,0.5110191339781389,0.24976659056235573,16.14694794733267,4.0336194432250005e-05,0.0057001347086564486,0.017597256841937525,0.0003548157490099735,0.000709558023618384,2.3448918168078592e-05,0.0003314403052434578,-6.432874723183435e-06,-1.2729423993718125e-05,8.380135780861053e-07,-7.407213753890529e-06,5.108861642612126,0.0,2.965175485747114,-8.380135780861053e-07,False,0.9960414469121862,0.0010853236251195518,0.985543339250694,0.9872919770004417,0.9923144020403464,
A_D_env_combo,v2_params,AD,0.5197556119932956,0.5112916512399284,0.24975374855252788,0.2505773454646915,-9.690426112075416e-05,-0.0005773472935797497,38.33158981905833,2,0.010426415548218701,0.5332539138029615,0.24891945206516028,97.99018531389595,0.00024415588116138975,0.01108994961773022,0.042210835973362615,0.5147212709369968,0.2505773454646915,0.0,-0.0005773472935797497,0.014282599886447056,0.020653701601120622,0.5112916512399284,0.24976444812773188,17.00458414327904,4.247862905609745e-05,0.005906697140478827,0.018323075063930827,0.0003099737498085675,0.0009751767981431847,-0.0006492131157502801,0.0006039575670329089,-7.11265626629487e-06,-2.1105434116652777e-05,9.317113695561652e-06,-9.549648377737974e-06,8.470512323452795,0.0,3.8228116816934836,-9.317113695561652e-06,False,0.9959289890238386,0.0011150877427867606,0.9850453744273893,0.9872206804254285,0.9929219556380816,
A_recent_vs_longterm,v2_params,A,0.5197531934362689,0.5107338622335149,0.24975072238404283,0.2505524033282932,-9.387809263570561e-05,-0.0005524051571814403,36.211245798448594,2,0.01039344209533168,0.532534695750702,0.2489297807471689,93.84484398826973,0.00023382719915276962,0.011117475127045928,0.039349906252020395,0.5159910223245899,0.2505524033282932,0.0,-0.0005524051571814403,0.01439821992901953,0.023423277000820253,0.5107338622335149,0.24976998307666642,14.78889340707605,3.694368012155391e-05,0.005664631229929582,0.01668209473594595,0.00030755519278191645,0.0002559587458836887,0.0006205382718428298,4.616856061945285e-05,-1.0138824751343423e-05,-1.0776752108032639e-05,-1.5625022702747682e-05,-4.014699443194436e-06,4.325170997826575,0.0,1.6071209454904931,1.5625022702747682e-05,False,0.9961044036319908,0.001056626098005689,0.987206710138548,0.9867292437046891,0.9930707346853156,Candidate A - fold-stable; Candidate C - best 2023 loss
B_recent_trend,v2_params,B,0.5197025025372198,0.5112259121558996,0.24975743705464737,0.2505785977056474,-0.00010059276324025923,-0.0005785995345356232,37.02063736565021,2,0.010251465541809482,0.5331087995703551,0.24892382273983096,96.23604685575258,0.00023978520649070578,0.010948021371783688,0.039301415917760374,0.5147727958854047,0.2505785977056474,0.0,-0.0005785995345356232,0.014263704717160104,0.021028408861079928,0.5112259121558996,0.24976989071846384,14.825865241198054,3.703603832413971e-05,0.005542670536484654,0.01848086163392937,0.00025686429373283914,0.0008300625655367488,-0.0005976881673424028,0.0005382184830041714,-3.4241541468083003e-06,-1.6734759445968805e-05,1.0569354651435159e-05,-4.107057645780232e-06,6.716373865309421,0.0,1.6440927796124978,-1.0569354651435159e-05,False,0.9964285869578373,0.0010406921142763104,0.9857095249238087,0.9894150448617974,0.9924202416346912,
A_B_recent_combo,v2_params,AB,0.5196903402063998,0.5113059878788571,0.2497525580197499,0.25057372036183295,-9.5713728342763e-05,-0.0005737221907211876,38.32346114239349,2,0.010460200126256798,0.5325489304752129,0.24892232337294626,96.83780683870653,0.00024128457337541098,0.01120548181158755,0.0400126074869076,0.5152161022651297,0.25057372036183295,0.0,-0.0005737221907211876,0.014355552383498841,0.022657570860903364,0.5113059878788571,0.2497616303244705,18.132576588473945,4.529643231748759e-05,0.0058195661836839985,0.018354632377930558,0.00024470196291281887,0.0002701934703945863,-0.00015438178761739696,0.0006182942059616003,-8.303189044267523e-06,-1.8234126330674005e-05,5.69201083699955e-06,-1.2367451639128113e-05,7.318133848263372,0.0,4.950804126888389,-5.69201083699955e-06,False,0.9957063559252556,0.00115110895535085,0.9832776045686032,0.9872373531982286,0.9916103798327731,
A_B_C_core,v2_params,ABC,0.5196503622509253,0.5115772425302517,0.24975814402526664,0.2505703359204684,-0.00010129973385950009,-0.0005703377493566364,35.63072987899638,2,0.010324727555754934,0.5323815337769777,0.2489368202699942,91.01958275396707,0.00022678767632747232,0.010914773498334368,0.039123618025473594,0.5149923104455464,0.2505703359204684,0.0,-0.0005703377493566364,0.014323580612500175,0.021940739580981028,0.5115772425302517,0.24976727588533731,15.872606883022064,3.9650871450663816e-05,0.005735828556430262,0.019459138367920403,0.0002047240074383172,0.00010279677215940808,-0.0003781736072007158,0.0008895488573562593,-2.7171835275396905e-06,-3.7372292827353437e-06,2.3075694724483675e-06,-6.72189077230434e-06,1.4999097635239167,0.0,2.6908344214365076,-2.3075694724483675e-06,False,0.995943059281917,0.0010843839225466742,0.9848501409468806,0.9870670001097726,0.9936486979300524,
BASE,v2_params,,0.519445638243487,0.5106876936728955,0.24976086120879418,0.25056802835099595,-0.00010401691738703052,-0.000568030179884188,34.233815150676236,2,0.010300318360914343,0.5322787370048183,0.24894055749927693,89.51967299044315,0.00022305044704473698,0.01099229483839128,0.04052983771901464,0.5153704840527471,0.25056802835099595,0.0,-0.000568030179884188,0.014285022476808469,0.022168822260956345,0.5106876936728955,0.24977399777610962,13.181772461585556,3.2928980678359476e-05,0.00562363776754328,0.018670205517927696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0.0,1.0,1.0,1.0,
E_recent_context,v2_params,E,0.5189422865236253,0.511202114223528,0.24977765092621543,0.2506135716081919,-0.00012080663480829035,-0.000613573437080156,33.585706986706256,2,0.010300638788711876,0.5319594893301922,0.24895262691799483,84.6756996600773,0.00021098102832683985,0.01086610414201103,0.0402065688239478,0.5136652560171557,0.2506135716081919,0.0,-0.000613573437080156,0.014347936758534255,0.019904287081201788,0.511202114223528,0.24976675425245953,16.081421300041473,4.01725043284451e-05,0.005687875465590345,0.018891106715925587,-0.000503351719861711,-0.0003192476746260997,-0.0017052280355913663,0.000514420550632555,1.6789717421250572e-05,1.2069418717897129e-05,4.554325719596797e-05,-7.243523650085626e-06,-4.843973330365856,0.0,2.899648838455917,-4.554325719596797e-05,False,0.9958846487052777,0.0010759565655441298,0.9874968745173861,0.9852309624522989,0.9925363275086224,
P_pitchmix,v2_params,P,0.5187187604485258,0.5107812937159774,0.24977437717556383,0.2505759466157753,-0.00011753288415667733,-0.0005759484446635488,29.867926247497383,2,0.01012198351817642,0.530545251660987,0.24897512223757343,75.64736692561019,0.00018848570874824278,0.010682280708200636,0.037474946660632336,0.5148297359686133,0.2505759466157753,0.0,-0.0005759484446635488,0.01425553524319407,0.020816617801102888,0.5107812937159774,0.2497720626733427,13.956411816881964,3.486408344527403e-05,0.005428134603134552,0.017770822068935932,-0.0007268777949611671,-0.0017334853438313313,-0.0005407480841338463,9.36000430818984e-05,1.3515966769656051e-05,3.45647382964942e-05,7.91826477936075e-06,-1.9351027669145537e-06,-13.87230606483297,0.0,0.7746393552964079,-7.91826477936075e-06,False,0.9967524892369818,0.0009780518110063907,0.9876186237760225,0.9901355576904493,0.9928449506683208,
C_skill_decomposition,v2_params,C,0.5186813405890814,0.5111360858354055,0.24977572972437645,0.2505527878991503,-0.00011888543296931231,-0.0005527897280385441,26.22533535076477,2,0.010140085853328101,0.5292605624165311,0.24900687003496924,62.90561958237287,0.0001567379113524281,0.010491187281244707,0.03576162151677764,0.5156473735153079,0.2505527878991503,0.0,-0.0005527897280385441,0.014270469789878134,0.022494654660920987,0.5111360858354055,0.2497675312390098,15.770386469921446,3.939551777817907e-05,0.005658600488861458,0.018685984174927506,-0.0007642976544055546,-0.003018174588287237,0.00027688946256076985,0.0004483921625100251,1.4868515582272535e-05,6.631253569230888e-05,-1.5240451845643932e-05,-6.4665370998195915e-06,-26.614053408070284,0.0,2.58861400833589,1.5240451845643932e-05,False,0.9963941261173563,0.0010437884629106993,0.9854380549600608,0.989483528890139,0.9933140358590475,
A_B_D_core_env,v2_params,ABD,0.5186390398879855,0.5108809722595068,0.24978052263180162,0.2505985601727895,-0.0001236783403944878,-0.0005985620016777105,30.42613394723873,2,0.010333004988265875,0.5306238216873679,0.24897274562856112,76.60120164966956,0.00019086231776055396,0.010836047141712017,0.0376204176634124,0.5144123257170818,0.2505985601727895,0.0,-0.0005985620016777105,0.01441526930377457,0.019496996581245984,0.5108809722595068,0.24977026209405429,14.677200192046628,3.6664662733693065e-05,0.0057476985193110385,0.017439470271938984,-0.0008065983555014533,-0.0016549153174504339,-0.0009581583356652601,0.000193278586611334,1.9661423007438783e-05,3.218812928418302e-05,3.053182179352243e-05,-3.735682055333589e-06,-12.918471340773593,0.0,1.4954277304610724,-3.053182179352243e-05,False,0.9958209820786356,0.0010943644337903767,0.9858042857651796,0.9858622728808621,0.9932067600929921,
