candidate_name,model_label,valid_year,rank,feature,importance,is_reconstructed
BASE,v2_params,2022,1,te_pitcher_id__balls_before__strikes_before_delta,14.561772357971087,False
BASE,v2_params,2022,2,te_pitcher_id__balls_before__strikes_before,8.355481555949165,False
BASE,v2_params,2022,3,te_pitcher_id__base_state_delta,7.242098451754883,False
BASE,v2_params,2022,4,te_pitcher_id__game_type,6.275728200933284,False
BASE,v2_params,2022,5,te_batter_id__pitcher_hand,5.53961499170985,False
BASE,v2_params,2022,6,te_pitcher_id__base_state,5.117511866462933,False
BASE,v2_params,2022,7,te_batter_id__pitcher_hand_delta,4.586701743806705,False
BASE,v2_params,2022,8,te_pitcher_id_delta,4.289675815623892,False
BASE,v2_params,2022,9,te_pitcher_id,3.756174734051901,False
BASE,v2_params,2022,10,te_pitcher_id__game_type_delta,3.2418989224133066,False
BASE,v2_params,2022,11,te_batter_team_id,2.1496872331484465,False
BASE,v2_params,2022,12,game_type_code,1.821693810790356,False
BASE,v2_params,2022,13,te_pitcher_id__batter_hand,1.6998114092398067,False
BASE,v2_params,2022,14,te_pitcher_id__batter_hand_delta,1.6840872757248344,False
BASE,v2_params,2022,15,te_balls_before__strikes_before__game_type_delta,1.5982844283821942,False
BASE,v2_params,2022,16,base_state_code,1.4845693887821856,False
BASE,v2_params,2022,17,te_balls_before__strikes_before__game_type,1.4463620646094941,False
BASE,v2_params,2022,18,season,1.3514440172041964,False
BASE,v2_params,2022,19,te_batter_team_id_delta,1.2401816348918857,False
BASE,v2_params,2022,20,pitcher_id_code,1.1537179932438428,False
BASE,v2_params,2022,21,te_game_type_delta,1.1385105514366527,False
BASE,v2_params,2022,22,te_season_delta,1.109046775713636,False
BASE,v2_params,2022,23,asof_pitcher_pitchmix_n,1.0121731821435747,False
BASE,v2_params,2022,24,game_month,1.002547433685163,False
BASE,v2_params,2022,25,asof_pitcher_success_rate,0.9137877747285422,False
BASE,v2_params,2022,26,asof_pitcher_success_minus_global,0.9063979086106236,False
BASE,v2_params,2022,27,asof_pitcher_n,0.8887532671268571,False
BASE,v2_params,2022,28,asof_batter_success_rate,0.7755189936137077,False
BASE,v2_params,2022,29,runner_on_3b,0.7122879278506604,False
BASE,v2_params,2022,30,balls_before,0.6517880414544477,False
BASE,v2_params,2022,31,asof_pitcher_reverse_rate,0.6117527836829372,False
BASE,v2_params,2022,32,te_season,0.5945652773347705,False
BASE,v2_params,2022,33,num_runners_on,0.5229299747924332,False
BASE,v2_params,2022,34,count_index,0.5116735550921034,False
BASE,v2_params,2022,35,te_batter_id_delta,0.4555645500262236,False
BASE,v2_params,2022,36,te_pitcher_team_id,0.4399549900727046,False
BASE,v2_params,2022,37,abs_score_diff_pitcher_team,0.42235361136186955,False
BASE,v2_params,2022,38,te_pitcher_team_id_delta,0.41943594795348393,False
BASE,v2_params,2022,39,asof_pitcher_middle_rate,0.39231920278014026,False
BASE,v2_params,2022,40,te_base_state__outs_before_delta,0.38310116351510765,False
BASE,v2_params,2023,1,te_pitcher_id__balls_before__strikes_before,12.179094881880562,False
BASE,v2_params,2023,2,te_pitcher_id__balls_before__strikes_before_delta,9.49263469277273,False
BASE,v2_params,2023,3,te_pitcher_id__game_type,7.688570087405468,False
BASE,v2_params,2023,4,te_pitcher_id__base_state,6.379468187286415,False
BASE,v2_params,2023,5,te_pitcher_id__game_type_delta,5.7114373833257,False
BASE,v2_params,2023,6,te_pitcher_id_delta,5.576804085018127,False
BASE,v2_params,2023,7,te_pitcher_id__base_state_delta,4.776452800241429,False
BASE,v2_params,2023,8,te_batter_id__pitcher_hand,4.7541126525484545,False
BASE,v2_params,2023,9,te_pitcher_id,4.74656682004886,False
BASE,v2_params,2023,10,te_balls_before__strikes_before__game_type_delta,3.4776996017565334,False
BASE,v2_params,2023,11,te_batter_id__pitcher_hand_delta,3.4346517736662365,False
BASE,v2_params,2023,12,game_type_code,2.1157145651820772,False
BASE,v2_params,2023,13,te_season,2.11292617072452,False
BASE,v2_params,2023,14,te_season_delta,1.802228096889387,False
BASE,v2_params,2023,15,te_pitcher_id__batter_hand_delta,1.7288417460163672,False
BASE,v2_params,2023,16,te_batter_team_id_delta,1.5626957667003896,False
BASE,v2_params,2023,17,te_balls_before__strikes_before__game_type,1.3497571753063708,False
BASE,v2_params,2023,18,te_pitcher_id__batter_hand,1.313870835231715,False
BASE,v2_params,2023,19,te_batter_team_id,1.2850198930681525,False
BASE,v2_params,2023,20,game_month,1.275256266651211,False
BASE,v2_params,2023,21,te_game_type_delta,1.0343376016560366,False
BASE,v2_params,2023,22,season,0.993559813854074,False
BASE,v2_params,2023,23,te_game_type,0.9308148461270249,False
BASE,v2_params,2023,24,runner_on_3b,0.9019511150320996,False
BASE,v2_params,2023,25,base_state_code,0.9010968441199274,False
BASE,v2_params,2023,26,asof_pitcher_pitchmix_n,0.8574655583557202,False
BASE,v2_params,2023,27,scoring_position,0.6671830940249146,False
BASE,v2_params,2023,28,asof_pitcher_n,0.6059270911139893,False
BASE,v2_params,2023,29,asof_pitcher_reverse_rate,0.5383206900181153,False
BASE,v2_params,2023,30,pitcher_id_code,0.4394408448334297,False
BASE,v2_params,2023,31,balls_before,0.43768089529023835,False
BASE,v2_params,2023,32,te_batter_id_delta,0.43260926588423015,False
