candidate_name,model_label,auc_2023,skill_2023,pseudo_2023,pred_std_2023,high_minus_low_actual_rate_2023,delta_vs_v2_skill_2023
A_C_skill_combo_tuned_catboost,tuned_params,0.5154105549686989,-0.0005734039164422555,0.0,0.014420885042770134,0.023146319460850384,-5.373736558067499e-06
A_C_skill_combo,v2_params,0.5154461276656528,-0.0005602855725528044,0.0,0.014210282412197819,0.021810406620995204,7.744607331383602e-06
A_E_context_combo,v2_params,0.5144294249344231,-0.0005891634077419272,0.0,0.014354259281815796,0.019692496021224748,-2.113322785773919e-05
A_B_C_D_all_signal,v2_params,0.5153939329709152,-0.0005688681934622741,0.0,0.014245002102682295,0.02133794964104635,-8.380135780861053e-07
A_D_env_combo,v2_params,0.5147212709369968,-0.0005773472935797497,0.0,0.014282599886447056,0.020653701601120622,-9.317113695561652e-06
A_recent_vs_longterm,v2_params,0.5159910223245899,-0.0005524051571814403,0.0,0.01439821992901953,0.023423277000820253,1.5625022702747682e-05
B_recent_trend,v2_params,0.5147727958854047,-0.0005785995345356232,0.0,0.014263704717160104,0.021028408861079928,-1.0569354651435159e-05
A_B_recent_combo,v2_params,0.5152161022651297,-0.0005737221907211876,0.0,0.014355552383498841,0.022657570860903364,-5.69201083699955e-06
A_B_C_core,v2_params,0.5149923104455464,-0.0005703377493566364,0.0,0.014323580612500175,0.021940739580981028,-2.3075694724483675e-06
BASE,v2_params,0.5153704840527471,-0.000568030179884188,0.0,0.014285022476808469,0.022168822260956345,0.0
E_recent_context,v2_params,0.5136652560171557,-0.000613573437080156,0.0,0.014347936758534255,0.019904287081201788,-4.554325719596797e-05
P_pitchmix,v2_params,0.5148297359686133,-0.0005759484446635488,0.0,0.01425553524319407,0.020816617801102888,-7.91826477936075e-06
C_skill_decomposition,v2_params,0.5156473735153079,-0.0005527897280385441,0.0,0.014270469789878134,0.022494654660920987,1.5240451845643932e-05
A_B_D_core_env,v2_params,0.5144123257170818,-0.0005985620016777105,0.0,0.01441526930377457,0.019496996581245984,-3.053182179352243e-05
D_pitcher_batter,v2_params,0.514537615690867,-0.0005818733627514228,0.0,0.014285978773166105,0.021728948521003988,-1.3843182867234738e-05
