candidate_name,model_label,families,fold,valid_year,high_half_actual_rate,low_half_actual_rate,high_minus_low_actual_rate,iterations,learning_rate,depth,l2_leaf_reg,random_strength,bagging_temperature,rsm,raw_actual_rate,raw_constant_brier,raw_brier,raw_skill_margin,raw_pseudo_score,raw_auc,raw_logloss,raw_pred_mean,raw_pred_std,final_actual_rate,final_constant_brier,final_brier,final_skill_margin,final_pseudo_score,final_auc,final_logloss,final_pred_mean,final_pred_std
BASE,v2_params,,2019-2020_cal2021_valid2022,2022,0.5491853623844314,0.5086555246654167,0.04052983771901464,220,0.045,6,5.0,,,,0.5289204435249241,0.24916360794632167,0.24906209080176053,0.00010151714456113625,40.7431668684965,0.5324856858143385,0.6913031110776264,0.5443147913690605,0.05695720532425376,0.5289204435249241,0.24916360794632167,0.24894055749927693,0.00022305044704473698,89.51967299044315,0.5322787370048183,0.6910267618039342,0.5115676534729856,0.01099229483839128
BASE,v2_params,,2019-2021_cal2022_valid2023,2023,0.51104160048223,0.4888727782212737,0.022168822260956345,220,0.045,6,5.0,,,,0.49995723449750534,0.24999999817111176,0.2540765927559245,-0.004076594584812715,0.0,0.5154708686332126,0.7018125133287548,0.5419201905674266,0.062106804902845376,0.49995723449750534,0.24999999817111176,0.25056802835099595,-0.000568030179884188,0.0,0.5153704840527471,0.694287061114121,0.527189297933662,0.014285022476808469
BASE,v2_params,,2019-2022_cal2023_valid2024,2024,0.49543998611483664,0.47676978059690894,0.018670205517927696,220,0.045,6,5.0,,,,0.4861049201797189,0.24980692675678798,0.2555164325408653,-0.0057095057840773344,0.0,0.5106875170195614,0.7049407319137688,0.5332785480993348,0.06568103219750941,0.4861049201797189,0.24980692675678798,0.24977399777610962,3.2928980678359476e-05,13.181772461585556,0.5106876936728955,0.6926949806395462,0.48773544324372964,0.00562363776754328
A_recent_vs_longterm,v2_params,A,2019-2020_cal2021_valid2022,2022,0.5485953966509343,0.5092454903989139,0.039349906252020395,220,0.045,6,5.0,,,,0.5289204435249241,0.24916360794632167,0.249044864686103,0.00011874326021865667,47.65674297196644,0.5327849735299844,0.6912645018427223,0.5451083095803654,0.05720672962616307,0.5289204435249241,0.24916360794632167,0.2489297807471689,0.00023382719915276962,93.84484398826973,0.532534695750702,0.6910051570376159,0.5115999966112553,0.011117475127045928
A_recent_vs_longterm,v2_params,A,2019-2021_cal2022_valid2023,2023,0.5116688252975244,0.4882455482967042,0.023423277000820253,220,0.045,6,5.0,,,,0.49995723449750534,0.24999999817111176,0.253986336428893,-0.003986338257781247,0.0,0.5163238961041596,0.7016044999238952,0.5425489708771856,0.06186200507332833,0.49995723449750534,0.24999999817111176,0.2505524033282932,-0.0005524051571814403,0.0,0.5159910223245899,0.6942558178322122,0.527208334180288,0.01439821992901953
A_recent_vs_longterm,v2_params,A,2019-2022_cal2023_valid2024,2024,0.49444593464506054,0.4777638399091146,0.01668209473594595,220,0.045,6,5.0,,,,0.4861049201797189,0.24980692675678798,0.25561501820911453,-0.0058080914523265526,0.0,0.510733871639246,0.7051099668559005,0.5355704123235011,0.06503227172359342,0.4861049201797189,0.24980692675678798,0.24976998307666642,3.694368012155391e-05,14.78889340707605,0.5107338622335149,0.6926869427740556,0.4877351358970861,0.005664631229929582
B_recent_trend,v2_params,B,2019-2020_cal2021_valid2022,2022,0.5485711514838042,0.5092697355660438,0.039301415917760374,220,0.045,6,5.0,,,,0.5289204435249241,0.24916360794632167,0.24909054287122692,7.306507509474702e-05,29.3241359350069,0.5332896561907278,0.6913619668370365,0.5459016993882172,0.057414920848773865,0.5289204435249241,0.24916360794632167,0.24892382273983096,0.00023978520649070578,96.23604685575258,0.5331087995703551,0.6909932801905095,0.5116365832314986,0.010948021371783688
B_recent_trend,v2_params,B,2019-2021_cal2022_valid2023,2023,0.5104713961046895,0.4894429872436096,0.021028408861079928,220,0.045,6,5.0,,,,0.49995723449750534,0.24999999817111176,0.2540336942293121,-0.004033696058200337,0.0,0.5149590165516049,0.7017144846585289,0.5413567597265466,0.061711457977527105,0.49995723449750534,0.24999999817111176,0.2505785977056474,-0.0005785995345356232,0.0,0.5147727958854047,0.6943083328483672,0.5271009541173586,0.014263704717160104
B_recent_trend,v2_params,B,2019-2022_cal2023_valid2024,2024,0.4953453145462865,0.47686445291235713,0.01848086163392937,220,0.045,6,5.0,,,,0.4861049201797189,0.24980692675678798,0.25562987322715897,-0.005822946470370988,0.0,0.5112258185346157,0.70515159935332,0.5353289740160357,0.06539590061525455,0.4861049201797189,0.24980692675678798,0.24976989071846384,3.703603832413971e-05,14.825865241198054,0.5112259121558996,0.6926867614556889,0.48773690052539775,0.005542670536484654
C_skill_decomposition,v2_params,C,2019-2020_cal2021_valid2022,2022,0.5468012542833128,0.5110396327665352,0.03576162151677764,220,0.045,6,5.0,,,,0.5289204435249241,0.24916360794632167,0.24947065327110787,-0.0003070453247862037,0.0,0.5293728409007235,0.6921444337185635,0.5458703102979642,0.05744218727198687,0.5289204435249241,0.24916360794632167,0.24900687003496924,0.0001567379113524281,62.90561958237287,0.5292605624165311,0.6911595544077137,0.5115637754584407,0.010491187281244707
C_skill_decomposition,v2_params,C,2019-2021_cal2022_valid2023,2023,0.5112045160186701,0.48870986135774913,0.022494654660920987,220,0.045,6,5.0,,,,0.49995723449750534,0.24999999817111176,0.2540891949514493,-0.004089196780337562,0.0,0.5157861032379675,0.7018584435966289,0.5417122010886638,0.06271960366421489,0.49995723449750534,0.24999999817111176,0.2505527878991503,-0.0005527897280385441,0.0,0.5156473735153079,0.6942565044449204,0.527030965163496,0.014270469789878134
C_skill_decomposition,v2_params,C,2019-2022_cal2023_valid2024,2024,0.4954478754122158,0.4767618912372883,0.018685984174927506,220,0.045,6,5.0,,,,0.4861049201797189,0.24980692675678798,0.25559245637341066,-0.005785529616622681,0.0,0.5111358816812087,0.7050725658719236,0.5354218980364116,0.06522141882240047,0.4861049201797189,0.24980692675678798,0.2497675312390098,3.939551777817907e-05,15.770386469921446,0.5111360858354055,0.6926820385666574,0.4877354568715442,0.005658600488861458
D_pitcher_batter,v2_params,D,2019-2020_cal2021_valid2022,2022,0.546574966056766,0.511265920993082,0.03530904506368404,220,0.045,6,5.0,,,,0.5289204435249241,0.24916360794632167,0.24933243760347693,-0.0001688296571552561,0.0,0.5295467509063315,0.6918544667703252,0.5442131010190429,0.05716824493204684,0.5289204435249241,0.24916360794632167,0.248995846519654,0.00016776142666766192,67.32982719683665,0.5293868966532912,0.6911374544061296,0.5115638110353107,0.010675177416331907
D_pitcher_batter,v2_params,D,2019-2021_cal2022_valid2023,2023,0.5108216645080358,0.4890927159870318,0.021728948521003988,220,0.045,6,5.0,,,,0.49995723449750534,0.24999999817111176,0.2542465646310768,-0.0042465664599650454,0.0,0.5147918582587292,0.7021714439570959,0.5431748298254959,0.06216612956824432,0.49995723449750534,0.24999999817111176,0.2505818715338632,-0.0005818733627514228,0.0,0.514537615690867,0.6943148754810611,0.5271024513447461,0.014285978773166105
D_pitcher_batter,v2_params,D,2019-2022_cal2023_valid2024,2024,0.49439859886078547,0.47781117606683865,0.016587422793946816,220,0.045,6,5.0,,,,0.4861049201797189,0.24980692675678798,0.255652385659417,-0.005845458902629025,0.0,0.5105135096547833,0.7051932395245889,0.5353216015448333,0.06520518328081433,0.4861049201797189,0.24980692675678798,0.24977352859762572,3.3398159162256746e-05,13.369588904463484,0.5105137549512675,0.6926940466230613,0.4877367274819515,0.005525359192925499
E_recent_context,v2_params,E,2019-2020_cal2021_valid2022,2022,0.5490237279368979,0.5088171591129501,0.0402065688239478,220,0.045,6,5.0,,,,0.5289204435249241,0.24916360794632167,0.24913661814413315,2.69898021885151e-05,10.832160607631602,0.5321255340726668,0.6914538183361925,0.5448461406486742,0.056816842055807455,0.5289204435249241,0.24916360794632167,0.24895262691799483,0.00021098102832683985,84.6756996600773,0.5319594893301922,0.6910509191268517,0.5115876982537527,0.01086610414201103
E_recent_context,v2_params,E,2019-2021_cal2022_valid2023,2023,0.509909337503971,0.49000505042276926,0.019904287081201788,220,0.045,6,5.0,,,,0.49995723449750534,0.24999999817111176,0.2543291163141042,-0.004329118142992444,0.0,0.5139782568402369,0.7023129891283829,0.5430050651372396,0.06254469443612842,0.49995723449750534,0.24999999817111176,0.2506135716081919,-0.000613573437080156,0.0,0.5136652560171557,0.6943786051075244,0.5273186629458657,0.014347936758534255
E_recent_context,v2_params,E,2019-2022_cal2023_valid2024,2024,0.49555043627814505,0.47665932956221946,0.018891106715925587,220,0.045,6,5.0,,,,0.4861049201797189,0.24980692675678798,0.2554269591269871,-0.005620032370199118,0.0,0.511201782967382,0.7046958172040321,0.5346092216836423,0.06452285728856516,0.4861049201797189,0.24980692675678798,0.24976675425245953,4.01725043284451e-05,16.081421300041473,0.511202114223528,0.6926804814765369,0.4877352646718801,0.005687875465590345
P_pitchmix,v2_params,P,2019-2020_cal2021_valid2022,2022,0.5476579168552402,0.5101829701946079,0.037474946660632336,220,0.045,6,5.0,,,,0.5289204435249241,0.24916360794632167,0.24926932803682542,-0.00010572009050374698,0.0,0.5306793302516042,0.6917266590597044,0.5449529101889744,0.05709225942728832,0.5289204435249241,0.24916360794632167,0.24897512223757343,0.00018848570874824278,75.64736692561019,0.530545251660987,0.6910959753945964,0.511602724226442,0.010682280708200636
P_pitchmix,v2_params,P,2019-2021_cal2022_valid2023,2023,0.5103655010060034,0.48954888320490053,0.020816617801102888,220,0.045,6,5.0,,,,0.49995723449750534,0.24999999817111176,0.2541342424719011,-0.004134244300789319,0.0,0.5150044325986541,0.7019398135749746,0.5417121883029145,0.06242308318621518,0.49995723449750534,0.24999999817111176,0.2505759466157753,-0.0005759484446635488,0.0,0.5148297359686133,0.6943029793407854,0.5271117433813304,0.01425553524319407
P_pitchmix,v2_params,P,2019-2022_cal2023_valid2024,2024,0.49499029616422363,0.4772194740952877,0.017770822068935932,220,0.045,6,5.0,,,,0.4861049201797189,0.24980692675678798,0.2556608861644328,-0.005853959407644799,0.0,0.5107811634061132,0.7052373203975814,0.5352772900194602,0.06551233291879703,0.4861049201797189,0.24980692675678798,0.2497720626733427,3.486408344527403e-05,13.956411816881964,0.5107812937159774,0.6926911144191608,0.4877385088954,0.005428134603134552
A_B_recent_combo,v2_params,AB,2019-2020_cal2021_valid2022,2022,0.5489267472683779,0.5089141397814703,0.0400126074869076,220,0.045,6,5.0,,,,0.5289204435249241,0.24916360794632167,0.2490057529030858,0.00015785504323587163,63.35397233045324,0.5328125369458323,0.6911786683953387,0.5452654553007801,0.05721998830918472,0.5289204435249241,0.24916360794632167,0.24892232337294626,0.00024128457337541098,96.83780683870653,0.5325489304752129,0.6909901980831163,0.5116078574207815,0.01120548181158755
A_B_recent_combo,v2_params,AB,2019-2021_cal2022_valid2023,2023,0.5112859737868902,0.48862840292598686,0.022657570860903364,220,0.045,6,5.0,,,,0.49995723449750534,0.24999999817111176,0.25401162858907644,-0.004011630417964679,0.0,0.5154301753146678,0.7016367794446972,0.5423321129038201,0.06125351067843928,0.49995723449750534,0.24999999817111176,0.25057372036183295,-0.0005737221907211876,0.0,0.5152161022651297,0.6942986094020036,0.5272001880854935,0.014355552383498841
