prior_weight,brier,logloss,pred_mean,target_mean,bias
0.75,0.2499410944482545,0.6930293656139355,0.4986232107115505,0.4861049201797189,0.012518290531831622
0.8,0.24994138328726598,0.6930299437830962,0.4985108901153494,0.4861049201797189,0.012405969935630479
0.7,0.24994154065830937,0.6930302583246979,0.4987355313077516,0.4861049201797189,0.01263061112803271
0.85,0.2499424071753439,0.6930319924320147,0.49839856951914824,0.4861049201797189,0.012293649339429336
0.65,0.24994272191743064,0.6930326223882849,0.49884785190395275,0.4861049201797189,0.012742931724233852
0.9,0.24994416611248824,0.6930355112331555,0.4982862489229471,0.4861049201797189,0.012181328743228192
0.6,0.24994463822561838,0.6930364583504623,0.4989601725001539,0.4861049201797189,0.012855252320434996
0.95,0.24994666009869895,0.6930404999315287,0.49817392832674595,0.4861049201797189,0.01206900814702705
0.55,0.2499472895828725,0.6930417668300092,0.499072493096355,0.4861049201797189,0.012967572916636083
1.0,0.24994988913397603,0.6930469583446242,0.4980616077305448,0.4861049201797189,0.011956687550825906
0.5,0.24995067598919296,0.6930485485188881,0.49918481369255613,0.4861049201797189,0.013079893512837226
0.45,0.2499547974445799,0.6930568041824378,0.49929713428875727,0.4861049201797189,0.01319221410903837
0.4,0.2499596539490332,0.6930665346595873,0.49940945488495836,0.4861049201797189,0.013304534705239457
0.35,0.24996524550255295,0.6930777408630915,0.4995217754811595,0.4861049201797189,0.0134168553014406
0.3,0.24997157210513907,0.6930904237797888,0.49963409607736065,0.4861049201797189,0.013529175897641743
0.25,0.2499786337567916,0.6931045844708824,0.49974641667356173,0.4861049201797189,0.01364149649384283
0.2,0.2499864304575105,0.6931202240722419,0.499858737269763,0.4861049201797189,0.013753817090044085
0.15,0.24999496220729583,0.6931373437947298,0.49997105786596396,0.4861049201797189,0.013866137686245061
0.1,0.2500042290061476,0.6931559449245491,0.5000833784621652,0.4861049201797189,0.013978458282446315
0.05,0.25001423085406577,0.6931760288236157,0.5001956990583662,0.4861049201797189,0.014090778878647348
0.0,0.2500249677510503,0.6931975969299533,0.5003080196545674,0.4861049201797189,0.01420309947484849
