valid_season,method,valid_rows,brier,logloss,pred_mean,target_mean,bias
2021,global_all_history,247088,0.24917341079780805,0.6914962089514883,0.5484693665628244,0.5327616072006734,0.015707759362150964
2021,global_recent_weighted,247088,0.24903909771931226,0.6912252790581889,0.5433644665170801,0.5327616072006734,0.010602859316406699
2021,global_linear_trend,247088,0.24995120314623231,0.6930495867789814,0.5007533886841175,0.5327616072006734,-0.032008218516556
2021,game_type_smoothed,247088,0.2464979721471279,0.6859886854349401,0.5486815093297253,0.5327616072006734,0.01591990212905181
2021,game_type_month_smoothed,247088,0.246736934343962,0.686487017874553,0.5492752087754085,0.5327616072006734,0.016513601574735026
2021,game_type_count_smoothed,247088,0.24671018609792383,0.6864428446758201,0.5474975210060231,0.5327616072006734,0.014735913805349665
2021,game_type_linear_trend,247088,0.2505216771931158,0.6941908387796936,0.5024689955437835,0.5327616072006734,-0.0302926116568899
2022,global_all_history,247472,0.24936587062859672,0.6918804070069513,0.5431423520563062,0.5289204435249241,0.014221908531382166
2022,global_recent_weighted,247472,0.2492471949591917,0.6916414636075127,0.5380630368588769,0.5289204435249241,0.009142593333952842
2022,global_linear_trend,247472,0.2494680315260211,0.6920830799441466,0.5114727049981269,0.5289204435249241,-0.017447738526797152
2022,game_type_smoothed,247472,0.24547694360609362,0.6838458635656993,0.5457601810762157,0.5289204435249241,0.016839737551291645
2022,game_type_month_smoothed,247472,0.24566737200327549,0.6842317598307563,0.5465847504489245,0.5289204435249241,0.01766430692400045
2022,game_type_count_smoothed,247472,0.24557879793035436,0.6840822876917068,0.5445890779807488,0.5289204435249241,0.01566863445582478
2022,game_type_linear_trend,247472,0.24569594125826053,0.6843999908912357,0.5086243429103511,0.5289204435249241,-0.020296100614572987
2023,global_all_history,245525,0.2515665167378201,0.6962900426820432,0.5395365039034486,0.49995723449750534,0.03957926940594331
2023,global_recent_weighted,245525,0.2511867155830517,0.6955262440716776,0.5344059995252959,0.49995723449750534,0.03444876502779054
2023,global_linear_trend,245525,0.2501692325099754,0.6934857591900527,0.5129662444084708,0.49995723449750534,0.013009009910965486
2023,game_type_smoothed,245525,0.25456168506749427,0.702792149143008,0.538976244204241,0.49995723449750534,0.03901900970673561
2023,game_type_month_smoothed,245525,0.25451428743102816,0.7026877814740637,0.5386869587496014,0.49995723449750534,0.03872972425209603
2023,game_type_count_smoothed,245525,0.2540735730431146,0.7017138368126459,0.5381293076563646,0.49995723449750534,0.03817207315885923
2023,game_type_linear_trend,245525,0.25246152101572167,0.6981877587438821,0.4994161277145366,0.49995723449750534,-0.0005411067829687588
2024,global_all_history,253507,0.25187504706086583,0.6969036043721831,0.5315815109059132,0.4861049201797189,0.04547659072619431
2024,global_recent_weighted,253507,0.251162503490975,0.6954741873283171,0.5229230778493655,0.4861049201797189,0.036818157669646634
2024,global_linear_trend,253507,0.24994988913397603,0.6930469583446242,0.4980616077305448,0.4861049201797189,0.011956687550825906
2024,game_type_smoothed,253507,0.2541586784784001,0.7017025513592343,0.5328464021608571,0.4861049201797189,0.0467414819811382
2024,game_type_month_smoothed,253507,0.25416229977990334,0.701707844050161,0.5346516536074857,0.4861049201797189,0.048546733427766775
2024,game_type_count_smoothed,253507,0.2538493306764106,0.7010505249483876,0.5322089006674546,0.4861049201797189,0.04610398048773573
2024,game_type_linear_trend,253507,0.2503633363410222,0.6938753920472308,0.4964600909732055,0.4861049201797189,0.010355170793486579
