method,brier
game_type_linear_trend,0.24976061895203006
global_linear_trend,0.2498845890790512
game_type_count_smoothed,0.25005297193695086
global_recent_weighted,0.2501588779381327
game_type_smoothed,0.250173819824779
game_type_month_smoothed,0.25027022338954225
global_all_history,0.25049521130627267
