candidate_name,valid_year,rank,feature,importance,is_trackman
B_RECENT_DELTA,2024,11,te_batter_id__pitcher_hand,3.2884675771788117,False
B_RECENT_DELTA,2024,12,game_type_code,2.552369466959258,False
B_RECENT_DELTA,2024,13,te_balls_before__strikes_before__game_type_delta,2.2327204749547946,False
B_RECENT_DELTA,2024,14,te_batter_team_id_delta,2.131666643678351,False
B_RECENT_DELTA,2024,15,te_balls_before__strikes_before__game_type,1.8381534258671892,False
B_RECENT_DELTA,2024,16,te_pitcher_id__batter_hand,1.7724266170779404,False
B_RECENT_DELTA,2024,17,te_pitcher_id__batter_hand_delta,1.664033711177382,False
B_RECENT_DELTA,2024,18,game_month,1.4852792627685376,False
B_RECENT_DELTA,2024,19,te_game_type_delta,1.2217616681784629,False
B_RECENT_DELTA,2024,20,te_game_type,1.143925010721757,False
B_RECENT_DELTA,2024,21,te_season,1.0684509449618285,False
B_RECENT_DELTA,2024,22,te_season_delta,0.900759102554432,False
B_RECENT_DELTA,2024,23,base_state_code,0.8138013239011627,False
B_RECENT_DELTA,2024,24,asof_pitcher_n,0.7694505529975233,False
B_RECENT_DELTA,2024,25,runner_on_3b,0.7268553275623363,False
B_RECENT_DELTA,2024,26,te_batter_team_id,0.6850800163387242,False
B_RECENT_DELTA,2024,27,asof_pitcher_prev1_game_success_rate,0.6088374011554598,False
B_RECENT_DELTA,2024,28,asof_batter_success_minus_global,0.5420659815042285,False
B_RECENT_DELTA,2024,29,scoring_position,0.4975816299026476,False
B_RECENT_DELTA,2024,30,asof_batter_success_rate,0.4216898453211639,False
B_RECENT_DELTA,2024,78,tm_induced_vert_break_recent2_minus_longterm,0.039833767454222256,True
B_RECENT_DELTA,2024,80,tm_rel_speed_recent2_minus_longterm,0.03673278920804484,True
C_SLOPE,2022,1,te_pitcher_id__balls_before__strikes_before,13.682230975222355,False
C_SLOPE,2022,2,te_pitcher_id__balls_before__strikes_before_delta,9.644693062629134,False
C_SLOPE,2022,3,te_pitcher_id__base_state_delta,8.175190286731514,False
C_SLOPE,2022,4,te_batter_id__pitcher_hand_delta,5.163831463505676,False
C_SLOPE,2022,5,te_pitcher_id__game_type,5.080676591060761,False
C_SLOPE,2022,6,te_batter_id__pitcher_hand,5.051678395924674,False
C_SLOPE,2022,7,te_pitcher_id__game_type_delta,4.9658007680721115,False
C_SLOPE,2022,8,te_pitcher_id_delta,4.920007099282351,False
C_SLOPE,2022,9,te_pitcher_id__base_state,4.632672610428917,False
C_SLOPE,2022,10,te_pitcher_id,3.599928426537109,False
C_SLOPE,2022,11,te_batter_team_id,1.9381857422508328,False
C_SLOPE,2022,12,te_pitcher_id__batter_hand_delta,1.8408599301269246,False
C_SLOPE,2022,13,game_type_code,1.743619672363844,False
C_SLOPE,2022,14,season,1.7011113726501188,False
C_SLOPE,2022,15,te_balls_before__strikes_before__game_type,1.5110270984045489,False
C_SLOPE,2022,16,te_batter_team_id_delta,1.4705812825996798,False
C_SLOPE,2022,17,te_pitcher_id__batter_hand,1.1952202379669765,False
C_SLOPE,2022,18,pitcher_id_code,1.093968141616001,False
C_SLOPE,2022,19,game_month,1.0693874510241812,False
C_SLOPE,2022,20,asof_pitcher_pitchmix_n,0.9981695868887563,False
C_SLOPE,2022,21,runner_on_3b,0.9905636976336569,False
C_SLOPE,2022,22,asof_pitcher_success_rate,0.9128236557808616,False
C_SLOPE,2022,23,te_season_delta,0.912198624934813,False
C_SLOPE,2022,24,te_game_type,0.8600797523040238,False
C_SLOPE,2022,25,asof_pitcher_success_minus_global,0.7451241563108831,False
C_SLOPE,2022,26,base_state_code,0.7390890051905353,False
