candidate_name,valid_year,tm_has_match,n,actual_rate,brier,auc,prediction_std
BASE,2022,0,177333,0.5289088889264829,0.2489727115093668,0.5305983279960681,0.010638556074155613
BASE,2022,1,70139,0.5289496571094541,0.24885926225595628,0.5364247700728428,0.011824108232057127
BASE,2023,0,158067,0.49976908526131325,0.25065559001623566,0.5118187017454877,0.013714361682211674
BASE,2023,1,87458,0.5002972855542088,0.2504097739918813,0.5211592908640109,0.015259619295375951
BASE,2024,0,153989,0.4881712330101501,0.24989572684791905,0.5032135324376336,0.005616855694119813
BASE,2024,1,99518,0.4829076147028678,0.24958564051371626,0.5207690956954673,0.005575923302972463
A_LEVEL,2022,0,177333,0.5289088889264829,0.24895949195895903,0.5314344409317815,0.010565005496040813
A_LEVEL,2022,1,70139,0.5289496571094541,0.2489062709905958,0.5340492237834743,0.011802133883810115
A_LEVEL,2023,0,158067,0.49976908526131325,0.25068216448352043,0.5102255931874112,0.013611302647275746
A_LEVEL,2023,1,87458,0.5002972855542088,0.250415481299492,0.5210953961784928,0.015233307449432187
A_LEVEL,2024,0,153989,0.4881712330101501,0.24988658997376645,0.5039908792109032,0.005564385474794487
A_LEVEL,2024,1,99518,0.4829076147028678,0.24958582886031203,0.5210014402049525,0.005492677600611221
B_RECENT_DELTA,2022,0,177333,0.5289088889264829,0.2489563079818172,0.5312880695071046,0.01060408864501332
B_RECENT_DELTA,2022,1,70139,0.5289496571094541,0.2488632677858197,0.5359408806173607,0.011904511774815496
B_RECENT_DELTA,2023,0,158067,0.49976908526131325,0.25066269610973135,0.5113984862531555,0.013704014308937364
B_RECENT_DELTA,2023,1,87458,0.5002972855542088,0.2504131440374661,0.5207995787043371,0.01529073626854164
B_RECENT_DELTA,2024,0,153989,0.4881712330101501,0.2498817955585701,0.504726542968022,0.0057594834270462015
B_RECENT_DELTA,2024,1,99518,0.4829076147028678,0.24957523296302633,0.5214197086830742,0.005727733549400624
C_SLOPE,2022,0,177333,0.5289088889264829,0.2489563079818172,0.5312880695071046,0.01060408864501332
C_SLOPE,2022,1,70139,0.5289496571094541,0.2488632677858197,0.5359408806173607,0.011904511774815496
