candidate_name,feature_count,mean_auc,mean_brier,mean_skill_margin,worst_skill_margin,mean_tm_match_row_rate,auc_2022,pseudo_2022,skill_2022,brier_2022,delta_auc_2022,delta_skill_2022,delta_pseudo_2022,auc_2023,pseudo_2023,skill_2023,brier_2023,delta_auc_2023,delta_skill_2023,delta_pseudo_2023,auc_2024,pseudo_2024,skill_2024,brier_2024,delta_auc_2024,delta_skill_2024,delta_pseudo_2024,delta_mean_auc,delta_mean_brier,success_a,success_b,success_c,success_d_subset_signal
B_RECENT_DELTA,10,0.5199810239489826,0.2497550639214257,-9.82196300186126e-05,-0.0005738054627568,0.3440650602181752,0.5328428183956675,93.781592507668,0.0002336695994816,0.24892993834684,0.0003571325813289,1.0619152436885935e-05,4.261919517224854,0.5152105332548904,0.0,-0.0005738054627568,0.2505738036338686,-0.0002603353783221,-5.775282872710896e-06,0.0,0.5118897201963899,18.20484876454791,4.547697321943822e-05,0.2497614497835685,0.0012022031768285,1.2547992541078743e-05,5.023076302962355,0.0004330001266118,-5.797287368436432e-06,False,False,False,False
E_PITCHTYPE_ADJUSTED,7,0.5198011872388761,0.2497613063443227,-0.0001044620529155,-0.0005879813516166,0.3440650602181752,0.5328428183956675,93.781592507668,0.0002336695994816,0.24892993834684,0.0003571325813289,1.0619152436885935e-05,4.261919517224854,0.5148681846897464,0.0,-0.0005879813516166,0.2505879795227284,-0.0006026839434661,-1.995117173242411e-05,0.0,0.5116925586312148,16.3828897459378,4.092559338828017e-05,0.2497660011633997,0.0010050416116533,7.996612709920692e-06,3.201117284352243,0.0002531634165053,4.451355285206571e-07,False,False,False,False
C_SLOPE,7,0.5197870587054604,0.2497607648224011,-0.000103920530994,-0.0005872684940172,0.3440650602181752,0.5328428183956675,93.781592507668,0.0002336695994816,0.24892993834684,0.0003571325813289,1.0619152436885935e-05,4.261919517224854,0.5148249416107273,0.0,-0.0005872684940172,0.250587266665129,-0.0006459270224852,-1.923831413308541e-05,0.0,0.5116934161099861,16.74785487206975,4.1837301553604433e-05,0.2497650894552343,0.0010058990904247,8.908320875244957e-06,3.566082410484196,0.0002390348830896,-9.638639303366504e-08,False,False,False,False
BASE,0,0.5195480238223708,0.2497608612087941,-0.000104016917387,-0.0005680301798841,0.0,0.5324856858143385,89.51967299044315,0.0002230504470447,0.2489405574992769,0.0,0.0,0.0,0.5154708686332126,0.0,-0.0005680301798841,0.2505680283509959,0.0,0.0,0.0,0.5106875170195614,13.181772461585556,3.292898067835948e-05,0.2497739977761096,0.0,0.0,0.0,0.0,0.0,False,False,False,False
J_BEST_COMBINATION,24,0.519544881450353,0.2497629381942895,-0.0001060939028824,-0.0005897003762952,0.3440650602181752,0.5328428183956675,93.781592507668,0.0002336695994816,0.24892993834684,0.0003571325813289,1.0619152436885935e-05,4.261919517224854,0.5145518351018387,0.0,-0.0005897003762952,0.250589698547407,-0.0009190335313739,-2.1670196411083253e-05,0.0,0.5112399908535531,15.111297615516191,3.774906816639279e-05,0.2497691776886215,0.0005524738339917,4.820087488033309e-06,1.929525153930637,-3.142372017705952e-06,2.076985495369499e-06,False,False,False,False
A_LEVEL,7,0.5194105755227193,0.2497666997974104,-0.0001098555060033,-0.000587171595338,0.3440650602181752,0.5323344860441714,87.97431554700482,0.0002191999786829,0.2489444079676386,-0.000151199770167,-3.850468361737969e-06,-1.545357443438334,0.5146348674563181,0.0,-0.000587171595338,0.2505871697664498,-0.0008360011768944,-1.9141415453838292e-05,0.0,0.5112623730676684,15.373912622683756,3.840509864500019e-05,0.2497685216581429,0.000574856048107,5.4761179666407145e-06,2.1921401610982,-0.0001374482996514,5.838588616302598e-06,False,False,False,False
K_STABLE_TOP10,20,0.5193274143440724,0.2497742208088225,-0.0001173765174154,-0.00061811159271,0.3440650602181752,0.532591757032525,88.78502361601628,0.0002212199681576,0.248942387978164,0.0001060712181865,-1.8304788870771027e-06,-0.7346493744268798,0.5133785285791919,0.0,-0.00061811159271,0.2506181097638218,-0.0020923400540207,-5.00814128258642e-05,0.0,0.5120119574205,17.918667383324454,4.476207230605378e-05,0.2497621646844819,0.0013244404009385,1.1833091627694303e-05,4.736894921738898,-0.0002206094782983,1.3359600028406415e-05,False,False,False,False
F_RELIABILITY,10,0.519302936996117,0.2497683956370344,-0.0001115513456272,-0.0005981083603654,0.3440650602181752,0.5326602209110772,90.9815444828395,0.0002266928987987,0.2489369150475229,0.0001745350967387,3.6424517539934698e-06,1.461871492396341,0.5141297341708917,0.0,-0.0005981083603654,0.2505981065314772,-0.0013411344623208,-3.007818048128552e-05,0.0,0.5111188559063817,14.715934887071128,3.6761424684922384e-05,0.249770165332103,0.0004313388868203,3.832444006562907e-06,1.5341624254855724,-0.0002450868262537,7.5344282402523e-06,False,False,False,False
D_LEAGUE_RELATIVE,7,0.5192266432966175,0.2497671713349741,-0.000110327043567,-0.0006032570658328,0.3440650602181752,0.5328428183956675,93.781592507668,0.0002336695994816,0.24892993834684,0.0003571325813289,1.0619152436885935e-05,4.261919517224854,0.5140392756510577,0.0,-0.0006032570658328,0.2506032552369446,-0.0014315929821548,-3.52268859487026e-05,0.0,0.5107978358431273,15.454469638346948,3.86063356501154e-05,0.2497683204211378,0.0001103188235659,5.677354971755921e-06,2.272697176761392,-0.0003213805257532,6.310126179992492e-06,False,False,False,False
H_MOVEMENT_CORE,16,0.5190652180095144,0.2497765298431706,-0.0001196855517635,-0.0005943204969479,0.3440650602181752,0.5310275503447359,77.57548875393012,0.0001932898866612,0.2489703180596603,-0.0014581354696026,-2.976056038345165e-05,-11.944184236513038,0.5143681710637744,0.0,-0.0005943204969479,0.2505943186680597,-0.0011026975694381,-2.6290317063804025e-05,0.0,0.5117999326200332,16.80255849633016,4.197395499619394e-05,0.2497649528017917,0.0011124156004718,9.044974317834464e-06,3.620786034744605,-0.0004828058128563,1.5668634376464485e-05,False,False,False,False
