candidate_name,valid_year,bucket,n,median_cut,actual_rate,brier,auc,prediction_std
BASE,2022,high,39136,1.0,0.522000204415372,0.24915150698790073,0.5290683924280797,0.011847809852720265
BASE,2022,low,31003,1.0,0.5377221559203949,0.24849035312363432,0.546335240027099,0.011759616670176498
BASE,2023,high,60040,1.0,0.5018654230512991,0.25038548860026,0.5167588648686806,0.015665914465130274
BASE,2023,low,27418,1.0,0.49686337442555983,0.25046295419878717,0.5326240771894598,0.014050064173488109
BASE,2024,high,73563,1.0,0.4859644114568465,0.24962924451508056,0.5243306582639956,0.0056903517272202525
BASE,2024,low,25955,1.0,0.47424388364476977,0.24946205580355013,0.5105290414553281,0.005237739126858951
A_LEVEL,2022,high,39136,1.0,0.522000204415372,0.2491958951394137,0.5271034835415187,0.011781198317473466
A_LEVEL,2022,low,31003,1.0,0.5377221559203949,0.24854066989753576,0.5431498722975063,0.011803391617085237
A_LEVEL,2023,high,60040,1.0,0.5018654230512991,0.25039113762670073,0.5163755080605525,0.015600405236246551
A_LEVEL,2023,low,27418,1.0,0.49686337442555983,0.25046878913063886,0.533201765227809,0.014061057755933349
A_LEVEL,2024,high,73563,1.0,0.4859644114568465,0.24963679730406246,0.5240866133579102,0.005616426086679893
A_LEVEL,2024,low,25955,1.0,0.47424388364476977,0.2494413714676086,0.5126144399810313,0.005125041076051797
B_RECENT_DELTA,2022,high,39136,1.0,0.522000204415372,0.2491634575783027,0.5281909906928417,0.01202077002104524
B_RECENT_DELTA,2022,low,31003,1.0,0.5377221559203949,0.24848432936958215,0.5465271507778058,0.011712876047870946
B_RECENT_DELTA,2023,high,60040,1.0,0.5018654230512991,0.2503829526698162,0.5162948706002092,0.0156468458004191
B_RECENT_DELTA,2023,low,27418,1.0,0.49686337442555983,0.25047925716437897,0.532350567395603,0.014154435580357273
B_RECENT_DELTA,2024,high,73563,1.0,0.4859644114568465,0.24961963661590783,0.524875108325474,0.005855195466969211
B_RECENT_DELTA,2024,low,25955,1.0,0.47424388364476977,0.24944938183927665,0.5118084888168453,0.005348874328787003
C_SLOPE,2022,high,39136,1.0,0.522000204415372,0.2491634575783027,0.5281909906928417,0.01202077002104524
C_SLOPE,2022,low,31003,1.0,0.5377221559203949,0.24848432936958215,0.5465271507778058,0.011712876047870946
C_SLOPE,2023,high,60040,1.0,0.5018654230512991,0.25038087644556944,0.5167581469273594,0.015658852655360284
C_SLOPE,2023,low,27418,1.0,0.49686337442555983,0.2504803874062162,0.5327329372854261,0.014144056216073515
C_SLOPE,2024,high,73563,1.0,0.4859644114568465,0.24963134867855347,0.5241147788725515,0.005789400778199206
C_SLOPE,2024,low,25955,1.0,0.47424388364476977,0.24943724503645254,0.513204713947333,0.0053185529361281444
D_LEAGUE_RELATIVE,2022,high,39136,1.0,0.522000204415372,0.2491634575783027,0.5281909906928417,0.01202077002104524
D_LEAGUE_RELATIVE,2022,low,31003,1.0,0.5377221559203949,0.24848432936958215,0.5465271507778058,0.011712876047870946
D_LEAGUE_RELATIVE,2023,high,60040,1.0,0.5018654230512991,0.25038469356326737,0.5161588096233733,0.015721954160203944
D_LEAGUE_RELATIVE,2023,low,27418,1.0,0.49686337442555983,0.2504974331476216,0.5317426818284334,0.014226995861270384
D_LEAGUE_RELATIVE,2024,high,73563,1.0,0.4859644114568465,0.24963558113625203,0.5239272817417546,0.005628475308379194
D_LEAGUE_RELATIVE,2024,low,25955,1.0,0.47424388364476977,0.24944013094532888,0.511970090436062,0.005152726911035377
E_PITCHTYPE_ADJUSTED,2022,high,39136,1.0,0.522000204415372,0.2491634575783027,0.5281909906928417,0.01202077002104524
E_PITCHTYPE_ADJUSTED,2022,low,31003,1.0,0.5377221559203949,0.24848432936958215,0.5465271507778058,0.011712876047870946
E_PITCHTYPE_ADJUSTED,2023,high,60040,1.0,0.5018654230512991,0.25036841581078406,0.517166111812319,0.015370494785297222
E_PITCHTYPE_ADJUSTED,2023,low,27418,1.0,0.49686337442555983,0.25047108810404667,0.5333028404806627,0.01393270828632471
E_PITCHTYPE_ADJUSTED,2024,high,73563,1.0,0.4859644114568465,0.24963432262430996,0.5243044327370664,0.005660350475020162
E_PITCHTYPE_ADJUSTED,2024,low,25955,1.0,0.47424388364476977,0.24943886992522046,0.5128604264127583,0.005095124326241723
F_RELIABILITY,2022,high,39136,1.0,0.522000204415372,0.2491854172331734,0.5272319528180714,0.011985743818416396
F_RELIABILITY,2022,low,31003,1.0,0.5377221559203949,0.24849177908062817,0.5458853967574906,0.011824206256140581
F_RELIABILITY,2023,high,60040,1.0,0.5018654230512991,0.2504049492564744,0.5155528210979355,0.015686454583662402
F_RELIABILITY,2023,low,27418,1.0,0.49686337442555983,0.250489288091601,0.5315240676832246,0.014245095749646506
F_RELIABILITY,2024,high,73563,1.0,0.4859644114568465,0.2496313243653545,0.524844887052643,0.0055895626014801116
F_RELIABILITY,2024,low,25955,1.0,0.47424388364476977,0.24944794267650083,0.5123013130298258,0.005033987873170513
G_RELEASE_CORE,2022,high,39136,1.0,0.522000204415372,0.24918666595946862,0.5282268429795156,0.011441472402268513
G_RELEASE_CORE,2022,low,31003,1.0,0.5377221559203949,0.24858644339362826,0.5428882503945569,0.011412834210156677
G_RELEASE_CORE,2023,high,60040,1.0,0.5018654230512991,0.2503663262869084,0.517271496055313,0.01562631764929644
G_RELEASE_CORE,2023,low,27418,1.0,0.49686337442555983,0.25049401337919536,0.5325522097314423,0.014102960230063641
G_RELEASE_CORE,2024,high,73563,1.0,0.4859644114568465,0.24963531928358995,0.5242971865408281,0.005529428833890095
G_RELEASE_CORE,2024,low,25955,1.0,0.47424388364476977,0.24945083242522129,0.5112978785429521,0.005088641185555601
H_MOVEMENT_CORE,2022,high,39136,1.0,0.522000204415372,0.24918076949689075,0.527919856711848,0.0116808502785221
H_MOVEMENT_CORE,2022,low,31003,1.0,0.5377221559203949,0.24859465885130536,0.5417380394019687,0.011391773137011535
H_MOVEMENT_CORE,2023,high,60040,1.0,0.5018654230512991,0.2503870643259683,0.5169913541311635,0.015741769289645477
H_MOVEMENT_CORE,2023,low,27418,1.0,0.49686337442555983,0.250487569005925,0.5317854159877211,0.014174717133184859
H_MOVEMENT_CORE,2024,high,73563,1.0,0.4859644114568465,0.24962913399890582,0.5247403111735556,0.005657640553750607
H_MOVEMENT_CORE,2024,low,25955,1.0,0.47424388364476977,0.2494414596550153,0.5134036767130793,0.0051469415179716494
I_RELEASE_PLUS_RELIABILITY,2022,high,39136,1.0,0.522000204415372,0.24919397007914093,0.5273936956542599,0.011493603124504783
I_RELEASE_PLUS_RELIABILITY,2022,low,31003,1.0,0.5377221559203949,0.24861900208925553,0.5404394452753476,0.011344368818842503
I_RELEASE_PLUS_RELIABILITY,2023,high,60040,1.0,0.5018654230512991,0.25038436518579643,0.5167751433836454,0.015801359991034037
I_RELEASE_PLUS_RELIABILITY,2023,low,27418,1.0,0.49686337442555983,0.2504768290125101,0.5327807371799451,0.014104542383025881
I_RELEASE_PLUS_RELIABILITY,2024,high,73563,1.0,0.4859644114568465,0.24961948187277141,0.5253445879409361,0.005708546607245147
I_RELEASE_PLUS_RELIABILITY,2024,low,25955,1.0,0.47424388364476977,0.24943828636602564,0.5130914279021199,0.0051642702914757085
K_STABLE_TOP10,2022,high,39136,1.0,0.522000204415372,0.2491764952991094,0.5279913781183845,0.011870468945660606
K_STABLE_TOP10,2022,low,31003,1.0,0.5377221559203949,0.24852322312318495,0.5453807735637632,0.011702290008579247
K_STABLE_TOP10,2023,high,60040,1.0,0.5018654230512991,0.25037212306778533,0.5161031541907506,0.015572552864458565
K_STABLE_TOP10,2023,low,27418,1.0,0.49686337442555983,0.25051398047866086,0.531421302965102,0.014121473420855407
K_STABLE_TOP10,2024,high,73563,1.0,0.4859644114568465,0.24962760873667678,0.5244345691101171,0.005755220416682236
K_STABLE_TOP10,2024,low,25955,1.0,0.47424388364476977,0.24944187824559466,0.5129634575659474,0.005120131230665439
J_BEST_COMBINATION,2022,high,39136,1.0,0.522000204415372,0.2491634575783027,0.5281909906928417,0.01202077002104524
J_BEST_COMBINATION,2022,low,31003,1.0,0.5377221559203949,0.24848432936958215,0.5465271507778058,0.011712876047870946
J_BEST_COMBINATION,2023,high,60040,1.0,0.5018654230512991,0.250365948836748,0.516844139541978,0.015601955608338838
J_BEST_COMBINATION,2023,low,27418,1.0,0.49686337442555983,0.2504951455475656,0.5320111684562627,0.01413977123907215
J_BEST_COMBINATION,2024,high,73563,1.0,0.4859644114568465,0.2496383846759797,0.5240278448607487,0.005572232050782507
J_BEST_COMBINATION,2024,low,25955,1.0,0.47424388364476977,0.24945061522188255,0.5124433008657201,0.005039067519070202
