strategy,lambda,valid_year,target_rate_estimator,target_rate,platt_pred_mean,mean_matched_pred_mean,mean_matched_pred_std,actual_rate,constant_brier,model_brier,skill_margin,pseudo_score,auc,logloss,pred_mean,pred_std
shrink_to_mean,0.0,2022,linear_trend_recent3,0.5114727049981269,0.5348896027577381,0.5114727049981269,0.028738786938679744,0.5289204435249241,0.24916360794632167,0.2494680315260211,-0.00030442357969942546,0.0,0.5,0.6920830799441466,0.5114727049981269,0.0
shrink_to_mean,0.02,2022,linear_trend_recent3,0.5114727049981269,0.5348896027577381,0.5114727049981269,0.028738786938679744,0.5289204435249241,0.24916360794632167,0.2494320652964815,-0.00026845735015981753,0.0,0.5324856858143385,0.6920111083544175,0.5114727049981269,0.0005747757387735947
shrink_to_mean,0.05,2022,linear_trend_recent3,0.5114727049981269,0.5348896027577381,0.5114727049981269,0.028738786938679744,0.5289204435249241,0.24916360794632167,0.24937935482898405,-0.00021574688266237652,0.0,0.5324856858143385,0.6919056241464812,0.5114727049981269,0.001436939346933987
shrink_to_mean,0.08,2022,linear_trend_recent3,0.5114727049981269,0.5348896027577381,0.5114727049981269,0.028738786938679744,0.5289204435249241,0.24916360794632167,0.24932813101366105,-0.00016452306733938382,0.0,0.5324856858143385,0.6918031054857523,0.5114727049981269,0.0022991029550943794
shrink_to_mean,0.1,2022,linear_trend_recent3,0.5114727049981269,0.5348896027577381,0.5114727049981269,0.028738786938679744,0.5289204435249241,0.24916360794632167,0.24929480772132043,-0.00013119977499875812,0.0,0.5324856858143385,0.6917364060556802,0.5114727049981269,0.002873878693867974
shrink_to_mean,0.15,2022,linear_trend_recent3,0.5114727049981269,0.5348896027577381,0.5114727049981269,0.028738786938679744,0.5289204435249241,0.24916360794632167,0.24921439020303032,-5.078225670865355e-05,0.0,0.5324856858143385,0.6915754149397506,0.5114727049981269,0.004310818040801962
shrink_to_mean,0.2,2022,linear_trend_recent3,0.5114727049981269,0.5348896027577381,0.5114727049981269,0.028738786938679744,0.5289204435249241,0.24916360794632167,0.24913810227411384,2.550567220782618e-05,10.236515845171487,0.5324856858143385,0.6914226414802327,0.5114727049981269,0.005747757387735948
shrink_to_mean,0.25,2022,linear_trend_recent3,0.5114727049981269,0.5348896027577381,0.5114727049981269,0.028738786938679744,0.5289204435249241,0.24916360794632167,0.24906594393457082,9.76640117508476e-05,39.19674006803102,0.5324856858143385,0.6912780777669575,0.5114727049981269,0.007184696734669935
shrink_to_mean,0.3,2022,linear_trend_recent3,0.5114727049981269,0.5348896027577381,0.5114727049981269,0.028738786938679744,0.5289204435249241,0.24916360794632167,0.24899791518440137,0.0001656927619202997,66.49958366150949,0.5324856858143385,0.691141717294169,0.5114727049981269,0.008621636081603924
shrink_to_mean,0.4,2022,linear_trend_recent3,0.5114727049981269,0.5348896027577381,0.5114727049981269,0.028738786938679744,0.5289204435249241,0.24916360794632167,0.24887424645218303,0.00028936149413863466,116.13312896037891,0.5324856858143385,0.6908935870553646,0.5114727049981269,0.011495514775471897
shrink_to_mean,0.5,2022,linear_trend_recent3,0.5114727049981269,0.5348896027577381,0.5114727049981269,0.028738786938679744,0.5289204435249241,0.24916360794632167,0.24876709607745884,0.0003965118688628311,159.13715174177975,0.5324856858143385,0.6906782267444823,0.5114727049981269,0.01436939346933987
shrink_to_mean,0.6,2022,linear_trend_recent3,0.5114727049981269,0.5348896027577381,0.5114727049981269,0.028738786938679744,0.5289204435249241,0.24916360794632167,0.24867646406022878,0.00048714388609288894,195.511652005712,0.5324856858143385,0.6904956347935868,0.5114727049981269,0.017243272163207847
shrink_to_mean,0.75,2022,linear_trend_recent3,0.5114727049981269,0.5348896027577381,0.5114727049981269,0.028738786938679744,0.5289204435249241,0.24916360794632167,0.2485714879546852,0.0005921199916364694,237.64304768135813,0.5324856858143385,0.6902832397008946,0.5114727049981269,0.021554090204009807
