lambda,strategy,mean_model_brier,worst_model_brier,mean_skill_margin,worst_skill_margin,mean_pseudo_score,positive_score_folds,mean_auc,mean_logloss,mean_pred_std,skill_margin_2024,pseudo_score_2024,model_brier_2024,pred_std_2024,temperature
0.5,shrink_to_mean,0.2497987077894304,0.2508544257703548,-0.00014186349802326284,-0.0008544275992430628,57.3590799350121,2,0.5195480238223708,0.6927527613759975,0.0161956490566905,3.232523631044315e-05,12.940088063256548,0.24977460152047753,0.006493197735536946,
0.4,shrink_to_mean,0.2497877658158869,0.250714194243886,-0.00013092152447978975,-0.0007141960727742591,42.990348557247735,2,0.5195480238223708,0.6927271075039249,0.0129565192453524,3.207000519625525e-05,12.837916711364294,0.24977485675159172,0.005194558188429557,
0.6,shrink_to_mean,0.24983677725628572,0.25105614848991836,-0.0001799329648785782,-0.001056150318806598,69.06789897367602,2,0.5195480238223708,0.6928349024316339,0.0194347788680286,2.9207538077974382e-05,11.692044915316076,0.24977771921871,0.007791837282644335,
0.3,shrink_to_mean,0.24980395133565528,0.250635453910512,-0.0001471070442481496,-0.0006354557394002425,25.961704840394045,2,0.5195480238223708,0.6927572683325951,0.0097173894340143,2.8441844735493937e-05,11.385530859672645,0.24977848491205248,0.0038959186413221676,
0.25,shrink_to_mean,0.2498222169055314,0.25061914294123555,-0.00016537261412426693,-0.0006191447701237862,16.449915854809635,2,0.5195480238223708,0.6927931168694217,0.008097824528345251,2.5362916000137847e-05,10.153007496397882,0.24978156384078784,0.0032465988677684732,
0.2,shrink_to_mean,0.2498472643487355,0.2506182047702328,-0.00019042005732837022,-0.0006182065991210128,6.273148784439918,2,0.5195480238223708,0.6928427446804538,0.0064782596226762,2.1440754928075956e-05,8.58293050814827,0.2497854860018599,0.0025972790942147784,
0.75,shrink_to_mean,0.24994474550652843,0.25147402855631645,-0.00028790121512128897,-0.0014740303852046888,81.64379189586738,2,0.5195480238223708,0.6930659730469051,0.02429347358503575,1.820674820435242e-05,7.288328006244002,0.24978872000858363,0.009739796603305418,
0.15,shrink_to_mean,0.24987909366526753,0.25063263939750374,-0.0002222493738604133,-0.0006326412263919778,2.2250999649857137,1,0.5195480238223708,0.6929061143709386,0.00485869471700715,1.667536151939153e-05,6.675299894957141,0.2497902513952686,0.0019479593206610838,
0.1,shrink_to_mean,0.24991770485512754,0.25066244682304833,-0.0002608605637204238,-0.0006624486519365702,1.4767052189377956,1,0.5195480238223708,0.6929831980044452,0.0032391298113381,1.1066735774056813e-05,4.430115656813387,0.24979586002101392,0.0012986395471073892,
0.08,shrink_to_mean,0.24993504825560342,0.25067867417678286,-0.000278203964196283,-0.0006786760056710917,1.1458423155184574,1,0.5195480238223708,0.6930178668706026,0.0025913038490704803,8.587180421626428e-06,3.437526946555372,0.24979833957636635,0.0010389116376859115,
0.05,shrink_to_mean,0.24996309791831553,0.25070762704686667,-0.0003062536269084204,-0.000707628875754901,0.6157925978982614,1,0.5195480238223708,0.693073976902252,0.00161956490566905,4.614877692016295e-06,1.847377793694784,0.24980231187909596,0.0006493197735536945,
0.02,shrink_to_mean,0.24999358905542576,0.25074211412432906,-0.0003367447640186261,-0.0007421159532172983,0.045236445287157534,1,0.5195480238223708,0.6931350136093002,0.00064782596226762,3.3901132123759226e-07,0.1357093358614726,0.24980658774546674,0.0002597279094214778,
1.0,shrink_to_mean,0.2502603300568255,0.25247795129912054,-0.0006034857654183731,-0.002477953128008775,91.57147596225542,1,0.5195480238223708,0.6937489999459311,0.032391298113381005,-1.6992548318106593e-05,0.0,0.24982391930510608,0.012986395471073893,
0.0,shrink_to_mean,0.2500152728548315,0.2507681800689588,-0.0003584285634243752,-0.0007681818978470256,0.0,0,0.5,0.693178441488822,9.251858538542972e-17,-2.6802127266745135e-06,0.0,0.24980960696951465,5.551115123125783e-17,
,temperature,0.2498049242273653,0.2508751645230789,-0.00014807993595815824,-0.0008751663519671327,57.638601487551995,2,0.5195480238223708,0.6927660674911738,0.016355867528037294,3.234114283270917e-05,12.946455589758928,0.24977458561395527,0.006496862871915901,2.0
,temperature,0.24979193034427657,0.2507287883168091,-0.0001350860528694283,-0.00072879014569735,43.27134399605586,2,0.5195480238223708,0.6927359163350025,0.013101720365744087,3.2098209557296364e-05,12.84920717532672,0.24977482854723068,0.0051977113138088876,2.5
,temperature,0.24979837223802007,0.2506653454416823,-0.00014152794661293858,-0.000665347270570521,32.19919400639319,2,0.5195480238223708,0.6927469978395041,0.010926117927053829,3.005912434500546e-05,12.032942695088284,0.24977686763244297,0.0043314923782341004,3.0
,temperature,0.24982360956629224,0.25062502456634644,-0.00016676527488510007,-0.0006250263952346791,16.677818881546546,2,0.5195480238223708,0.6927960337173293,0.008200860666957912,2.539732656164917e-05,10.16678235923218,0.24978152943022633,0.0032486337371496104,4.0
,temperature,0.24988586306813745,0.2512523420822719,-0.00022901877673031645,-0.0012523439111601087,75.61598739425911,2,0.5195480238223708,0.6929404247544535,0.021749410532866376,2.524550466029285e-05,10.106006662045793,0.24978168125212769,0.008661418190527384,1.5
,temperature,0.24984798374973138,0.25062182354022616,-0.00019113945832423726,-0.0006218253691143982,6.468533651558407,2,0.5195480238223708,0.6928442556301283,0.00656316000627405,2.1473005175215443e-05,8.595840577359795,0.24978545375161276,0.0025988935798212064,5.0
,temperature,0.25000250035563903,0.2516696902280662,-0.0003456560642319158,-0.0016696920569544138,84.64195187335189,2,0.5195480238223708,0.6931907803535894,0.02603181956589622,1.2830096596722074e-05,5.136005139366474,0.24979409666019126,0.010392191632574424,1.25
,temperature,0.24989131363112912,0.25064223163496924,-0.00023446933972197845,-0.0006422334638574723,1.9915683862372502,1,0.5195480238223708,0.6929305175589716,0.0043772120012848855,1.4925227339757097e-05,5.974705158711751,0.24979200152944822,0.001732567975518263,7.5
,temperature,0.24991763494330088,0.2506630569694729,-0.0002607906518937349,-0.0006630587983611214,1.4794877689132206,1,0.5195480238223708,0.6929830702770002,0.0032834358219712046,1.1087588781794055e-05,4.438463306739662,0.24979583916800618,0.0012994104918867295,10.0
,temperature,0.24994706676015924,0.2506909836271745,-0.0002902224687521178,-0.0006909854560627482,0.9172579669036107,1,0.5195480238223708,0.6930419075101288,0.0021892468665497635,6.874121812661116e-06,2.751773900710832,0.24980005263497532,0.0008662610749506447,15.0
,temperature,0.2499629501171289,0.25070761344943715,-0.00030610582572176043,-0.0007076152783253853,0.6173378199969274,1,0.5195480238223708,0.693073683365737,0.001642026399642355,4.626457907525028e-06,1.852013459990782,0.24980230029888045,0.0006496904508806127,20.0
,temperature,0.2502603300568255,0.25247795129912054,-0.0006034857654183731,-0.002477953128008775,91.57147596225542,1,0.5195480238223708,0.6937489999459311,0.032391298113381005,-1.6992548318106593e-05,0.0,0.24982391930510608,0.012986395471073891,1.0
