valid_year,method,prior_name,weight,brier,logloss,pred_mean,target_mean,bias,prior_rate,actual_valid_rate,prior_error
2022,raw_model,,,0.25236891011388485,0.6982360543908525,0.564747142216467,0.5289204435249241,0.03582669869154298,,,
2022,platt,,0.0,0.24888462547543985,0.6909138376430902,0.5367647443097421,0.5289204435249241,0.007844300784818015,,,
2022,prior,prev_year_rate,1.0,0.2491783624847056,0.6915030890899017,0.5327616072006734,0.5289204435249241,0.0038411636757493817,0.5327616072006734,0.5289204435249241,0.0038411636757493817
2022,prior,linear_all_history,1.0,0.2494680315260211,0.6920830799441466,0.5114727049981269,0.5289204435249241,-0.017447738526797152,0.5114727049981269,0.5289204435249241,-0.017447738526797152
2022,prior,linear_recent_2y,1.0,0.24917874840177565,0.6915038642571443,0.5328115173425115,0.5289204435249241,0.003891073817587465,0.5328115173425114,0.5289204435249241,0.003891073817587354
2022,prior,linear_recent_3y,1.0,0.2494680315260211,0.6920830799441466,0.5114727049981269,0.5289204435249241,-0.017447738526797152,0.5114727049981269,0.5289204435249241,-0.017447738526797152
2022,prior,recency_weighted_linear,1.0,0.24924528019526782,0.6916371531939131,0.519883173530836,0.5289204435249241,-0.009037269994088049,0.519883173530836,0.5289204435249241,-0.009037269994088049
2022,prior,exp_smoothing_0.65,1.0,0.2492234936890388,0.6915937946033751,0.536659031426935,0.5289204435249241,0.007738587902010985,0.536659031426935,0.5289204435249241,0.007738587902010985
2023,raw_model,,,0.2542368694346819,0.7021798832570163,0.5387933677062605,0.49995723449750534,0.038836133208755175,,,
2023,platt,,0.0,0.25233600891363844,0.6980165787350958,0.530580405031529,0.49995723449750534,0.03062317053402369,,,
2023,prior,prev_year_rate,1.0,0.25083886564827773,0.6948277218480876,0.5289204435249238,0.49995723449750534,0.0289632090274185,0.5289204435249241,0.49995723449750534,0.028963209027418724
2023,prior,linear_all_history,1.0,0.2501692325099754,0.6934857591900527,0.5129662444084708,0.49995723449750534,0.013009009910965486,0.5129662444084708,0.49995723449750534,0.013009009910965486
2023,prior,linear_recent_2y,1.0,0.25063111533376303,0.6944109999042866,0.5250792798491739,0.49995723449750534,0.025122045351668565,0.5250792798491739,0.49995723449750534,0.025122045351668565
2023,prior,linear_recent_3y,1.0,0.2507681800689588,0.6946858962212142,0.5276733290608979,0.49995723449750534,0.02771609456339258,0.5276733290608981,0.49995723449750534,0.0277160945633928
2023,prior,recency_weighted_linear,1.0,0.25046899863726574,0.694086054145408,0.5216136530877034,0.49995723449750534,0.021656418590198012,0.5216136530877034,0.49995723449750534,0.021656418590198012
2023,prior,exp_smoothing_0.65,1.0,0.2510030956890487,0.6951573930076455,0.5316289492906279,0.49995723449750534,0.03167171479312253,0.5316289492906279,0.49995723449750534,0.03167171479312253
2024,raw_model,,,0.25605369623086216,0.7060923799584506,0.5333742859831672,0.4861049201797189,0.04726936580344826,,,
2024,platt,,0.0,0.2500249677510503,0.6931975969299533,0.5003080196545674,0.4861049201797189,0.01420309947484849,,,
2024,prior,prev_year_rate,1.0,0.24999881336874683,0.6931448072974332,0.4999572344975052,0.4861049201797189,0.013852314317786274,0.49995723449750534,0.4861049201797189,0.01385231431778644
2024,prior,linear_all_history,1.0,0.2498398082507333,0.6928267745223177,0.4918391589212803,0.4861049201797189,0.0057342387415613705,0.4918391589212803,0.4861049201797189,0.0057342387415613705
2024,prior,linear_recent_2y,1.0,0.25003526589571395,0.6932187380004153,0.47099402547007685,0.4861049201797189,-0.015110894709642053,0.47099402547007685,0.4861049201797189,-0.015110894709642053
2024,prior,linear_recent_3y,1.0,0.24980960696951465,0.692766348301105,0.4877420557045226,0.4861049201797189,0.0016371355248037123,0.48774205570452267,0.4861049201797189,0.0016371355248037678
2024,prior,recency_weighted_linear,1.0,0.2498072029110353,0.692761537069257,0.4866304239829802,0.4861049201797189,0.0005255038032612735,0.4866304239829802,0.4861049201797189,0.0005255038032612735
2024,prior,exp_smoothing_0.65,1.0,0.25042880139850243,0.6940049426560494,0.5110423346750981,0.4861049201797189,0.024937414495379173,0.5110423346750983,0.4861049201797189,0.024937414495379395
