prior_name,weight,mean_brier,std_brier,max_brier,mean_prior_error,folds
linear_all_history,0.7,0.24972410604481368,0.0006026387065303263,0.2502535351956478,0.00043183670857656803,3
linear_all_history,0.75,0.24972446315826805,0.0004939562977770763,0.2502058103292603,0.00043183670857656803,3
linear_all_history,0.65,0.24973037840047288,0.0006562432078125537,0.2503147298295454,0.00043183670857656803,3
linear_all_history,0.8,0.24973144974083597,0.00045166230198329354,0.2501715552303831,0.00043183670857656803,3
linear_all_history,0.6,0.24974328022524564,0.0007132907951713035,0.2503893942309532,0.00043183670857656803,3
linear_all_history,0.85,0.24974506579251746,0.0004607868738315235,0.2501507698990159,0.00043183670857656803,3
recency_weighted_linear,0.75,0.24976489057331366,0.0006502538322331928,0.2504737329273592,0.004381550799790412,3
linear_all_history,0.9,0.2497653113133125,0.0004199234141421848,0.2501434543351589,0.00043183670857656803,3
recency_weighted_linear,0.7,0.24976731230834562,0.0007630312738019204,0.25051164124769787,0.004381550799790412,3
recency_weighted_linear,0.8,0.24976831630603966,0.0006218096577778165,0.2504481450944605,0.004381550799790412,3
recency_weighted_linear,0.65,0.24977558151113552,0.0008032877836710284,0.25056187005547653,0.004381550799790412,3
recency_weighted_linear,0.85,0.24977758950652354,0.0006676830736819821,0.2504348777490018,0.004381550799790412,3
linear_all_history,0.5,0.24978897228213182,0.0008387859906238597,0.25057913233629914,0.00043183670857656803,3
recency_weighted_linear,0.6,0.24978969818168337,0.0008478325420580116,0.25062441935069524,0.004381550799790412,3
recency_weighted_linear,0.9,0.24979271017476537,0.0006445742949075269,0.2504339308909831,0.004381550799790412,3
linear_recent_2y,0.7,0.24981813877293282,0.0008194052236097997,0.2506356523902976,0.004634074819871288,3
linear_recent_2y,0.65,0.2498189562296053,0.0008522544883170086,0.250678652817839,0.004634074819871288,3
linear_recent_2y,0.75,0.24982375667392,0.0007081858200084735,0.25060472174888543,0.004634074819871288,3
linear_all_history,1.0,0.24982569076224326,0.0003508136009130435,0.2501692325099754,0.00043183670857656803,3
linear_recent_2y,0.6,0.2498262090439374,0.0008903569504746139,0.2507337230315097,0.004634074819871288,3
recency_weighted_linear,0.5,0.2498354739260528,0.000950182243790976,0.2507864794034525,0.004381550799790412,3
linear_recent_2y,0.8,0.2498358099325669,0.0006881023360756278,0.25058586089360246,0.004634074819871288,3
recency_weighted_linear,1.0,0.24984049391452298,0.0006125381004528346,0.25046899863726574,0.004381550799790412,3
linear_recent_2y,0.85,0.24985429854887342,0.0007519885967935076,0.2505790698244488,0.004634074819871288,3
linear_recent_2y,0.5,0.24986002074558064,0.000982400571073101,0.25088007281723873,0.004634074819871288,3
linear_all_history,0.4,0.24986118221547224,0.0009813506847443554,0.25082274951168576,0.00043183670857656803,3
linear_recent_3y,0.65,0.24986995837744294,0.0008773614555060648,0.250772706963639,0.003968497187133139,3
linear_recent_3y,0.7,0.24987190730973718,0.0008355919105346441,0.25073617807532483,0.003968497187133139,3
linear_recent_3y,0.6,0.24987427953806915,0.000922705774979595,0.2508211965816446,0.003968497187133139,3
linear_recent_2y,0.9,0.24987922252283956,0.0007397137915117258,0.2505843485414243,0.004634074819871288,3
linear_recent_3y,0.75,0.24988012633495185,0.0007133365627591915,0.25071160991670205,0.003968497187133139,3
linear_recent_3y,0.8,0.24989461545308692,0.0006828157756626791,0.2506990024877706,0.003968497187133139,3
linear_recent_3y,0.5,0.24990173213808275,0.0010239136682147637,0.25095405800672976,0.003968497187133139,3
recency_weighted_linear,0.4,0.249904639541454,0.001071041195447306,0.25099782140596977,0.004381550799790412,3
linear_recent_3y,0.85,0.24991537466414246,0.0007335388458521925,0.2506983557885306,0.003968497187133139,3
linear_recent_2y,0.4,0.24991957387786248,0.0010956025557094483,0.25107470174748475,0.004634074819871288,3
prev_year_rate,0.7,0.24992005899991176,0.0008965250316043293,0.25078685406073226,0.01555222900698485,3
prev_year_rate,0.75,0.24992187820451636,0.0007813873782598082,0.25076569202965926,0.01555222900698485,3
prev_year_rate,0.65,0.2499231979912874,0.0009240895395087066,0.25081994834340415,0.01555222900698485,3
prev_year_rate,0.8,0.24992865560510116,0.0007650486852453789,0.25075646225018516,0.01555222900698485,3
prev_year_rate,0.6,0.2499312951786434,0.0009563745428588584,0.25086497487767495,0.01555222900698485,3
