method,prior_name,weight,mean_brier,std_brier,mean_logloss,mean_bias,folds
blend,linear_all_history,0.22,0.2488293554419701,,0.6908023494218568,0.0022800521362627,1
blend,linear_recent_3y,0.22,0.2488293554419701,,0.6908023494218568,0.0022800521362627,1
blend,linear_all_history,0.24,0.24882946709947557,,0.6908025988329287,0.001774211350030308,1
blend,linear_recent_3y,0.24,0.24882946709947557,,0.6908025988329287,0.001774211350030308,1
blend,linear_all_history,0.26,0.24883043479131484,,0.6908045734510475,0.001268370563798027,1
blend,linear_recent_3y,0.26,0.24883043479131484,,0.6908045734510475,0.001268370563798027,1
blend,linear_all_history,0.18,0.24883170022996048,,0.690807031013502,0.0032917337087272625,1
blend,linear_recent_3y,0.18,0.24883170022996048,,0.690807031013502,0.0032917337087272625,1
blend,linear_all_history,0.28,0.24883225851748791,,0.6908082721268431,0.0007625297775656348,1
blend,linear_recent_3y,0.28,0.24883225851748791,,0.6908082721268431,0.0007625297775656348,1
blend,linear_all_history,0.16,0.24883415667545639,,0.690811964510583,0.0037975744949596546,1
blend,linear_recent_3y,0.16,0.24883415667545639,,0.690811964510583,0.0037975744949596546,1
blend,linear_all_history,0.14,0.2488374691552861,,0.6908186282037541,0.004303415281191714,1
blend,linear_recent_3y,0.14,0.2488374691552861,,0.6908186282037541,0.004303415281191714,1
blend,recency_weighted_linear,0.24,0.24884070402736802,,0.6908251274035386,0.0037927237978805373,1
blend,recency_weighted_linear,0.26,0.24884076369079802,,0.6908252579493456,0.0034550923823024604,1
blend,recency_weighted_linear,0.22,0.24884121663841538,,0.6908261514687067,0.004130355213458614,1
blend,recency_weighted_linear,0.28,0.2488413956287053,,0.6908265424193649,0.0031174609667243836,1
blend,linear_all_history,0.12,0.24884163766944953,,0.690827023438955,0.004809256067424106,1
blend,linear_recent_3y,0.12,0.24884163766944953,,0.690827023438955,0.004809256067424106,1
blend,recency_weighted_linear,0.18,0.24884395868394205,,0.6908316662818093,0.00480561804461499,1
blend,recency_weighted_linear,0.16,0.2488461881184214,,0.6908361585062858,0.005143249460193067,1
blend,recency_weighted_linear,0.14,0.24884898982737805,,0.6908418082949757,0.005480880875771144,1
blend,recency_weighted_linear,0.12,0.24885236381081205,,0.6908486164381227,0.00581851229134922,1
blend,prev_year_rate,0.18,0.24887161233524766,,0.6908872795872909,0.007123736105185685,1
blend,prev_year_rate,0.16,0.24887162982124494,,0.6908873454076461,0.007203798847367104,1
blend,linear_recent_2y,0.18,0.2488717404127614,,0.6908875372543754,0.0071327199307165134,1
blend,linear_recent_2y,0.16,0.24887174493865422,,0.6908875770835261,0.007211784470060989,1
blend,prev_year_rate,0.14,0.2488720044118594,,0.6908881318327855,0.007283861589548302,1
blend,linear_recent_2y,0.14,0.24887210625148162,,0.690888336861264,0.007290849009405798,1
blend,prev_year_rate,0.22,0.24887264867710446,,0.6908893087369833,0.0069636106208228465,1
blend,prev_year_rate,0.12,0.24887273610709093,,0.6908896391316325,0.007363924331729721,1
blend,linear_recent_2y,0.22,0.24887280172177922,,0.6908896164236492,0.006974590852027229,1
blend,linear_recent_2y,0.12,0.2488728243512435,,0.6908898168550599,0.007369913548750273,1
blend,prev_year_rate,0.24,0.24887370250495855,,0.6908914032208581,0.006883547878641538,1
blend,linear_recent_2y,0.24,0.24887386755668992,,0.6908917349387621,0.006895526312682532,1
blend,prev_year_rate,0.26,0.24887511343742977,,0.6908942173371272,0.006803485136460119,1
blend,linear_recent_2y,0.26,0.2488752901785351,,0.690894572435794,0.006816461773337945,1
blend,prev_year_rate,0.28,0.2488768814745181,,0.6908977508684094,0.006723422394278811,1
blend,linear_recent_2y,0.28,0.24887706958731487,,0.6908981286987719,0.0067373972339933585,1
blend,exp_smoothing_0.65,0.12,0.24887984292277734,,0.6909039530560918,0.007831615238881096,1
blend,exp_smoothing_0.65,0.14,0.24888025085781867,,0.6909047352238661,0.007829500981225035,1
blend,exp_smoothing_0.65,0.16,0.24888100308633193,,0.6909062110630182,0.007827386723568752,1
blend,exp_smoothing_0.65,0.18,0.24888209960831711,,0.6909083804093781,0.007825272465912803,1
blend,exp_smoothing_0.65,0.02,0.24945548558496056,0.0008096626288185657,0.6920570519933187,0.011129986151210497,2
blend,exp_smoothing_0.65,0.04,0.2494564495789982,0.0008128835374798865,0.6920589402192417,0.011236272172587686,2
blend,exp_smoothing_0.65,0.06,0.24945768859535822,0.0008160064819419111,0.6920613818312096,0.01134255819396493,2
blend,exp_smoothing_0.65,0.08,0.2494592026340404,0.0008190314622044921,0.692064376702565,0.01144884421534223,2
blend,linear_all_history,0.7,0.24972410604481368,0.0006026387065303263,0.692595961547963,0.005569342775372595,3
blend,linear_all_history,0.75,0.24972446315826805,0.0004939562977770763,0.6925963492680772,0.0047130917642399335,3
blend,linear_all_history,0.65,0.24973037840047288,0.0006562432078125537,0.6926090193157691,0.006425593786505275,3
blend,linear_all_history,0.8,0.24973144974083597,0.00045166230198329354,0.692610133238051,0.0038568407531072526,3
