candidate_name,valid_year,sample_bucket,n,v2_brier,candidate_brier,delta_brier_candidate_minus_v2,candidate_auc,skill_contribution
C_PITCHER_GAME_fallback25,2022,lt25,39705,0.24902066663025166,0.2490462148154316,2.5548185179941063e-05,0.5060135888214259,-2.5548185179956272e-05
C_PITCHER_GAME_fallback25,2022,25_49,3556,0.24784378857477884,0.24702815100927303,-0.0008156375655058168,0.5574030686250877,0.0008156375655058155
C_PITCHER_GAME_fallback25,2022,50_99,4551,0.24950565603570307,0.24900566039140506,-0.0004999956442980069,0.5484335687038391,0.000499995644297988
C_PITCHER_GAME_fallback25,2022,100_299,9770,0.2480622186884651,0.24624264074518346,-0.0018195779432816361,0.559061861964682,0.0018195779432816639
C_PITCHER_GAME_fallback25,2022,300_plus,189890,0.2489759937202076,0.24854747431525412,-0.00042851940495347574,0.5576344158009054,0.00042851940495346533
C_PITCHER_GAME_fallback25,2023,lt25,34667,0.2511504919824166,0.2510967422410557,-5.374974136090893e-05,0.4944549619475347,5.374974136091596e-05
C_PITCHER_GAME_fallback25,2023,25_49,589,0.255573193999102,0.25523009773855654,-0.0003430962605454613,0.4966422108668136,0.0003430962605455168
C_PITCHER_GAME_fallback25,2023,50_99,2866,0.2534688991638495,0.25458284586805746,0.0011139467042079465,0.5092796512288038,-0.0011139467042079485
C_PITCHER_GAME_fallback25,2023,100_299,7740,0.2525320145298994,0.252164283030197,-0.00036773149970237284,0.5180196129309367,0.00036773149970239334
C_PITCHER_GAME_fallback25,2023,300_plus,199663,0.25033435732505954,0.2501463230057232,-0.00018803431933633874,0.5257928956115404,0.00018803431933637048
C_PITCHER_GAME_fallback25,2024,lt25,50641,0.2499400197868153,0.24992961430297592,-1.040548383937634e-05,0.49623980152866387,1.0405483839407229e-05
C_PITCHER_GAME_fallback25,2024,25_49,2431,0.24868874932707527,0.24888888447490684,0.0002001351478315705,0.517683762478552,-0.00020013514783156236
C_PITCHER_GAME_fallback25,2024,50_99,1477,0.24958630009398672,0.2495207563517172,-6.554374226952486e-05,0.4778361828879175,6.554374226957217e-05
C_PITCHER_GAME_fallback25,2024,100_299,7873,0.24927542844933465,0.24926331046755784,-1.2117981776804676e-05,0.4925828368431235,1.2117981776843072e-05
C_PITCHER_GAME_fallback25,2024,300_plus,191085,0.24976579820064135,0.24964282306172034,-0.00012297513892101097,0.5249403944839256,0.00012297513892102837
C_PITCHER_GAME_fallback50,2022,lt25,39705,0.24902066663025166,0.24904262498926338,2.1958359011725603e-05,0.5060135888214259,-2.1958359011725386e-05
C_PITCHER_GAME_fallback50,2022,25_49,3556,0.24784378857477884,0.24801385014326763,0.00017006156848878295,0.5151694352181142,-0.00017006156848881502
C_PITCHER_GAME_fallback50,2022,50_99,4551,0.24950565603570307,0.24900686318409224,-0.0004987928516108353,0.5484335687038391,0.0004987928516107729
