candidate_name,calibration_mode,mean_auc,mean_brier,worst_skill_margin,positive_fold_count,auc_2022,pseudo_2022,skill_2022,delta_auc_2022_vs_v2,delta_skill_2022_vs_v2,auc_2023,pseudo_2023,skill_2023,delta_auc_2023_vs_v2,delta_skill_2023_vs_v2,auc_2024,pseudo_2024,skill_2024,delta_auc_2024_vs_v2,delta_skill_2024_vs_v2,delta_mean_auc_vs_v2
CD_COMBO_g0p50_h0p50,platt,0.5291666415843931,0.24948495000187784,-0.0009965349393748768,2,0.5429614647703993,477.0330407761949,0.0011885927354940151,0.01068272776558099,0.0009655422884492781,0.524919300036202,0.0,-0.0009965349393748768,0.009548815983454917,-0.0004285047594906888,0.5196191599465777,129.55007960360868,0.0003236250724687473,0.008931466273682243,0.0002906960917903878,0.009721003340906087
CD_COMBO_g0p50_h0p50,native,0.5291666415843931,0.24952578764734565,-0.0006665186679584434,1,0.5429614647703993,566.1120183099193,0.0014105451298387361,0.01068272776558099,0.0011874946827939992,0.524919300036202,0.0,-0.0006665186679584434,0.009548815983454917,-9.848848807425536e-05,0.5196191599465777,0.0,-0.0003508565296958255,0.008931466273682243,-0.00038378551037418496,0.009721003340906087
CD_COMBO_g0p25_h0p75,platt,0.5290914897264234,0.24947644943064887,-0.0008879668233474358,2,0.5410072003324292,434.9341324931884,0.0010836975767100632,0.008728463327610902,0.0008606471296653262,0.5258164896916604,0.0,-0.0008879668233474358,0.010446005638913292,-0.0003199366434632478,0.5204507791551805,138.2883306708889,0.0003454538289122122,0.009763085482284994,0.00031252484823385274,0.009645851482936396
CD_COMBO_g0p25_h0p75,native,0.5290914897264234,0.24954355290708388,-0.0006441045138503021,1,0.5410072003324292,530.9053927163187,0.0013228230312735678,0.008728463327610902,0.0010997725842288308,0.5258164896916604,0.0,-0.0006441045138503021,0.010446005638913292,-7.607433396611407e-05,0.5204507791551805,0.0,-0.0003388443644535555,0.009763085482284994,-0.00037177334513191496,0.009645851482936396
CD_COMBO_g0p50_h0p50,v2_strength,0.5290473702187836,0.24958947663231543,-0.0003694155048966363,2,0.5429449174347959,139.22131349896523,0.0003468888477442811,0.010666180429977579,0.0001238384006995441,0.5245800115618462,0.0,-0.0003694155048966363,0.009209527509099091,0.0001986146749875517,0.5196171816597086,89.92129935860982,0.0002246296344275145,0.008929487986813145,0.00019170065374915501,0.009601731975296568
CD_COMBO_g0p25_h0p75,v2_strength,0.5290112126328782,0.2495976884252061,-0.00034998173822078926,2,0.5410098216717616,115.82363758604747,0.00028859035426406776,0.008731084666943278,6.553990721933078e-05,0.5255751179184047,0.0,-0.00034998173822078926,0.01020463386565762,0.00021804844166339876,0.5204486983084685,95.6174376991558,0.0002388589825598475,0.009761004635573056,0.00020593000188148802,0.009565574389391207
CD_COMBO_g0p75_h0p25,platt,0.5288505269786791,0.2494977165463035,-0.001086042027082651,2,0.5441645191840601,507.8298937554463,0.001265327285511042,0.011885782179241744,0.001042276838466305,0.5235592504073959,0.0,-0.001086042027082651,0.008188766354648824,-0.0005180118471984629,0.5188278113445813,119.33134951565582,0.000298097976882461,0.008140117671685876,0.0002651689962041015,0.009404888735192074
CD_COMBO_g0p75_h0p25,native,0.5288505269786791,0.24952998877488697,-0.0007104063496156943,1,0.5441645191840601,586.2480042080249,0.0014607166787980186,0.011885782179241744,0.0012376662317532816,0.5235592504073959,0.0,-0.0007104063496156943,0.008188766354648824,-0.00014237616973150624,0.5188278113445813,0.0,-0.00036974377962181726,0.008140117671685876,-0.00040267276030017674,0.009404888735192074
CD_COMBO_g0p75_h0p25,v2_strength,0.5287346295264999,0.24958632285854931,-0.0003900826108431399,2,0.5441981260322056,158.32022156450054,0.00039447637615872,0.011919389027387317,0.00017142592911398302,0.5231780658778847,0.0,-0.0003900826108431399,0.007807581825137633,0.00017794756904104814,0.5188276966694093,82.9322613058066,0.00020717053325794432,0.008140002996513851,0.00017424155257958485,0.00928899128301286
CD_COMBO_g0p00_h1p00,v2_strength,0.528350236004664,0.24961649478393863,-0.00033925936286063885,2,0.5382764989523492,85.43947361717035,0.00021288407507488727,0.0059977619475308774,-1.0166371969849708e-05,0.5260521419301266,0.0,-0.00033925936286063885,0.010681657877379513,0.00022877081702354918,0.5207220671315165,99.04601661913227,0.0002474238101912718,0.010034373458621015,0.00021449482951291232,0.008904597761177024
CD_COMBO_g0p00_h1p00,platt,0.5283480068917276,0.2494870319453397,-0.0007893131855482294,2,0.5382764989523492,378.0523124563264,0.0009419687816406841,0.0059977619475308774,0.0007189183345959471,0.5260411339970984,0.0,-0.0007893131855482294,0.010670649944351296,-0.00022128300566404135,0.5207263877257353,142.8228779489527,0.00035678144210987695,0.010038694052839858,0.00032385246143151747,0.008902368648240566
CD_COMBO_g0p00_h1p00,native,0.5283480068917276,0.2496012946139392,-0.0006581891090862435,1,0.5382764989523492,469.7454881962873,0.001170434806554932,0.0059977619475308774,0.000947384359510195,0.5260411339970984,0.0,-0.0006581891090862435,0.010670649944351296,-9.015892920205548e-05,0.5207263877257353,0.0,-0.00034559666506492337,0.010038694052839858,-0.00037852564574328285,0.008902368648240566
CD_COMBO_g1p00_h0p00,platt,0.5283048309418544,0.24952300405672134,-0.0011800601775524833,2,0.5447571312649708,526.4799963989622,0.0013117965541433185,0.012478394260152514,0.0010887461070985816,0.5222611139447784,0.0,-0.0011800601775524833,0.006890629892031264,-0.0006120299976682952,0.5178962476158143,107.9971364161282,0.00026978432746646575,0.0072085539429188605,0.00023685534678810627,0.008859192698367435
CD_COMBO_g1p00_h0p00,native,0.5283048309418544,0.2495532517457784,-0.0007761513342282311,1,0.5447571312649708,594.5413201603678,0.0014813806040432642,0.012478394260152514,0.0012583301569985272,0.5222611139447784,0.0,-0.0007761513342282311,0.006890629892031264,-0.0002081211543440431,0.5178962476158143,0.0,-0.0003944516329288106,0.0072085539429188605,-0.00042738061360717006,0.008859192698367435
CD_COMBO_g1p00_h0p00,v2_strength,0.5282988461058996,0.24958978082274152,-0.0004120859024994983,2,0.5447351081153357,171.05812337016098,0.00042621459187436317,0.01245637111051734,0.0002031641448296262,0.522265182586549,0.0,-0.0004120859024994983,0.0068946985338018685,0.00015594427738468974,0.5178962476158143,74.88251789114544,0.00018706171662197235,0.0072085539429188605,0.00015413273594361288,0.008853207862412615
