candidate_name,calibration_mode,valid_year,metric_actual_rate,metric_constant_brier,metric_brier,metric_skill_margin,metric_pseudo_score,metric_auc,metric_logloss,metric_pred_mean,metric_pred_std
V2_BASELINE,platt,2022,0.5289204435249241,0.24916360794632167,0.24821174557430123,0.00095186237202044,382.0230329244163,0.5324856858143385,0.6895538848731501,0.5348896027577381,0.02862439904538513
V2_BASELINE,v2_strength,2022,0.5289204435249241,0.24916360794632167,0.24894055749927693,0.00022305044704473698,89.51967299044315,0.5322787370048183,0.6910267618039342,0.5115676534729856,0.01099229483839128
V2_BASELINE,platt,2023,0.49995723449750534,0.24999999817111176,0.25267638406318943,-0.002676385892077665,0.0,0.5154708686332126,0.6987763406570034,0.5311629375524517,0.05538384867760476
V2_BASELINE,v2_strength,2023,0.49995723449750534,0.24999999817111176,0.25056802835099595,-0.000568030179884188,0.0,0.5153704840527471,0.694287061114121,0.527189297933662,0.014285022476808469
V2_BASELINE,platt,2024,0.4861049201797189,0.24980692675678798,0.2500138247696704,-0.0002068980128824005,0.0,0.5106875170195614,0.6931755822046753,0.49999525244929005,0.012986016692207763
V2_BASELINE,v2_strength,2024,0.4861049201797189,0.24980692675678798,0.24977399777610962,3.2928980678359476e-05,13.181772461585556,0.5106876936728955,0.6926949806395462,0.48773544324372964,0.00562363776754328
C_PITCHER_GAME_ap50_ac150,native,2022,0.5289204435249241,0.24916360794632167,0.24681600463428122,0.0023476033120404527,942.1934974333035,0.5520873007611319,0.6867217678693182,0.5326512247449433,0.0573750903514077
C_PITCHER_GAME_ap50_ac150,platt,2022,0.5289204435249241,0.24916360794632167,0.24687555148826565,0.0022880564580560203,918.2948011207743,0.5520873007611319,0.6868310686953601,0.5332772833128524,0.038363720674703894
C_PITCHER_GAME_ap50_ac150,v2_strength,2022,0.5289204435249241,0.24916360794632167,0.24853094278757415,0.0006326651587475196,253.9155553100745,0.551940107904735,0.690206316327664,0.5103850564755453,0.011973674187592943
C_PITCHER_GAME_ap50_ac150,native,2023,0.49995723449750534,0.24999999817111176,0.25249774810544506,-0.0024977499343332987,0.0,0.5212156570763472,0.6984890610249982,0.5321226907516005,0.0548666729380199
C_PITCHER_GAME_ap50_ac150,platt,2023,0.49995723449750534,0.24999999817111176,0.25170518309553797,-0.0017051849244262007,0.0,0.5212156570763472,0.6967485958932222,0.5284288323297043,0.04700059656531735
C_PITCHER_GAME_ap50_ac150,v2_strength,2023,0.49995723449750534,0.24999999817111176,0.25038290713714034,-0.0003829089660285778,0.0,0.5212752798607116,0.6939154082520568,0.5265177292111288,0.013165897326195808
C_PITCHER_GAME_ap50_ac150,native,2024,0.4861049201797189,0.24980692675678798,0.2518806205242875,-0.0020736937674995237,0.0,0.5177480358112007,0.6971494991022582,0.5136198173438381,0.05088279092665423
C_PITCHER_GAME_ap50_ac150,platt,2024,0.4861049201797189,0.24980692675678798,0.24974489813056672,6.202862622126104e-05,24.83062700725353,0.5177480358112007,0.6926373322435376,0.49541976970766727,0.01256619357635928
C_PITCHER_GAME_ap50_ac150,v2_strength,2024,0.4861049201797189,0.24980692675678798,0.24970309352858266,0.00010383322820531338,41.56539194223601,0.5177494558897296,0.6925531317169028,0.48770194687882285,0.005299555064340501
C_PITCHER_GAME_ap50_ac300,native,2022,0.5289204435249241,0.24916360794632167,0.2470609779466637,0.0021026299996579623,843.8752420501716,0.5502286600951385,0.6872314679202257,0.5325864793795497,0.05549255579556978
C_PITCHER_GAME_ap50_ac300,platt,2022,0.5289204435249241,0.24916360794632167,0.24713386727962966,0.0020297406666920093,814.621638939056,0.5502286600951385,0.6873624406587476,0.5331431685814073,0.034919257241278784
C_PITCHER_GAME_ap50_ac300,v2_strength,2022,0.5289204435249241,0.24916360794632167,0.2485985143273123,0.0005650936190093603,226.79620979444988,0.5500574640276747,0.6903416882802408,0.5105763628002425,0.011429011119759221
C_PITCHER_GAME_ap50_ac300,native,2023,0.49995723449750534,0.24999999817111176,0.25227564934379776,-0.002275651172685994,0.0,0.5214376908408442,0.6979928235831616,0.5324546234677331,0.0525165174337201
C_PITCHER_GAME_ap50_ac300,platt,2023,0.49995723449750534,0.24999999817111176,0.2514966399248182,-0.0014966417537064236,0.0,0.5214376908408442,0.6962937088530633,0.5287715671696201,0.044155120133099954
C_PITCHER_GAME_ap50_ac300,v2_strength,2023,0.49995723449750534,0.24999999817111176,0.2503903800411816,-0.00039038187006981695,0.0,0.5216774737291006,0.693930398468927,0.5266638096061936,0.013061469887224099
C_PITCHER_GAME_ap50_ac300,native,2024,0.4861049201797189,0.24980692675678798,0.25173388658730594,-0.0019269598305179658,0.0,0.517523281381454,0.6968194688060121,0.5139368518038985,0.04907779792699665
C_PITCHER_GAME_ap50_ac300,platt,2024,0.4861049201797189,0.24980692675678798,0.24972953130441536,7.739545237261947e-05,30.982108213505096,0.517523281381454,0.6926066120868942,0.4950054617281403,0.01321194462283891
C_PITCHER_GAME_ap50_ac300,v2_strength,2024,0.4861049201797189,0.24980692675678798,0.24969474284019263,0.0001121839165953431,44.908248963234456,0.5175246486695384,0.6925364164943558,0.48769045307731396,0.0055365885357479905
C_PITCHER_GAME_ap50_ac600,native,2022,0.5289204435249241,0.24916360794632167,0.24731880586924498,0.0018448020770766849,740.3978824524479,0.5480782764851325,0.6877667802507762,0.5326936203244829,0.05374282671195441
C_PITCHER_GAME_ap50_ac600,platt,2022,0.5289204435249241,0.24916360794632167,0.24740068013592695,0.001762927810394721,707.5382416097119,0.5480782764851325,0.6879087884085139,0.5331045454410612,0.03124871989442139
C_PITCHER_GAME_ap50_ac600,v2_strength,2022,0.5289204435249241,0.24916360794632167,0.24867618538471134,0.00048742256161032893,195.62349639572417,0.548033304197743,0.6904972844009715,0.5107378307323506,0.010773770628697768
C_PITCHER_GAME_ap50_ac600,native,2023,0.49995723449750534,0.24999999817111176,0.2521099601704536,-0.002109961999341853,0.0,0.5217124570346864,0.6976201416186968,0.5328945060926855,0.05062129782420768
C_PITCHER_GAME_ap50_ac600,platt,2023,0.49995723449750534,0.24999999817111176,0.25131357849261654,-0.0013135803215047759,0.0,0.5217124570346864,0.6958948868100112,0.5290511007945025,0.041417936192177145
C_PITCHER_GAME_ap50_ac600,v2_strength,2023,0.49995723449750534,0.24999999817111176,0.25038947051007293,-0.0003894723389611665,0.0,0.5219617294723312,0.6939284577660269,0.5267271080648773,0.012815996402822416
C_PITCHER_GAME_ap50_ac600,native,2024,0.4861049201797189,0.24980692675678798,0.25164565945201794,-0.0018387326952299665,0.0,0.5173749145691457,0.6966171764647138,0.5144058372436344,0.04774641658992901
C_PITCHER_GAME_ap50_ac600,platt,2024,0.4861049201797189,0.24980692675678798,0.2497175103392698,8.941641751816776e-05,35.79421062460112,0.5173749145691457,0.6925825771265343,0.4946145476304434,0.01388752033647473
C_PITCHER_GAME_ap50_ac600,v2_strength,2024,0.4861049201797189,0.24980692675678798,0.24968754484381753,0.00011938191297045098,47.78967281667141,0.5173758253366785,0.6925220069783322,0.4876782156865498,0.005786989147450443
C_PITCHER_GAME_ap100_ac150,native,2022,0.5289204435249241,0.24916360794632167,0.24662673493566542,0.0025368730106562487,1018.1555129843752,0.5524267007027447,0.6862990912076041,0.5314772913805725,0.05498425773584349
C_PITCHER_GAME_ap100_ac150,platt,2022,0.5289204435249241,0.24916360794632167,0.24674070819509766,0.002422899751224006,972.4131750997847,0.5524267007027447,0.6865449304393263,0.5330990856961155,0.039455159627131614
C_PITCHER_GAME_ap100_ac150,v2_strength,2022,0.5289204435249241,0.24916360794632167,0.248514169139765,0.000649438806556657,260.64753673681275,0.5521087265730668,0.690172719748232,0.5104615172267942,0.012292832686033263
C_PITCHER_GAME_ap100_ac150,native,2023,0.49995723449750534,0.24999999817111176,0.25235976797388404,-0.002359769802772277,0.0,0.521543538430681,0.6981903946712565,0.5317259510440154,0.05402863844583672
C_PITCHER_GAME_ap100_ac150,platt,2023,0.49995723449750534,0.24999999817111176,0.2518907784086463,-0.0018907802375345562,0.0,0.521543538430681,0.697161309867488,0.5291261908483175,0.049786825371058524
C_PITCHER_GAME_ap100_ac150,v2_strength,2023,0.49995723449750534,0.24999999817111176,0.25037394428689114,-0.0003739461157793722,0.0,0.5215496415260452,0.6938974773936551,0.5265431258094312,0.013481943957299151
C_PITCHER_GAME_ap100_ac150,native,2024,0.4861049201797189,0.24980692675678798,0.25168336613745673,-0.001876439380668754,0.0,0.518045272548997,0.6967187953079751,0.5130526104237543,0.04962538693505189
C_PITCHER_GAME_ap100_ac150,platt,2024,0.4861049201797189,0.24980692675678798,0.24972103025686113,8.589649992685189e-05,34.385155384614585,0.518045272548997,0.6925895438710047,0.49515447133292134,0.012822910273662154
C_PITCHER_GAME_ap100_ac150,v2_strength,2024,0.4861049201797189,0.24980692675678798,0.24969312300109606,0.00011380375569192136,45.556685384757444,0.5180450991347229,0.6925331800842665,0.4876999042075614,0.005404757730793051
C_PITCHER_GAME_ap100_ac300,native,2022,0.5289204435249241,0.24916360794632167,0.24688214570923667,0.0022814622370850024,915.6482585436421,0.5503900097567345,0.6868301165687245,0.5312740418533376,0.05275176072990439
C_PITCHER_GAME_ap100_ac300,platt,2022,0.5289204435249241,0.24916360794632167,0.24701882214769305,0.002144785798628618,860.7941650494472,0.5503900097567345,0.6871193926887514,0.5330478943780402,0.035838952749417965
C_PITCHER_GAME_ap100_ac300,v2_strength,2022,0.5289204435249241,0.24916360794632167,0.24858167941637124,0.0005819285299504262,233.5527787331581,0.5500798882422279,0.6903079679875114,0.510658469601561,0.01175324364913299
