candidate_name,calibration_mode,mean_auc,mean_brier,worst_skill_margin,positive_fold_count,auc_2022,pseudo_2022,skill_2022,delta_auc_2022_vs_v2,delta_skill_2022_vs_v2,auc_2023,pseudo_2023,skill_2023,delta_auc_2023_vs_v2,delta_skill_2023_vs_v2,auc_2024,pseudo_2024,skill_2024,delta_auc_2024_vs_v2,delta_skill_2024_vs_v2,delta_mean_auc_vs_v2
C_PITCHER_GAME_recent3,platt,0.5312329787845517,0.24936696932209224,-0.0013994719623148522,2,0.5503900097567345,860.7941650494472,0.002144785798628618,0.018111272751916152,0.0019217353515838809,0.5235834566926426,0.0,-0.0013994719623148522,0.00821297263989551,-0.0008314417824306641,0.519725469904278,49.76286015958576,0.00012431107163093924,0.009037776231382577,9.138209095257976e-05,0.011787340541064673
C_PITCHER_GAME_recent3,native,0.5312329787845517,0.24999128613799015,-0.0018060099784509565,1,0.5503900097567345,915.6482585436421,0.0022814622370850024,0.018111272751916152,0.0020584117900402654,0.5235834566926426,0.0,-0.0018060099784509565,0.00821297263989551,-0.0012379797985667684,0.519725469904278,0.0,-0.0014787777983830963,0.009037776231382577,-0.0015117067790614558,0.011787340541064673
C_PITCHER_GAME_recent3,v2_strength,0.5311949860171276,0.24952904106987797,-0.00033353411087819196,2,0.5500798882422279,233.5527787331581,0.0005819285299504262,0.01780115123740955,0.00035887808290568923,0.5237795841767503,0.0,-0.00033353411087819196,0.0084091001240032,0.00023449606900599607,0.5197254856324045,54.0478389723301,0.00013501524551523536,0.009037791959509045,0.00010208626483687588,0.011749347773640562
C_PITCHER_GAME_recency_weighted,platt,0.5311750743592758,0.2494388874000686,-0.0016768967908607768,2,0.5498942670427176,850.4694929226923,0.002119060473048967,0.017615530037899285,0.00189601002600423,0.5229070794527121,0.0,-0.0016768967908607768,0.007536595399964985,-0.0011088666109765888,0.5207238765823975,84.74824720674053,0.00021170699182740393,0.010036182909502034,0.00017877801114904446,0.011729436115788805
C_PITCHER_GAME_recency_weighted,native,0.5311750743592758,0.2498257036416912,-0.0018582789220003282,1,0.5498942670427176,922.7747880418623,0.0022992189551041264,0.017615530037899285,0.0020761685080593895,0.5229070794527121,0.0,-0.0018582789220003282,0.007536595399964985,-0.0012902487421161402,0.5207238765823975,0.0,-0.0009475180839560171,0.010036182909502034,-0.0009804470646343766,0.011729436115788805
C_PITCHER_GAME_recency_weighted,v2_strength,0.5309672999199418,0.24953477673859661,-0.0003498207610681259,2,0.549484861383524,223.70851158959942,0.0005574001987596611,0.017206124378705723,0.0003343497517149241,0.5226928209763033,0.0,-0.0003498207610681259,0.007322336923556216,0.00021820941881606215,0.5207242173999985,63.49832760823525,0.0001586232207400895,0.010036523727103064,0.00012569424006173002,0.011521661676454853
D_PITCHER_BATTER_HAND_recency_weighted,v2_strength,0.5301309789727039,0.2495769809867233,-0.0002997689002878501,2,0.5390668793226365,105.33044084150312,0.00026244512666645514,0.006788142317818213,3.9394679621718165e-05,0.5271387847640168,0.0,-0.0002997689002878501,0.011768300711269664,0.00026826127959633794,0.5241872728314585,110.85108458284147,0.00027691368767296387,0.013499579158563035,0.0002439847069946044,0.010685340729216897
D_PITCHER_BATTER_HAND_recency_weighted,platt,0.5300200889669724,0.2493758752813718,-0.0007594320495754314,2,0.5391490175161169,475.6036281181847,0.0011850311593428753,0.006870280511298565,0.0009619807122981383,0.5267270789185128,0.0,-0.0007594320495754314,0.011356594865765679,-0.0001914018696912434,0.5241841704662874,167.05218136117747,0.00041730792033853326,0.013496476793391943,0.0003843789396601738,0.010574450723485396
D_PITCHER_BATTER_HAND_recency_weighted,native,0.5300200889669724,0.24995915641008423,-0.0014273749774702804,1,0.5391490175161169,498.92261960803586,0.0012431335998756843,0.006870280511298565,0.0010200831528309473,0.5267270789185128,0.0,-0.0014273749774702804,0.011356594865765679,-0.0008593447975860924,0.5241841704662874,0.0,-0.000722694978436661,0.013496476793391943,-0.0007556239591150204,0.010574450723485396
D_PITCHER_BATTER_HAND_recent3,v2_strength,0.5294673201897503,0.249593828893469,-0.0003165040834981203,2,0.5384194822982123,103.3792765654313,0.00025758353535923484,0.006140745293394034,3.453308831449786e-05,0.5270982624402997,0.0,-0.0003165040834981203,0.011727778387552568,0.0002515260963860677,0.522884215830739,99.26335717450206,0.0002479667419532372,0.012196522157843503,0.00021503776127487773,0.010021681946263294
D_PITCHER_BATTER_HAND_recent3,platt,0.5293540505370281,0.24936726314143878,-0.0005765478616857334,2,0.538478722502822,464.22990392156265,0.0011566919777767082,0.006199985498003713,0.0009336415307319712,0.5267110289936456,0.0,-0.0005765478616857334,0.011340544940898534,-8.51768180154533e-06,0.5228724001146169,115.52895572629198,0.0002885993338140602,0.012184706441721427,0.00025567035313570075,0.009908412293541113
D_PITCHER_BATTER_HAND_recent3,native,0.5293540505370281,0.25017172751151834,-0.0013988672181689255,1,0.538478722502822,451.32321468167055,0.0011245332052001733,0.006199985498003713,0.0009014827581554363,0.5267110289936456,0.0,-0.0013988672181689255,0.011340544940898534,-0.0008308370382847374,0.5228724001146169,0.0,-0.001270315647364878,0.012184706441721427,-0.0013032446280432375,0.009908412293541113
