candidate_name,valid_year,hierarchy_available_rate,pitcher_unseen_rate,context_unseen_rate,fallback_used_rate,full_hierarchy_used_rate
C_PITCHER_GAME_ap50_ac150,2022,0.842608456714295,0.15739154328570504,0.1809376414301416,0.0,0.8190623585698584
C_PITCHER_GAME_ap50_ac150,2023,0.8620181244272478,0.13798187557275227,0.15089705732613787,0.0,0.8491029426738621
C_PITCHER_GAME_ap50_ac150,2024,0.8013940443459155,0.1986059556540845,0.2049371417751778,0.0,0.7950628582248221
C_PITCHER_GAME_ap50_ac300,2022,0.842608456714295,0.15739154328570504,0.1809376414301416,0.0,0.8190623585698584
C_PITCHER_GAME_ap50_ac300,2023,0.8620181244272478,0.13798187557275227,0.15089705732613787,0.0,0.8491029426738621
C_PITCHER_GAME_ap50_ac300,2024,0.8013940443459155,0.1986059556540845,0.2049371417751778,0.0,0.7950628582248221
C_PITCHER_GAME_ap50_ac600,2022,0.842608456714295,0.15739154328570504,0.1809376414301416,0.0,0.8190623585698584
C_PITCHER_GAME_ap50_ac600,2023,0.8620181244272478,0.13798187557275227,0.15089705732613787,0.0,0.8491029426738621
C_PITCHER_GAME_ap50_ac600,2024,0.8013940443459155,0.1986059556540845,0.2049371417751778,0.0,0.7950628582248221
C_PITCHER_GAME_ap100_ac150,2022,0.842608456714295,0.15739154328570504,0.1809376414301416,0.0,0.8190623585698584
C_PITCHER_GAME_ap100_ac150,2023,0.8620181244272478,0.13798187557275227,0.15089705732613787,0.0,0.8491029426738621
C_PITCHER_GAME_ap100_ac150,2024,0.8013940443459155,0.1986059556540845,0.2049371417751778,0.0,0.7950628582248221
C_PITCHER_GAME_ap100_ac300,2022,0.842608456714295,0.15739154328570504,0.1809376414301416,0.0,0.8190623585698584
C_PITCHER_GAME_ap100_ac300,2023,0.8620181244272478,0.13798187557275227,0.15089705732613787,0.0,0.8491029426738621
C_PITCHER_GAME_ap100_ac300,2024,0.8013940443459155,0.1986059556540845,0.2049371417751778,0.0,0.7950628582248221
C_PITCHER_GAME_ap100_ac600,2022,0.842608456714295,0.15739154328570504,0.1809376414301416,0.0,0.8190623585698584
C_PITCHER_GAME_ap100_ac600,2023,0.8620181244272478,0.13798187557275227,0.15089705732613787,0.0,0.8491029426738621
C_PITCHER_GAME_ap100_ac600,2024,0.8013940443459155,0.1986059556540845,0.2049371417751778,0.0,0.7950628582248221
C_PITCHER_GAME_ap200_ac150,2022,0.842608456714295,0.15739154328570504,0.1809376414301416,0.0,0.8190623585698584
C_PITCHER_GAME_ap200_ac150,2023,0.8620181244272478,0.13798187557275227,0.15089705732613787,0.0,0.8491029426738621
C_PITCHER_GAME_ap200_ac150,2024,0.8013940443459155,0.1986059556540845,0.2049371417751778,0.0,0.7950628582248221
C_PITCHER_GAME_ap200_ac300,2022,0.842608456714295,0.15739154328570504,0.1809376414301416,0.0,0.8190623585698584
C_PITCHER_GAME_ap200_ac300,2023,0.8620181244272478,0.13798187557275227,0.15089705732613787,0.0,0.8491029426738621
C_PITCHER_GAME_ap200_ac300,2024,0.8013940443459155,0.1986059556540845,0.2049371417751778,0.0,0.7950628582248221
C_PITCHER_GAME_ap200_ac600,2022,0.842608456714295,0.15739154328570504,0.1809376414301416,0.0,0.8190623585698584
C_PITCHER_GAME_ap200_ac600,2023,0.8620181244272478,0.13798187557275227,0.15089705732613787,0.0,0.8491029426738621
C_PITCHER_GAME_ap200_ac600,2024,0.8013940443459155,0.1986059556540845,0.2049371417751778,0.0,0.7950628582248221
D_PITCHER_BATTER_HAND_ap50_ac150,2022,0.842608456714295,0.15739154328570504,0.15739154328570504,0.0,0.842608456714295
D_PITCHER_BATTER_HAND_ap50_ac150,2023,0.8620181244272478,0.13798187557275227,0.13798187557275227,0.0,0.8620181244272478
D_PITCHER_BATTER_HAND_ap50_ac150,2024,0.8013940443459155,0.1986059556540845,0.19864145763233362,0.0,0.8013585423676663
D_PITCHER_BATTER_HAND_ap50_ac300,2022,0.842608456714295,0.15739154328570504,0.15739154328570504,0.0,0.842608456714295
D_PITCHER_BATTER_HAND_ap50_ac300,2023,0.8620181244272478,0.13798187557275227,0.13798187557275227,0.0,0.8620181244272478
D_PITCHER_BATTER_HAND_ap50_ac300,2024,0.8013940443459155,0.1986059556540845,0.19864145763233362,0.0,0.8013585423676663
D_PITCHER_BATTER_HAND_ap50_ac600,2022,0.842608456714295,0.15739154328570504,0.15739154328570504,0.0,0.842608456714295
D_PITCHER_BATTER_HAND_ap50_ac600,2023,0.8620181244272478,0.13798187557275227,0.13798187557275227,0.0,0.8620181244272478
D_PITCHER_BATTER_HAND_ap50_ac600,2024,0.8013940443459155,0.1986059556540845,0.19864145763233362,0.0,0.8013585423676663
D_PITCHER_BATTER_HAND_ap100_ac150,2022,0.842608456714295,0.15739154328570504,0.15739154328570504,0.0,0.842608456714295
D_PITCHER_BATTER_HAND_ap100_ac150,2023,0.8620181244272478,0.13798187557275227,0.13798187557275227,0.0,0.8620181244272478
D_PITCHER_BATTER_HAND_ap100_ac150,2024,0.8013940443459155,0.1986059556540845,0.19864145763233362,0.0,0.8013585423676663
D_PITCHER_BATTER_HAND_ap100_ac300,2022,0.842608456714295,0.15739154328570504,0.15739154328570504,0.0,0.842608456714295
D_PITCHER_BATTER_HAND_ap100_ac300,2023,0.8620181244272478,0.13798187557275227,0.13798187557275227,0.0,0.8620181244272478
D_PITCHER_BATTER_HAND_ap100_ac300,2024,0.8013940443459155,0.1986059556540845,0.19864145763233362,0.0,0.8013585423676663
D_PITCHER_BATTER_HAND_ap100_ac600,2022,0.842608456714295,0.15739154328570504,0.15739154328570504,0.0,0.842608456714295
D_PITCHER_BATTER_HAND_ap100_ac600,2023,0.8620181244272478,0.13798187557275227,0.13798187557275227,0.0,0.8620181244272478
D_PITCHER_BATTER_HAND_ap100_ac600,2024,0.8013940443459155,0.1986059556540845,0.19864145763233362,0.0,0.8013585423676663
D_PITCHER_BATTER_HAND_ap200_ac150,2022,0.842608456714295,0.15739154328570504,0.15739154328570504,0.0,0.842608456714295
D_PITCHER_BATTER_HAND_ap200_ac150,2023,0.8620181244272478,0.13798187557275227,0.13798187557275227,0.0,0.8620181244272478
D_PITCHER_BATTER_HAND_ap200_ac150,2024,0.8013940443459155,0.1986059556540845,0.19864145763233362,0.0,0.8013585423676663
D_PITCHER_BATTER_HAND_ap200_ac300,2022,0.842608456714295,0.15739154328570504,0.15739154328570504,0.0,0.842608456714295
D_PITCHER_BATTER_HAND_ap200_ac300,2023,0.8620181244272478,0.13798187557275227,0.13798187557275227,0.0,0.8620181244272478
D_PITCHER_BATTER_HAND_ap200_ac300,2024,0.8013940443459155,0.1986059556540845,0.19864145763233362,0.0,0.8013585423676663
D_PITCHER_BATTER_HAND_ap200_ac600,2022,0.842608456714295,0.15739154328570504,0.15739154328570504,0.0,0.842608456714295
D_PITCHER_BATTER_HAND_ap200_ac600,2023,0.8620181244272478,0.13798187557275227,0.13798187557275227,0.0,0.8620181244272478
D_PITCHER_BATTER_HAND_ap200_ac600,2024,0.8013940443459155,0.1986059556540845,0.19864145763233362,0.0,0.8013585423676663
C_PITCHER_GAME_fallback25,2022,0.842608456714295,0.15739154328570504,0.1809376414301416,0.16044239348289907,0.8190623585698584
C_PITCHER_GAME_fallback25,2023,0.8620181244272478,0.13798187557275227,0.15089705732613787,0.1411953976173506,0.8491029426738621
C_PITCHER_GAME_fallback25,2024,0.8013940443459155,0.1986059556540845,0.2049371417751778,0.19932388454756672,0.7950628582248221
C_PITCHER_GAME_fallback50,2022,0.842608456714295,0.15739154328570504,0.1809376414301416,0.16909791814831576,0.8190623585698584
C_PITCHER_GAME_fallback50,2023,0.8620181244272478,0.13798187557275227,0.15089705732613787,0.14228286325221465,0.8491029426738621
C_PITCHER_GAME_fallback50,2024,0.8013940443459155,0.1986059556540845,0.2049371417751778,0.20931177442831952,0.7950628582248221
C_PITCHER_GAME_fallback100,2022,0.842608456714295,0.15739154328570504,0.1809376414301416,0.19290263140880584,0.8190623585698584
C_PITCHER_GAME_fallback100,2023,0.8620181244272478,0.13798187557275227,0.15089705732613787,0.1552672843905916,0.8491029426738621
C_PITCHER_GAME_fallback100,2024,0.8013940443459155,0.1986059556540845,0.2049371417751778,0.21517749016792437,0.7950628582248221
D_PITCHER_BATTER_HAND_fallback25,2022,0.842608456714295,0.15739154328570504,0.15739154328570504,0.16044239348289907,0.842608456714295
D_PITCHER_BATTER_HAND_fallback25,2023,0.8620181244272478,0.13798187557275227,0.13798187557275227,0.1411953976173506,0.8620181244272478
D_PITCHER_BATTER_HAND_fallback25,2024,0.8013940443459155,0.1986059556540845,0.19864145763233362,0.19932388454756672,0.8013585423676663
D_PITCHER_BATTER_HAND_fallback50,2022,0.842608456714295,0.15739154328570504,0.15739154328570504,0.16909791814831576,0.842608456714295
D_PITCHER_BATTER_HAND_fallback50,2023,0.8620181244272478,0.13798187557275227,0.13798187557275227,0.14228286325221465,0.8620181244272478
D_PITCHER_BATTER_HAND_fallback50,2024,0.8013940443459155,0.1986059556540845,0.19864145763233362,0.20931177442831952,0.8013585423676663
D_PITCHER_BATTER_HAND_fallback100,2022,0.842608456714295,0.15739154328570504,0.15739154328570504,0.19290263140880584,0.842608456714295
