candidate_name,calibration_mode,mean_auc,mean_brier,worst_skill_margin,positive_fold_count,auc_2022,pseudo_2022,skill_2022,delta_auc_2022_vs_v2,delta_skill_2022_vs_v2,auc_2023,pseudo_2023,skill_2023,delta_auc_2023_vs_v2,delta_skill_2023_vs_v2,auc_2024,pseudo_2024,skill_2024,delta_auc_2024_vs_v2,delta_skill_2024_vs_v2,delta_mean_auc_vs_v2
C_PITCHER_GAME_fallback100,platt,0.5313394478029773,0.24945983930078186,-0.0017549887637214046,2,0.5531795620397664,890.1208306581126,0.0022178571767495214,0.020900825034948056,0.0019948067297047845,0.521434063620529,0.0,-0.0017549887637214046,0.006063579567781918,-0.0011869585838372165,0.5194047177486362,51.29824080997141,0.000128146558847686,0.00871702407574071,9.521757816932652e-05,0.011893809559490265
C_PITCHER_GAME_fallback100,native,0.5313394478029773,0.25011364103240846,-0.002226556091173143,1,0.5531795620397664,982.5798902244036,0.002448231505438131,0.020900825034948056,0.002225181058393394,0.521434063620529,0.0,-0.002226556091173143,0.006063579567781918,-0.001658525911288955,0.5194047177486362,0.0,-0.001592065637269019,0.00871702407574071,-0.0016249946179473784,0.011893809559490265
C_PITCHER_GAME_fallback100,v2_strength,0.5312305573524317,0.24953681397456248,-0.00039700129086497893,2,0.5529572329149136,249.80785477397382,0.0006224302638881407,0.020678495910095296,0.00039937981684340373,0.5213298736918419,0.0,-0.00039700129086497893,0.005959389639094814,0.0001710288890192091,0.5194045654505397,53.9064225556744,0.00013466197751085818,0.008716871777644242,0.0001017329968324987,0.011784919108944747
C_PITCHER_GAME_fallback25,platt,0.5310929697283515,0.24947211734570343,-0.001779598991449055,2,0.5537007296154701,894.6724009065852,0.002229198033398827,0.021421992610651808,0.00200614758635409,0.5210237268948444,0.0,-0.001779598991449055,0.005653242842097339,-0.001211568811564867,0.5185544526747399,41.865050148542714,0.00010458179516126265,0.007866759001844414,7.165281448290317e-05,0.01164733148486452
C_PITCHER_GAME_fallback25,native,0.5310929697283515,0.2501762758664157,-0.0022546838447255746,1,0.5537007296154701,975.6031769145735,0.002430848074839287,0.021421992610651808,0.00220779762779455,0.5210237268948444,0.0,-0.0022546838447255746,0.005653242842097339,-0.0016866536648413866,0.5185544526747399,0.0,-0.0017344589551396006,0.007866759001844414,-0.00176738793581796,0.01164733148486452
C_PITCHER_GAME_fallback50,platt,0.5310861860265194,0.24947719071116517,-0.001785344742740086,2,0.5530713989272591,883.5607008998218,0.002201511720757804,0.02079266192244078,0.001978461273713067,0.5209358771575643,0.0,-0.001785344742740086,0.0055653931048171845,-0.001217314562855898,0.5192512819947346,49.155467505382994,0.0001227937627081288,0.008563588321839122,8.986478202976933e-05,0.011640547783032362
C_PITCHER_GAME_fallback50,native,0.5310861860265194,0.2501554857475025,-0.00226098142277667,1,0.5530713989272591,959.9228916747339,0.0023917785103994282,0.02079266192244078,0.0021687280633546913,0.5209358771575643,0.0,-0.00226098142277667,0.0055653931048171845,-0.001692951242892482,0.5192512819947346,0.0,-0.0016267214559087806,0.008563588321839122,-0.00165965043658714,0.011640547783032362
C_PITCHER_GAME_fallback25,v2_strength,0.5309880227713086,0.24953719866683563,-0.00040811736922821695,2,0.5534624804415162,257.0652780350187,0.0006405131215292958,0.021183743436697933,0.00041746267448455887,0.520947287495766,0.0,-0.00040811736922821695,0.005576803443018918,0.00015991281065597107,0.5185543003766434,50.65556950573085,0.0001265411214134149,0.007866606703747947,9.361214073505542e-05,0.011542384527821636
C_PITCHER_GAME_fallback50,v2_strength,0.5309782888501222,0.24954027610903762,-0.00041043621884703785,2,0.552834010732209,251.7835124527165,0.0006273528838411646,0.020555273727390633,0.00040430243679642763,0.5208497261215195,0.0,-0.00041043621884703785,0.005479242068772372,0.00015759396103715018,0.5192511296966381,53.15620500935385,0.00013278788211440462,0.008563436023742654,9.985890143604514e-05,0.01153265060663522
D_PITCHER_BATTER_HAND_fallback100,v2_strength,0.5302891220861187,0.24959173564488923,-0.0003381413695332791,2,0.5421425758603677,114.10411441929264,0.0002843059283023086,0.009863838855549423,6.125548125757163e-05,0.5260698997462887,0.0,-0.0003381413695332791,0.010699415693541603,0.0002298888103509089,0.5226548906516997,99.74158203677948,0.0002491613807846793,0.011967196978804218,0.00021623240010631983,0.010843483842631674
