candidate_name,calibration_mode,mean_auc,mean_brier,worst_skill_margin,positive_fold_count,auc_2022,pseudo_2022,skill_2022,delta_auc_2022_vs_v2,delta_skill_2022_vs_v2,auc_2023,pseudo_2023,skill_2023,delta_auc_2023_vs_v2,delta_skill_2023_vs_v2,auc_2024,pseudo_2024,skill_2024,delta_auc_2024_vs_v2,delta_skill_2024_vs_v2,delta_mean_auc_vs_v2
C_PITCHER_GAME_probblend100,platt,0.5315174050361159,0.249440798353136,-0.0016631691800366444,2,0.5536163719667437,869.2445559950678,0.0021658410975942954,0.021337634961925422,0.0019427906505495585,0.5214597723644024,0.0,-0.0016631691800366444,0.006089288311655339,-0.0010951390001524564,0.5194760707772013,58.23133054970663,0.00014546589725580872,0.0087883771043058,0.00011253691657744924,0.01207176679262889
C_PITCHER_GAME_probblend100,native,0.5315174050361159,0.2499689743702397,-0.0021147796013784304,1,0.5536163719667437,1002.274219364547,0.002497302606484536,0.021337634961925422,0.002274252159439799,0.5214597723644024,0.0,-0.0021147796013784304,0.006089288311655339,-0.0015467494214942423,0.5194760707772013,0.0,-0.0013189132416039084,0.0087883771043058,-0.001351842222282268,0.01207176679262889
C_PITCHER_GAME_logitblend100,platt,0.5315150590469039,0.2494421584180505,-0.0016688132767994357,2,0.5536191729333539,870.4297636523104,0.002168794203754737,0.021340435928535628,0.00194574375671,0.5214552334039133,0.0,-0.0016688132767994357,0.006084749351166208,-0.0011007830969152477,0.5194707708034443,57.67521941248322,0.00014407669311455873,0.008783077130548822,0.00011114771243619925,0.012069420803416886
C_PITCHER_GAME_logitblend100,native,0.5315150590469039,0.24997617038306563,-0.002121464868980266,1,0.5536191729333539,1001.9039105463137,0.002496379931672482,0.021340435928535628,0.002273329484627745,0.5214552334039133,0.0,-0.002121464868980266,0.006084749351166208,-0.0015534346890960782,0.5194707708034443,0.0,-0.0013328933376676455,0.008783077130548822,-0.001365822318346005,0.012069420803416886
C_PITCHER_GAME_probblend300,platt,0.5314934122794511,0.24945746202841615,-0.0015953556026101767,2,0.5529533154543482,814.5832531543277,0.002029645023285842,0.020674578449529912,0.001806594576241105,0.5214843885196725,0.0,-0.0015953556026101767,0.006113904466925391,-0.0010273254227259887,0.5200425328643328,65.59360479899176,0.0001638573682973543,0.009354839191437314,0.00013092838761899483,0.012047774035964132
C_PITCHER_GAME_probblend300,native,0.5314934122794511,0.2498569321963288,-0.002032066127707316,1,0.5529533154543482,975.3055834203446,0.0024301065801520527,0.020674578449529912,0.0022070561331073157,0.5214843885196725,0.0,-0.002032066127707316,0.006113904466925391,-0.001464035947823128,0.5200425328643328,0.0,-0.0009983041672096682,0.009354839191437314,-0.0010312331478880277,0.012047774035964132
C_PITCHER_GAME_logitblend300,platt,0.5314930927761664,0.24945816003974267,-0.0016043326292786986,2,0.5529615919400896,817.9203604648079,0.002037959880261675,0.020682854935271333,0.001814909433216938,0.5214784164407176,0.0,-0.0016043326292786986,0.006107932387970472,-0.0010363024493945105,0.5200392699476919,65.02041641483085,0.00016242550401035505,0.009351576274796436,0.00012949652333199557,0.012047454532679414
C_PITCHER_GAME_logitblend300,native,0.5314930927761664,0.24986442357312652,-0.002042753031756689,1,0.5529615919400896,977.4071886260738,0.002435343015507435,0.020682854935271333,0.002212292568462698,0.5214784164407176,0.0,-0.002042753031756689,0.006107932387970472,-0.0014747228518725009,0.5200392699476919,0.0,-0.0010153278289088685,0.009351576274796436,-0.001048256809587228,0.012047454532679414
C_PITCHER_GAME_probblend100,v2_strength,0.5314131894315158,0.24954328975219778,-0.00039843383918294895,2,0.5533443708535123,243.67159563357407,0.0006071409392209848,0.021065633848693976,0.0003840904921762478,0.5214191873027691,0.0,-0.00039843383918294895,0.006048703250022047,0.00016959634070123908,0.5194760101382659,52.82340217831025,0.00013195651759001503,0.008788316465370483,9.902753691165556e-05,0.011967551188028835
C_PITCHER_GAME_logitblend100,v2_strength,0.5314129150023504,0.24954328958390967,-0.0003982767694089284,2,0.5533472466265938,243.66507464066157,0.0006071246912797701,0.021068509621775533,0.0003840742442350331,0.5214205617309264,0.0,-0.0003982767694089284,0.006050077678179333,0.0001697534104752596,0.5194709366495309,52.767232011078185,0.00013181620062149846,0.008783242976635464,9.888721994313898e-05,0.011967276758863443
