candidate_name,calibration_mode,mean_auc,mean_brier,worst_skill_margin,positive_fold_count,auc_2022,pseudo_2022,skill_2022,delta_auc_2022_vs_v2,delta_skill_2022_vs_v2,auc_2023,pseudo_2023,skill_2023,delta_auc_2023_vs_v2,delta_skill_2023_vs_v2,auc_2024,pseudo_2024,skill_2024,delta_auc_2024_vs_v2,delta_skill_2024_vs_v2,delta_mean_auc_vs_v2,alpha_pitcher,alpha_context,context
C_PITCHER_GAME_ap50_ac150,platt,0.5303503312162267,0.24944187757145678,-0.0017051849244262007,2,0.5520873007611319,918.2948011207743,0.0022880564580560203,0.01980856375631357,0.0020650060110112833,0.5212156570763472,0.0,-0.0017051849244262007,0.005845173023600103,-0.0011371547445420127,0.5177480358112007,24.83062700725353,6.202862622126104e-05,0.007060342138305198,2.9099645542901564e-05,0.01090469297273966,50,150,C_PITCHER_GAME
C_PITCHER_GAME_ap50_ac150,native,0.5303503312162267,0.25039812442133796,-0.0024977499343332987,1,0.5520873007611319,942.1934974333035,0.0023476033120404527,0.01980856375631357,0.0021245528649957157,0.5212156570763472,0.0,-0.0024977499343332987,0.005845173023600103,-0.0019297197544491107,0.5177480358112007,0.0,-0.0020736937674995237,0.007060342138305198,-0.002106622748177883,0.01090469297273966,50,150,C_PITCHER_GAME
C_PITCHER_GAME_ap50_ac150,v2_strength,0.5303216145517254,0.24953898115109907,-0.0003829089660285778,2,0.551940107904735,253.9155553100745,0.0006326651587475196,0.019661370899916708,0.00040961471170278263,0.5212752798607116,0.0,-0.0003829089660285778,0.005904795807964547,0.0001851212138556102,0.5177494558897296,41.56539194223601,0.00010383322820531338,0.007061762216834189,7.09042475269539e-05,0.010875976308238444,50,150,C_PITCHER_GAME
V2_BASELINE,platt,0.5195480238223708,0.25030065146905367,-0.002676385892077665,1,0.5324856858143385,382.0230329244163,0.00095186237202044,0.00020694880952021322,0.000728811924975703,0.5154708686332126,0.0,-0.002676385892077665,0.00010038458046546239,-0.002108355712193477,0.5106875170195614,0.0,-0.0002068980128824005,-1.7665333407190786e-07,-0.00023982699356075998,0.00010238557888375688,50,150,C_PITCHER_GAME
V2_BASELINE,v2_strength,0.519445638243487,0.24976086120879418,-0.000568030179884188,2,0.5322787370048183,89.51967299044315,0.00022305044704473698,0.0,0.0,0.5153704840527471,0.0,-0.000568030179884188,0.0,0.0,0.5106876936728955,13.181772461585556,3.2928980678359476e-05,0.0,0.0,0.0,50,150,C_PITCHER_GAME
C_PITCHER_GAME_ap50_ac300,v2_strength,0.5297531954754379,0.24956121240289553,-0.00039038187006981695,2,0.5500574640276747,226.79620979444988,0.0005650936190093603,0.017778727022856433,0.0003420431719646233,0.5216774737291006,0.0,-0.00039038187006981695,0.006306989676353458,0.00017764830981437107,0.5175246486695384,44.908248963234456,0.0001121839165953431,0.006836954996642941,7.925493591698363e-05,0.01030755723195087,50,300,C_PITCHER_GAME
C_PITCHER_GAME_ap50_ac300,platt,0.5297298774391456,0.2494533461696211,-0.0014966417537064236,2,0.5502286600951385,814.621638939056,0.0020297406666920093,0.017949923090320175,0.0018066902196472723,0.5214376908408442,0.0,-0.0014966417537064236,0.006067206788097135,-0.0009286115738222356,0.517523281381454,30.982108213505096,7.739545237261947e-05,0.0068355877085585215,4.446647169425999e-05,0.010284239195658573,50,300,C_PITCHER_GAME
C_PITCHER_GAME_ap50_ac300,native,0.5297298774391456,0.2503568379592558,-0.002275651172685994,1,0.5502286600951385,843.8752420501716,0.0021026299996579623,0.017949923090320175,0.0018795795526132253,0.5214376908408442,0.0,-0.002275651172685994,0.006067206788097135,-0.001707620992801806,0.517523281381454,0.0,-0.0019269598305179658,0.0068355877085585215,-0.0019598888111963253,0.010284239195658573,50,300,C_PITCHER_GAME
V2_BASELINE,platt,0.5195480238223708,0.25030065146905367,-0.002676385892077665,1,0.5324856858143385,382.0230329244163,0.00095186237202044,0.00020694880952021322,0.000728811924975703,0.5154708686332126,0.0,-0.002676385892077665,0.00010038458046546239,-0.002108355712193477,0.5106875170195614,0.0,-0.0002068980128824005,-1.7665333407190786e-07,-0.00023982699356075998,0.00010238557888375688,50,300,C_PITCHER_GAME
V2_BASELINE,v2_strength,0.519445638243487,0.24976086120879418,-0.000568030179884188,2,0.5322787370048183,89.51967299044315,0.00022305044704473698,0.0,0.0,0.5153704840527471,0.0,-0.000568030179884188,0.0,0.0,0.5106876936728955,13.181772461585556,3.2928980678359476e-05,0.0,0.0,0.0,50,300,C_PITCHER_GAME
C_PITCHER_GAME_ap50_ac600,v2_strength,0.5291236196689176,0.24958440024620057,-0.0003894723389611665,2,0.548033304197743,195.62349639572417,0.00048742256161032893,0.015754567192924673,0.00026437211456559195,0.5219617294723312,0.0,-0.0003894723389611665,0.006591245419584113,0.00017855784092302152,0.5173758253366785,47.78967281667141,0.00011938191297045098,0.006688131663783015,8.64529322920915e-05,0.009677981425430637,50,600,C_PITCHER_GAME
C_PITCHER_GAME_ap50_ac600,platt,0.5290552160296549,0.24947725632260442,-0.0013135803215047759,2,0.5480782764851325,707.5382416097119,0.001762927810394721,0.015799539480314206,0.001539877363349984,0.5217124570346864,0.0,-0.0013135803215047759,0.006341972981939281,-0.0007455501416205879,0.5173749145691457,35.79421062460112,8.941641751816776e-05,0.00668722089625029,5.648743683980828e-05,0.009609577786167889,50,600,C_PITCHER_GAME
C_PITCHER_GAME_ap50_ac600,native,0.5290552160296549,0.2503581418305722,-0.002109961999341853,1,0.5480782764851325,740.3978824524479,0.0018448020770766849,0.015799539480314206,0.0016217516300319479,0.5217124570346864,0.0,-0.002109961999341853,0.006341972981939281,-0.0015419318194576648,0.5173749145691457,0.0,-0.0018387326952299665,0.00668722089625029,-0.001871661675908326,0.009609577786167889,50,600,C_PITCHER_GAME
V2_BASELINE,platt,0.5195480238223708,0.25030065146905367,-0.002676385892077665,1,0.5324856858143385,382.0230329244163,0.00095186237202044,0.00020694880952021322,0.000728811924975703,0.5154708686332126,0.0,-0.002676385892077665,0.00010038458046546239,-0.002108355712193477,0.5106875170195614,0.0,-0.0002068980128824005,-1.7665333407190786e-07,-0.00023982699356075998,0.00010238557888375688,50,600,C_PITCHER_GAME
V2_BASELINE,v2_strength,0.519445638243487,0.24976086120879418,-0.000568030179884188,2,0.5322787370048183,89.51967299044315,0.00022305044704473698,0.0,0.0,0.5153704840527471,0.0,-0.000568030179884188,0.0,0.0,0.5106876936728955,13.181772461585556,3.2928980678359476e-05,0.0,0.0,0.0,50,600,C_PITCHER_GAME
C_PITCHER_GAME_ap100_ac150,platt,0.5306718372274742,0.24945083895353504,-0.0018907802375345562,2,0.5524267007027447,972.4131750997847,0.002422899751224006,0.020147963697926374,0.002199849304179269,0.521543538430681,0.0,-0.0018907802375345562,0.0061730543779339175,-0.0013227500576503681,0.518045272548997,34.385155384614585,8.589649992685189e-05,0.007357578876101556,5.296751924849241e-05,0.011226198983987246,100,150,C_PITCHER_GAME
C_PITCHER_GAME_ap100_ac150,native,0.5306718372274742,0.25022328968233537,-0.002359769802772277,1,0.5524267007027447,1018.1555129843752,0.0025368730106562487,0.020147963697926374,0.0023138225636115117,0.521543538430681,0.0,-0.002359769802772277,0.0061730543779339175,-0.0017917396228880889,0.518045272548997,0.0,-0.001876439380668754,0.007357578876101556,-0.0019093683613471135,0.011226198983987246,100,150,C_PITCHER_GAME
C_PITCHER_GAME_ap100_ac150,v2_strength,0.5305678224112783,0.24952707880925074,-0.0003739461157793722,2,0.5521087265730668,260.64753673681275,0.000649438806556657,0.01982998956824844,0.00042638835951192,0.5215496415260452,0.0,-0.0003739461157793722,0.006179157473298114,0.00019408406410481582,0.5180450991347229,45.556685384757444,0.00011380375569192136,0.007357405461827393,8.087477501356188e-05,0.011122184167791316,100,150,C_PITCHER_GAME
