member,size,compressed_size
calibration_utils.py,3145,974
hierarchical_utils.py,5277,1623
model_utils.py,7402,2003
requirements.txt,78,68
script.py,4450,1432
model/hierarchy.pkl,55584,28342
model/model.pkl,598167,269546
