feature,importance,alpha,feature_set,valid_year,experiment
te_game_type,1.3080020055229786,20,combo_core,2022,alpha_grid
te_game_type_delta,0.8501323640629106,20,combo_core,2022,alpha_grid
te_season,0.7771178942971022,20,combo_core,2022,alpha_grid
te_season_delta,1.8424112073738488,20,combo_core,2022,alpha_grid
te_pitcher_id__balls_before__strikes_before,14.085192402806678,20,combo_core,2022,alpha_grid
te_pitcher_id__balls_before__strikes_before_delta,14.501610239127894,20,combo_core,2022,alpha_grid
te_pitcher_id__batter_hand,0.9125903401891806,20,combo_core,2022,alpha_grid
te_pitcher_id__batter_hand_delta,0.9715562827751932,20,combo_core,2022,alpha_grid
te_pitcher_id__base_state,4.413788492646474,20,combo_core,2022,alpha_grid
te_pitcher_id__base_state_delta,4.964165767646985,20,combo_core,2022,alpha_grid
te_pitcher_id__game_type,2.995590445779276,20,combo_core,2022,alpha_grid
te_pitcher_id__game_type_delta,4.11943811870128,20,combo_core,2022,alpha_grid
te_batter_id__pitcher_hand,4.237570227833842,20,combo_core,2022,alpha_grid
te_batter_id__pitcher_hand_delta,3.697946647054649,20,combo_core,2022,alpha_grid
te_balls_before__strikes_before,0.1164493878212259,20,combo_core,2022,alpha_grid
te_balls_before__strikes_before_delta,0.2560288254384,20,combo_core,2022,alpha_grid
te_balls_before__strikes_before__game_type,0.5782335193685302,20,combo_core,2022,alpha_grid
te_balls_before__strikes_before__game_type_delta,0.8742306001584699,20,combo_core,2022,alpha_grid
te_pitcher_hand__batter_hand,0.0,20,combo_core,2022,alpha_grid
te_pitcher_hand__batter_hand_delta,0.0210922503249258,20,combo_core,2022,alpha_grid
te_base_state__outs_before,0.0829220930759791,20,combo_core,2022,alpha_grid
te_base_state__outs_before_delta,0.1555002225900578,20,combo_core,2022,alpha_grid
asof_pitcher_success_minus_global,0.2476145235402243,20,combo_core,2022,alpha_grid
asof_batter_success_minus_global,0.2936357368001595,20,combo_core,2022,alpha_grid
pitcher_success_x_two_strike,0.0368099779877135,20,combo_core,2022,alpha_grid
pitcher_success_x_runner_on,0.2474873619859996,20,combo_core,2022,alpha_grid
pitcher_fastball_x_hitter_count,0.1625746667314411,20,combo_core,2022,alpha_grid
season,1.886656296758142,20,combo_core,2023,alpha_grid
game_month,0.903095108824234,20,combo_core,2023,alpha_grid
game_dayofweek,0.0419176306875806,20,combo_core,2023,alpha_grid
inning,0.0,20,combo_core,2023,alpha_grid
balls_before,0.1923695798844532,20,combo_core,2023,alpha_grid
strikes_before,0.0598567387150564,20,combo_core,2023,alpha_grid
outs_before,0.0,20,combo_core,2023,alpha_grid
run_top_before,0.109132270899975,20,combo_core,2023,alpha_grid
run_bot_before,0.0214700234307416,20,combo_core,2023,alpha_grid
run_total_before,0.0705233605221616,20,combo_core,2023,alpha_grid
score_diff_home,0.0039249611370526,20,combo_core,2023,alpha_grid
score_diff_pitcher_team,0.0963085971694171,20,combo_core,2023,alpha_grid
runner_on_1b,0.0,20,combo_core,2023,alpha_grid
runner_on_2b,0.0,20,combo_core,2023,alpha_grid
runner_on_3b,0.4309465820278036,20,combo_core,2023,alpha_grid
num_runners_on,0.0939855810469221,20,combo_core,2023,alpha_grid
home_win_expectancy,0.0220143747924069,20,combo_core,2023,alpha_grid
away_win_expectancy,0.1081490022477435,20,combo_core,2023,alpha_grid
li,0.2011178267138894,20,combo_core,2023,alpha_grid
pitcher_hand,0.0,20,combo_core,2023,alpha_grid
batter_hand,0.0,20,combo_core,2023,alpha_grid
pitcher_team_id,0.2517604729984451,20,combo_core,2023,alpha_grid
batter_team_id,0.0559719033788516,20,combo_core,2023,alpha_grid
asof_pitcher_n,0.2980846783905239,20,combo_core,2023,alpha_grid
asof_pitcher_success_rate,0.142144320904424,20,combo_core,2023,alpha_grid
asof_pitcher_reverse_rate,0.1828120016960548,20,combo_core,2023,alpha_grid
asof_pitcher_middle_rate,0.0666317414985013,20,combo_core,2023,alpha_grid
asof_pitcher_ball_rate,0.1506022915978145,20,combo_core,2023,alpha_grid
asof_pitcher_strike_rate,0.0645651040587111,20,combo_core,2023,alpha_grid
asof_pitcher_prev1_game_success_rate,0.3746058100573313,20,combo_core,2023,alpha_grid
asof_pitcher_prev3_game_success_rate,0.0816093154999788,20,combo_core,2023,alpha_grid
asof_pitcher_prev5_game_success_rate,0.0424242420799653,20,combo_core,2023,alpha_grid
asof_pitcher_prev1_game_middle_rate,0.0559505677646583,20,combo_core,2023,alpha_grid
asof_pitcher_prev3_game_middle_rate,0.0258378695142427,20,combo_core,2023,alpha_grid
asof_pitcher_prev5_game_middle_rate,0.0611787829131111,20,combo_core,2023,alpha_grid
asof_batter_n,0.0624970911979129,20,combo_core,2023,alpha_grid
asof_batter_success_rate,0.0626684215757299,20,combo_core,2023,alpha_grid
asof_batter_middle_rate,0.0498369793950004,20,combo_core,2023,alpha_grid
asof_pitcher_pitchmix_n,0.1354765539603882,20,combo_core,2023,alpha_grid
asof_pitcher_fastball_rate,0.0942710041692878,20,combo_core,2023,alpha_grid
asof_pitcher_breaking_rate,0.0,20,combo_core,2023,alpha_grid
