feature_set,train_start,train_end,cal_year,valid_year,stage,train_seconds,brier,oracle_constant_brier,skill_margin,pseudo_score,auc,logloss,pred_mean,pred_std,actual_rate,pred_minus_actual
current_baseline,2019,2020,2021,2022,raw,7.863862037658691,0.2490620908017605,0.2491636079463216,0.0001015171445611,40.74316686849544,0.5324856858143385,0.6913031110776264,0.5443147913690605,0.0569572053242537,0.5289204435249241,0.0153943478441364
current_baseline,2019,2020,2021,2022,platt,7.863862037658691,0.2482117455743012,0.2491636079463216,0.0009518623720204,382.0230329244167,0.5324856858143385,0.6895538848731501,0.5348896027577381,0.0286243990453851,0.5289204435249241,0.005969159232814
current_baseline,2019,2021,2022,2023,raw,11.149266481399536,0.2540765927559245,0.2499999981711117,-0.0040765945848127,0.0,0.5154708686332126,0.7018125133287548,0.5419201905674266,0.0621068049028453,0.4999572344975053,0.0419629560699212
current_baseline,2019,2021,2022,2023,platt,11.149266481399536,0.2526763840631894,0.2499999981711117,-0.0026763858920776,0.0,0.5154708686332126,0.6987763406570034,0.5311629375524517,0.0553838486776047,0.4999572344975053,0.0312057030549463
current_baseline,2019,2022,2023,2024,raw,15.532498121261597,0.2555164325408653,0.2498069267567879,-0.0057095057840773,0.0,0.5106875170195614,0.7049407319137688,0.5332785480993348,0.0656810321975094,0.4861049201797189,0.0471736279196159
current_baseline,2019,2022,2023,2024,platt,15.532498121261597,0.2500138247696704,0.2498069267567879,-0.0002068980128824,0.0,0.5106875170195614,0.6931755822046753,0.49999525244929,0.0129860166922077,0.4861049201797189,0.0138903322695711
pitcher_asof_momentum,2019,2020,2021,2022,raw,9.1259024143219,0.2489953613668316,0.2491636079463216,0.00016824657949,67.52453974991911,0.5336921817844091,0.6911697237659523,0.5434832910843643,0.0576671047446204,0.5289204435249241,0.0145628475594402
pitcher_asof_momentum,2019,2020,2021,2022,platt,9.1259024143219,0.248170914903069,0.2491636079463216,0.0009926930432525,398.4101255535055,0.5336921817844091,0.6894719655812194,0.5348135950113191,0.0288347457463919,0.5289204435249241,0.005893151486395
pitcher_asof_momentum,2019,2021,2022,2023,raw,13.158271551132202,0.254135590276524,0.2499999981711117,-0.0041355921054122,0.0,0.515133236459745,0.7019196190430587,0.5423922802499362,0.062063853588215,0.4999572344975053,0.0424350457524309
pitcher_asof_momentum,2019,2021,2022,2023,platt,13.158271551132202,0.2527361852019929,0.2499999981711117,-0.0027361870308811,0.0,0.515133236459745,0.698894557486351,0.5310528867606664,0.0559147323263129,0.4999572344975053,0.031095652263161
pitcher_asof_momentum,2019,2022,2023,2024,raw,17.088245391845703,0.2555625623677809,0.2498069267567879,-0.0057556356109929,0.0,0.5104360077385113,0.7049783390254548,0.5352522696831941,0.0646317827576126,0.4861049201797189,0.0491473495034751
pitcher_asof_momentum,2019,2022,2023,2024,platt,17.088245391845703,0.2500147402714427,0.2498069267567879,-0.0002078135146547,0.0,0.5104360077385113,0.6931773711943952,0.5001834079150134,0.013006774481404,0.4861049201797189,0.0140784877352944
batter_asof_deltas,2019,2020,2021,2022,raw,9.319190263748167,0.2492916830840831,0.2491636079463216,-0.0001280751377614,0.0,0.5303814602873362,0.6917662288456253,0.5458302527701561,0.056679874912322,0.5289204435249241,0.016909809245232
batter_asof_deltas,2019,2020,2021,2022,platt,9.319190263748167,0.2483166678273989,0.2491636079463216,0.0008469401189226,339.91325053582824,0.5303814602873362,0.6897653386537484,0.5351572970680903,0.0274353717066172,0.5289204435249241,0.0062368535431662
