feature,importance,feature_set,valid_year
season,1.3514440172041964,current_baseline,2022
game_month,1.002547433685163,current_baseline,2022
game_dayofweek,0.0613569389521347,current_baseline,2022
inning,0.0983907543784579,current_baseline,2022
balls_before,0.6517880414544477,current_baseline,2022
strikes_before,0.1335697937855995,current_baseline,2022
outs_before,0.0537930514406811,current_baseline,2022
run_top_before,0.223110411852665,current_baseline,2022
run_bot_before,0.0972129821696578,current_baseline,2022
run_total_before,0.1985273555730024,current_baseline,2022
score_diff_home,0.1327857782347884,current_baseline,2022
score_diff_pitcher_team,0.2262945332676389,current_baseline,2022
runner_on_1b,0.0,current_baseline,2022
runner_on_2b,0.0,current_baseline,2022
runner_on_3b,0.7122879278506604,current_baseline,2022
num_runners_on,0.5229299747924332,current_baseline,2022
home_win_expectancy,0.1198784463757419,current_baseline,2022
away_win_expectancy,0.1490294713905355,current_baseline,2022
li,0.2184833669665633,current_baseline,2022
pitcher_hand,0.0,current_baseline,2022
batter_hand,0.0,current_baseline,2022
pitcher_team_id,0.1295696871843068,current_baseline,2022
batter_team_id,0.0651976784141159,current_baseline,2022
asof_pitcher_n,0.8887532671268571,current_baseline,2022
asof_pitcher_success_rate,0.9137877747285422,current_baseline,2022
asof_pitcher_reverse_rate,0.6117527836829372,current_baseline,2022
asof_pitcher_middle_rate,0.3923192027801402,current_baseline,2022
asof_pitcher_ball_rate,0.1267519901907001,current_baseline,2022
asof_pitcher_strike_rate,0.2136778520456317,current_baseline,2022
asof_pitcher_prev1_game_success_rate,0.2550639364752582,current_baseline,2022
asof_pitcher_prev3_game_success_rate,0.0991238724224845,current_baseline,2022
asof_pitcher_prev5_game_success_rate,0.3006991637961313,current_baseline,2022
asof_pitcher_prev1_game_middle_rate,0.1562804169904565,current_baseline,2022
asof_pitcher_prev3_game_middle_rate,0.1752405810832662,current_baseline,2022
asof_pitcher_prev5_game_middle_rate,0.1697737504195144,current_baseline,2022
asof_batter_n,0.2108100353400521,current_baseline,2022
asof_batter_success_rate,0.7755189936137077,current_baseline,2022
asof_batter_middle_rate,0.0649816943335368,current_baseline,2022
