feature_set,mean_brier,std_brier,worst_brier,mean_pseudo_score,positive_score_folds,worst_skill_margin,mean_auc,mean_logloss,mean_pred_std,brier_2024,skill_margin_2024,pseudo_score_2024,auc_2024
count_interactions,0.25035841359209904,0.002209659392228996,0.2527263644508417,108.64242043540084,1,-0.0027263662797299,0.5186098077166256,0.6939500598449718,0.031706257171794,0.249997360502685,-0.000190433745897,0.0,0.5115526798994829
all_safe_official_interactions,0.2503096101467108,0.0022714922584790398,0.2527197384397868,127.79311078347695,1,-0.002719740268675025,0.5195107135798497,0.6938541708687603,0.032401301525154906,0.2500007258306289,-0.00019379907384090012,0.0,0.5111851370345969
batter_asof_deltas,0.25031642799478515,0.0021745384310516438,0.2526313506035785,113.30441684527608,1,-0.0026313524324667,0.5189738835153804,0.6938660264496059,0.0317055664758611,0.250001265553378,-0.00019433879659,0.0,0.5108340001629181
context_asof_interactions,0.2503140977278505,0.0023535786282542883,0.2528071709460479,138.1878629695003,1,-0.0028071727749361,0.5198081964671257,0.6938612868210844,0.0327130354577255,0.2500044558865383,-0.0001975291297503,0.0,0.5110881219013568
identity_context_interactions,0.2502871660740424,0.002262647063555558,0.2526770092254667,131.8713281663701,1,-0.0026770110543549,0.519822236379633,0.693805152992334,0.0323030561537032,0.2500066071276569,-0.0001996803708689,0.0,0.510986021413211
current_baseline,0.2503006514690536,0.0022460969203764993,0.2526763840631894,127.34101097480557,1,-0.0026763858920776,0.5195480238223708,0.6938352692449429,0.0323314214717325,0.2500138247696704,-0.0002068980128824,0.0,0.5106875170195614
pitcher_asof_momentum,0.2503072801255015,0.002296651453795031,0.2527361852019929,132.80337518450185,1,-0.0027361870308811,0.5197538086608885,0.6938479647539886,0.032585417518036265,0.2500147402714427,-0.0002078135146547,0.0,0.5104360077385113
