candidate_name,target_definition,target_formula,model_type,calibration_mode,valid_year,estimated_global_baseline,metric_actual_rate,metric_constant_brier,metric_brier,metric_skill_margin,metric_pseudo_score,metric_auc,metric_logloss,metric_pred_mean,metric_pred_std
A_ORIGINAL,binary classifier,control_success,CatBoostClassifier Logloss,native,2022,0.5114727049981269,0.5289204435249241,0.24916360794632167,0.24906209080176053,0.00010151714456113625,40.7431668684965,0.5324856858143385,0.6913031110776264,0.5443147913690605,0.05695720532425376
A_ORIGINAL,binary classifier,control_success,CatBoostClassifier Logloss,platt,2022,0.5114727049981269,0.5289204435249241,0.24916360794632167,0.24821174557430123,0.00095186237202044,382.0230329244163,0.5324856858143385,0.6895538848731501,0.5348896027577381,0.02862439904538513
A_ORIGINAL,binary classifier,control_success,CatBoostClassifier Logloss,v2_strength,2022,0.5114727049981269,0.5289204435249241,0.24916360794632167,0.24894055749927693,0.00022305044704473698,89.51967299044315,0.5322787370048183,0.6910267618039342,0.5115676534729856,0.01099229483839128
A_ORIGINAL,binary classifier,control_success,CatBoostClassifier Logloss,native,2023,0.5276733290608981,0.49995723449750534,0.24999999817111176,0.2540765927559245,-0.004076594584812715,0.0,0.5154708686332126,0.7018125133287548,0.5419201905674266,0.062106804902845376
A_ORIGINAL,binary classifier,control_success,CatBoostClassifier Logloss,platt,2023,0.5276733290608981,0.49995723449750534,0.24999999817111176,0.25267638406318943,-0.002676385892077665,0.0,0.5154708686332126,0.6987763406570034,0.5311629375524517,0.05538384867760476
A_ORIGINAL,binary classifier,control_success,CatBoostClassifier Logloss,v2_strength,2023,0.5276733290608981,0.49995723449750534,0.24999999817111176,0.25056802835099595,-0.000568030179884188,0.0,0.5153704840527471,0.694287061114121,0.527189297933662,0.014285022476808469
A_ORIGINAL,binary classifier,control_success,CatBoostClassifier Logloss,native,2024,0.48774205570452267,0.4861049201797189,0.24980692675678798,0.2555164325408653,-0.0057095057840773344,0.0,0.5106875170195614,0.7049407319137688,0.5332785480993348,0.06568103219750941
A_ORIGINAL,binary classifier,control_success,CatBoostClassifier Logloss,platt,2024,0.48774205570452267,0.4861049201797189,0.24980692675678798,0.2500138247696704,-0.0002068980128824005,0.0,0.5106875170195614,0.6931755822046753,0.49999525244929005,0.012986016692207763
A_ORIGINAL,binary classifier,control_success,CatBoostClassifier Logloss,v2_strength,2024,0.48774205570452267,0.4861049201797189,0.24980692675678798,0.24977399777610962,3.2928980678359476e-05,13.181772461585556,0.5106876936728955,0.6926949806395462,0.48773544324372964,0.00562363776754328
B_SEASON_CENTERED,season-centered residual,control_success - leave-one-out season baseline,CatBoostRegressor RMSE,native,2022,0.5114727049981269,0.5289204435249241,0.24916360794632167,0.24892526122750072,0.0002383467188209476,95.65872030248318,0.5320631712303441,0.6910017683073032,0.5222489068190118,0.05732729852787977
B_SEASON_CENTERED,season-centered residual,control_success - leave-one-out season baseline,CatBoostRegressor RMSE,platt,2022,0.5114727049981269,0.5289204435249241,0.24916360794632167,0.2483285525369094,0.0008350554094122553,335.1434089010923,0.5320631712303441,0.6897898693841189,0.5403974699867589,0.028525508228556946
B_SEASON_CENTERED,season-centered residual,control_success - leave-one-out season baseline,CatBoostRegressor RMSE,v2_strength,2022,0.5114727049981269,0.5289204435249241,0.24916360794632167,0.2489426143991168,0.0002209935472048674,88.69415121508312,0.5318932648945986,0.6910308882512928,0.5116201354264761,0.01098699089984881
B_SEASON_CENTERED,season-centered residual,control_success - leave-one-out season baseline,CatBoostRegressor RMSE,native,2023,0.5276733290608981,0.49995723449750534,0.24999999817111176,0.2537949648434066,-0.003794966672294814,0.0,0.5147424177618206,0.7012387287918626,0.5364224180423938,0.062465957717591426
B_SEASON_CENTERED,season-centered residual,control_success - leave-one-out season baseline,CatBoostRegressor RMSE,platt,2023,0.5276733290608981,0.49995723449750534,0.24999999817111176,0.25403652828097206,-0.004036530109860298,0.0,0.5147424177618206,0.7016741574588338,0.5463744166846805,0.05638654232429921
B_SEASON_CENTERED,season-centered residual,control_success - leave-one-out season baseline,CatBoostRegressor RMSE,v2_strength,2023,0.5276733290608981,0.49995723449750534,0.24999999817111176,0.2505800877776047,-0.000580089606492945,0.0,0.5145203825043534,0.6943114276253279,0.5269869656473553,0.014434597742316844
B_SEASON_CENTERED,season-centered residual,control_success - leave-one-out season baseline,CatBoostRegressor RMSE,native,2024,0.48774205570452267,0.4861049201797189,0.24980692675678798,0.25302295514007633,-0.003216028383288355,0.0,0.512168857255338,0.6995142913802317,0.488056571045356,0.06439520856121837
B_SEASON_CENTERED,season-centered residual,control_success - leave-one-out season baseline,CatBoostRegressor RMSE,platt,2024,0.48774205570452267,0.4861049201797189,0.24980692675678798,0.24982479782887146,-1.787107208348071e-05,0.0,0.512168857255338,0.6927967545999298,0.4916516121950588,0.013284753029103393
