candidate_name,calibration_mode,target_definition,baseline_estimator,model_type,mean_auc,mean_brier,worst_skill_margin,positive_fold_count,auc_2022,pseudo_2022,skill_2022,brier_2022,delta_auc_2022_vs_v2,delta_skill_2022_vs_v2,auc_2023,pseudo_2023,skill_2023,brier_2023,delta_auc_2023_vs_v2,delta_skill_2023_vs_v2,auc_2024,pseudo_2024,skill_2024,brier_2024,delta_auc_2024_vs_v2,delta_skill_2024_vs_v2,delta_mean_auc_vs_v2,success_a,success_b,success_c,success_d
B_SEASON_CENTERED,native,season-centered residual,linear_trend_recent3 with deterministic fallback,CatBoostRegressor RMSE,0.5196581487491676,0.25191439373699454,-0.003794966672294814,1,0.5320631712303441,95.65872030248318,0.0002383467188209476,0.24892526122750072,-0.00021556577447423564,1.5296271776210624e-05,0.5147424177618206,0.0,-0.003794966672294814,0.2537949648434066,-0.0006280662909264878,-0.003226936492410626,0.512168857255338,0.0,-0.003216028383288355,0.25302295514007633,0.0014811635824425462,-0.0032489573639667146,0.0002125105056806076,False,False,False,False
B_SEASON_CENTERED,platt,season-centered residual,linear_trend_recent3 with deterministic fallback,CatBoostRegressor RMSE,0.5196581487491676,0.25072995954891764,-0.004036530109860298,1,0.5320631712303441,335.1434089010923,0.0008350554094122553,0.2483285525369094,-0.00021556577447423564,0.0006120049623675183,0.5147424177618206,0.0,-0.004036530109860298,0.25403652828097206,-0.0006280662909264878,-0.00346849992997611,0.512168857255338,0.0,-1.787107208348071e-05,0.24982479782887146,0.0014811635824425462,-5.0800052761840186e-05,0.0002125105056806076,False,False,False,False
A_ORIGINAL,platt,binary classifier,linear_trend_recent3 with deterministic fallback,CatBoostClassifier Logloss,0.5195480238223708,0.25030065146905367,-0.002676385892077665,1,0.5324856858143385,382.0230329244163,0.00095186237202044,0.24821174557430123,0.00020694880952021322,0.000728811924975703,0.5154708686332126,0.0,-0.002676385892077665,0.25267638406318943,0.00010038458046546239,-0.002108355712193477,0.5106875170195614,0.0,-0.0002068980128824005,0.2500138247696704,-1.7665333407190786e-07,-0.00023982699356075998,0.00010238557888375688,False,False,False,False
D_BASELINE_PLUS_MODEL_DEVIATION,native,classifier deviation from model mean,linear_trend_recent3 with deterministic fallback,CatBoostClassifier Logloss,0.5195480238223708,0.2518438887398485,-0.003488774161578806,1,0.5324856858143385,65.57823473320926,0.00016339709568877203,0.2490002108506329,0.00020694880952021322,-5.9653351355964945e-05,0.5154708686332126,0.0,-0.003235756279434149,0.2532357544505459,0.00010038458046546239,-0.0026677260995499608,0.5106875170195614,0.0,-0.003488774161578806,0.2532957009183668,-1.7665333407190786e-07,-0.0035217031422571654,0.00010238557888375688,False,False,False,False
D_BASELINE_PLUS_MODEL_DEVIATION,platt,classifier deviation from model mean,linear_trend_recent3 with deterministic fallback,CatBoostClassifier Logloss,0.5195480238223708,0.25064047104062576,-0.0037640930252128835,1,0.5324856858143385,343.63108280090137,0.0008562036039317378,0.24830740434238993,0.00020694880952021322,0.0006331531568870008,0.5154708686332126,0.0,-0.0037640930252128835,0.25376409119632465,0.00010038458046546239,-0.0031960628453286954,0.5106875170195614,0.0,-4.299082637482243e-05,0.2498499175831628,-1.7665333407190786e-07,-7.591980705318191e-05,0.00010238557888375688,False,False,False,False
A_ORIGINAL,native,binary classifier,linear_trend_recent3 with deterministic fallback,CatBoostClassifier Logloss,0.5195480238223708,0.2528850386995168,-0.0057095057840773344,1,0.5324856858143385,40.7431668684965,0.00010151714456113625,0.24906209080176053,0.00020694880952021322,-0.00012153330248360072,0.5154708686332126,0.0,-0.004076594584812715,0.2540765927559245,0.00010038458046546239,-0.003508564404928527,0.5106875170195614,0.0,-0.0057095057840773344,0.2555164325408653,-1.7665333407190786e-07,-0.005742434764755694,0.00010238557888375688,False,False,False,False
B_SEASON_CENTERED,v2_strength,season-centered residual,linear_trend_recent3 with deterministic fallback,CatBoostRegressor RMSE,0.5195278017977318,0.24976096001422954,-0.000580089606492945,2,0.5318932648945986,88.69415121508312,0.0002209935472048674,0.2489426143991168,-0.00038547211021966454,-2.0568998398695637e-06,0.5145203825043534,0.0,-0.000580089606492945,0.2505800877776047,-0.0008501015483937113,-1.2059426608757029e-05,0.5121697579942435,18.71400902601446,4.6748890820874633e-05,0.2497601778659671,0.001482064321348009,1.3819910142515157e-05,8.216355424484068e-05,False,False,False,False
A_ORIGINAL,v2_strength,binary classifier,linear_trend_recent3 with deterministic fallback,CatBoostClassifier Logloss,0.519445638243487,0.24976086120879418,-0.000568030179884188,2,0.5322787370048183,89.51967299044315,0.00022305044704473698,0.24894055749927693,0.0,0.0,0.5153704840527471,0.0,-0.000568030179884188,0.25056802835099595,0.0,0.0,0.5106876936728955,13.181772461585556,3.2928980678359476e-05,0.24977399777610962,0.0,0.0,0.0,False,False,False,False
D_BASELINE_PLUS_MODEL_DEVIATION,v2_strength,classifier deviation from model mean,linear_trend_recent3 with deterministic fallback,CatBoostClassifier Logloss,0.5194418177397705,0.2497604355564619,-0.0005701986993148778,2,0.5322755004371444,89.79304818233568,0.0002237315985360866,0.24893987634778558,-3.236567673869928e-06,6.811514913496186e-07,0.5153624217162985,0.0,-0.0005701986993148778,0.25057019687042664,-8.062336448566576e-06,-2.1685194306897415e-06,0.5106875310658685,14.288357043519742,3.569330561445372e-05,0.24977123345117352,-1.6260702695447549e-07,2.7643249360942423e-06,-3.820503716500667e-06,False,False,False,False
C_LOGIT_RESIDUAL,native,pseudo-logit residual,linear_trend_recent3 with deterministic fallback,CatBoostRegressor RMSE,0.5194343330350336,0.2517555335211454,-0.0034274977999494693,1,0.532011902584178,101.45417680481758,0.0002527868873391237,0.24891082105898255,-0.00026683442064034946,2.9736440294386712e-05,0.5149203948450176,0.0,-0.0034274977999494693,0.25342749597106123,-0.00045008920772948713,-0.0028594676200652813,0.5113707016759051,0.0,-0.003121356776604328,0.2529282835333923,0.0006830080030096886,-0.0031542857572826877,-1.1305208453382676e-05,False,False,False,False
