candidate_name,calibration_mode,auc,brier,constant_brier,skill_margin,pseudo_score,prediction_mean,prediction_std,low_half_actual_rate,high_half_actual_rate,low_half_prediction_mean,high_half_prediction_mean,high_minus_low_actual_rate
A_ORIGINAL,native,0.5154708686332126,0.2540765927559245,0.24999999817111176,-0.004076594584812715,0.0,0.5419201905674266,0.062106804902845376,0.4888727782212737,0.51104160048223,0.4959305745994367,0.5879094319142687,0.022168822260956345
A_ORIGINAL,platt,0.5154708686332126,0.25267638406318943,0.24999999817111176,-0.002676385892077665,0.0,0.5311629375524517,0.05538384867760476,0.4888727782212737,0.51104160048223,0.49027923226866443,0.5720463098067001,0.022168822260956345
A_ORIGINAL,v2_strength,0.5153704840527471,0.25056802835099595,0.24999999817111176,-0.000568030179884188,0.0,0.527189297933662,0.014285022476808469,0.4888727782212737,0.51104160048223,0.5148208537707798,0.5395576413459584,0.022168822260956345
B_SEASON_CENTERED,native,0.5147424177618206,0.2537949648434066,0.24999999817111176,-0.003794966672294814,0.0,0.5364224180423938,0.062465957717591426,0.4890764243006794,0.5108379560616798,0.49035356501628136,0.5824908958019108,0.02176153176100043
B_SEASON_CENTERED,platt,0.5147424177618206,0.25403652828097206,0.24999999817111176,-0.004036530109860298,0.0,0.5463744166846805,0.05638654232429921,0.4890764243006794,0.5108379560616798,0.5048469572399347,0.5879015378560098,0.02176153176100043
B_SEASON_CENTERED,v2_strength,0.5145203825043534,0.2505800877776047,0.24999999817111176,-0.000580089606492945,0.0,0.5269869656473553,0.014434597742316844,0.4890764243006794,0.5108379560616798,0.5144914134774082,0.539482416031323,0.02176153176100043
C_LOGIT_RESIDUAL,native,0.5149203948450176,0.25342749597106123,0.24999999817111176,-0.0034274977999494693,0.0,0.5340201908743177,0.060999362275400835,0.48931265375278993,0.5106017285338417,0.4885661424280568,0.5794738690620446,0.021289074781051742
C_LOGIT_RESIDUAL,platt,0.5149203948450176,0.25390998261269176,0.24999999817111176,-0.00390998444158,0.0,0.5458250912704156,0.056083960565144524,0.48931265375278993,0.5106017285338417,0.5040622607446598,0.5875875816054743,0.021289074781051742
C_LOGIT_RESIDUAL,v2_strength,0.5147023847673063,0.2505835636187966,0.24999999817111176,-0.000583565447684814,0.0,0.5270701435335486,0.014527729890312957,0.48931265375278993,0.5106017285338417,0.5144744116568527,0.5396657728082238,0.021289074781051742
D_BASELINE_PLUS_MODEL_DEVIATION,native,0.5154708686332126,0.2532357544505459,0.24999999817111176,-0.003235756279434149,0.0,0.5302895831824914,0.062106804902845376,0.4888727782212737,0.51104160048223,0.4842999672145015,0.5762788245293335,0.022168822260956345
D_BASELINE_PLUS_MODEL_DEVIATION,platt,0.5154708686332126,0.25376409119632465,0.24999999817111176,-0.0037640930252128835,0.0,0.5456613933739094,0.055213894727517775,0.4888727782212737,0.51104160048223,0.504824594044841,0.5864978600555246,0.022168822260956345
D_BASELINE_PLUS_MODEL_DEVIATION,v2_strength,0.5153624217162985,0.25057019687042664,0.24999999817111176,-0.0005701986993148778,0.0,0.5272306996354067,0.014306175953104969,0.4888727782212737,0.51104160048223,0.5148370907683287,0.5396242075469126,0.022168822260956345
