candidate_name,prediction_mode,valid_year,deviation_bucket,n,actual_rate,prediction_mean,brier,baseline_brier,skill_gain_vs_baseline
B_SEASON_CENTERED,native,2022,0_005,17399,0.5292832921432267,0.5114731208550869,0.2494555233863401,0.24945970581570753,4.182429367421969e-06
B_SEASON_CENTERED,native,2022,005_010,17866,0.5222769506324862,0.5119649573443094,0.24958264015126327,0.24962046919424527,3.7829042981996075e-05
B_SEASON_CENTERED,native,2022,010_020,36039,0.5292322206498515,0.5140773798963829,0.249520960809847,0.24946087767206215,-6.008313778485541e-05
B_SEASON_CENTERED,native,2022,020_040,62021,0.5279663339836507,0.5198562743982599,0.24970016939669892,0.24948992396062694,-0.00021024543607198187
B_SEASON_CENTERED,native,2022,040_plus,114147,0.5303249318860768,0.5293810088929465,0.24813242602409105,0.24943580496473947,0.0013033789406484142
B_SEASON_CENTERED,native,2023,0_005,21211,0.5026165668756777,0.5278559177336156,0.25064672851346026,0.25062099490899187,-2.5733604468392013e-05
B_SEASON_CENTERED,native,2023,005_010,21885,0.5047749600182774,0.528650655339344,0.25055103546714813,0.25050153506163597,-4.9500405512159507e-05
B_SEASON_CENTERED,native,2023,010_020,38893,0.5044352454169131,0.5296878010717174,0.25065708155537597,0.25052033712953664,-0.00013674442583933022
B_SEASON_CENTERED,native,2023,020_040,53393,0.4998782611952878,0.5291793326225339,0.251245237956335,0.2507725509773174,-0.00047268697901764467
B_SEASON_CENTERED,native,2023,040_plus,110143,0.49694488074593934,0.5455055970230718,0.2573898360344645,0.25093490378218863,-0.006454932252275891
B_SEASON_CENTERED,native,2024,0_005,29152,0.4947173435784852,0.4878235981347495,0.2499885320017662,0.25002074818205694,3.221618029072837e-05
B_SEASON_CENTERED,native,2024,005_010,25747,0.4953198430885152,0.4878342216810839,0.2499449625535364,0.2500355189929209,9.05564393845204e-05
B_SEASON_CENTERED,native,2024,010_020,37570,0.4929198828852808,0.4856902121599136,0.25001306110434024,0.2499766818359557,-3.6379268384539865e-05
B_SEASON_CENTERED,native,2024,020_040,54136,0.4896187379932023,0.4816651919563358,0.2506613938230736,0.24989575133555889,-0.0007656424875147338
B_SEASON_CENTERED,native,2024,040_plus,106902,0.4773624441076874,0.49224193948618206,0.2568454821352077,0.24959527740012363,-0.007250204735084059
B_SEASON_CENTERED,platt,2022,0_005,16993,0.49708703583828634,0.5117275285366681,0.25016478111610113,0.25019846211696894,3.368100086781345e-05
B_SEASON_CENTERED,platt,2022,005_010,17004,0.507115972712303,0.5135128525228353,0.24991868610517526,0.24996834404856808,4.965794339281682e-05
B_SEASON_CENTERED,platt,2022,010_020,37824,0.5154663705583756,0.5194916108864938,0.24948350775668943,0.24977674074635806,0.0002932329896686292
B_SEASON_CENTERED,platt,2022,020_040,89869,0.5236399648377082,0.5357131476685122,0.24914078449482394,0.24958919427447573,0.0004484097796517983
B_SEASON_CENTERED,platt,2022,040_plus,85782,0.5510130330372339,0.5655315648719897,0.24628941654684416,0.2489611080017822,0.0026716914549380355
B_SEASON_CENTERED,platt,2023,0_005,19648,0.5012723941368078,0.527814608369837,0.25068540548474005,0.2506953903780267,9.98489328662977e-06
B_SEASON_CENTERED,platt,2023,005_010,19388,0.49747266350319785,0.5287677125417147,0.2509644762983701,0.25090569277036007,-5.878352801003128e-05
B_SEASON_CENTERED,platt,2023,010_020,40339,0.5003098738193807,0.5320923355264023,0.2510404704819866,0.2507486626609707,-0.0002918078210158992
B_SEASON_CENTERED,platt,2023,020_040,60948,0.50160792806983,0.5368520605880643,0.2515080959934281,0.2506768196961475,-0.0008312762972805809
B_SEASON_CENTERED,platt,2023,040_plus,105202,0.4990779642972567,0.5640785984009427,0.25784220375438094,0.25081684473612864,-0.007025359018252297
B_SEASON_CENTERED,platt,2024,0_005,102886,0.4884726784985324,0.488533299607445,0.24984512554080476,0.24986765466866898,2.2529127864212573e-05
