strategy,alpha,mean_brier,std_brier,worst_brier,folds_improved,mean_improvement,mean_pred,mean_actual
separate_platt_plus_game_type_prior_alpha_0.5,0.5,0.24908912143451015,0.0028457146848734896,0.25149389788058596,2,0.0006353417237578892,0.5075408286629798,0.5049941994007161
separate_platt_plus_game_type_prior_alpha_0.3,0.3,0.24909446468203136,0.0023992150875523036,0.2510885221919468,2,0.0006299984762366817,0.5084094329825595,0.5049941994007161
separate_platt_plus_game_type_prior_alpha_0.2,0.2,0.24911931486987093,0.002173771862132524,0.2509176017874166,2,0.0006051482883971485,0.5088437351423494,0.5049941994007161
separate_platt_plus_game_type_prior_alpha_0.7,0.7,0.24914292102453275,0.0032877550746603337,0.25198398674199696,1,0.0005815421337353096,0.5066722243434002,0.5049941994007161
separate_platt_plus_game_type_prior_alpha_0.1,0.1,0.24915895076709638,0.001946686095081804,0.25076785967607945,2,0.0005655123911716686,0.5092780373021393,0.5049941994007161
separate_model_platt_plus_global_prior,,0.2492489299866114,0.001732897108636424,0.25068645257980615,2,0.0004755331716566243,0.5095376744397552,0.5049941994007161
global_platt_plus_game_type_prior_alpha_0.7,0.7,0.24931546580939137,0.0023267412878505964,0.2511195351177865,1,0.0004089973488766811,0.5066671760464271,0.5049941994007161
separate_platt_plus_game_type_prior_alpha_1.0,1.0,0.24933451322996117,0.0039469862144647485,0.2528779572330606,1,0.00038994992830688563,0.5053693178640306,0.5049941994007161
game_type_prior_alpha_0.7,0.7,0.2493554625302519,0.002572406001515718,0.2513785063243959,1,0.0003690006280161473,0.5013725492845874,0.5049941994007161
game_type_prior_alpha_0.5,0.5,0.2493583849258029,0.001954180159209847,0.2508447480252272,1,0.0003660782324651224,0.5025306883773605,0.5049941994007161
global_platt_plus_game_type_prior_alpha_0.5,0.5,0.24935839364785503,0.0018302074323813847,0.25075257942652857,1,0.0003660695104130511,0.5075357803660069,0.5049941994007161
global_platt_plus_game_type_prior_alpha_1.0,1.0,0.24936196687209056,0.003057011502019661,0.25182880585362066,1,0.0003624962861775068,0.5053642695670576,0.5049941994007161
global_platt_plus_game_type_prior_alpha_0.3,0.3,0.2494604643238624,0.0013242818823085772,0.25047033690804243,1,0.00026399883440565247,0.5084043846855865,0.5049941994007161
game_type_prior_alpha_0.3,0.3,0.249466450143654,0.0013198582041025456,0.25046159092209735,1,0.0002580130146140243,0.5036888274701333,0.5049941994007161
global_platt_plus_game_type_prior_alpha_0.2,0.2,0.249533678225945,0.001067808989316494,0.2503609830885888,1,0.00019078493232304225,0.5088386868453764,0.5049941994007161
game_type_prior_alpha_1.0,1.0,0.249548221728738,0.003479156738472503,0.25246152101572167,1,0.0001762414295300533,0.4996353406454281,0.5049941994007161
game_type_prior_alpha_0.2,0.2,0.2495599113109421,0.0009962041784763792,0.250326487819047,1,0.00016455184732597217,0.5042678970165198,0.5049941994007161
global_platt_plus_game_type_prior_alpha_0.1,0.1,0.24962167783741354,0.0008096847431514155,0.25027280756232806,1,0.00010278532085450376,0.5092729890051662,0.5049941994007161
game_type_prior_alpha_0.1,0.1,0.24967965818380514,0.0006698359196907789,0.2502290350150064,1,4.480497446289015e-05,0.5048469665629064,0.5049941994007161
current_best_global_prior_w075,,0.24972446315826805,0.0005522599298718376,0.2502058103292603,0,0.0,0.5097072911649561,0.5049941994007161
global_linear_prior,,0.24982569076224326,0.0003508136009130435,0.2501692325099754,2,-0.00010122760397521247,0.5054260361092927,0.5049941994007161
separate_platt,,0.2498908177091194,0.005468971937069954,0.25540559788770534,2,-0.00016635455085137196,0.5225712495198382,0.5049941994007161
separate_model_platt_R1_F1,,0.2500206752342737,0.005549918646646257,0.2556188042698084,1,-0.0002962120760056086,0.5218725894311426,0.5049941994007161
global_platt,,0.2504152007133762,0.0017584718459594758,0.25233600891363844,1,-0.0006907375551081507,0.5225510563319462,0.5049941994007161
raw_model,,0.25421982525980963,0.0018424521865953373,0.25605369623086216,0,-0.004495362101541574,0.5456382653019649,0.5049941994007161
