train_start,train_end,cal_year,valid_year,global_prior,r_prior,f_prior,alpha,strategy,segment,n,brier,logloss,pred_mean,actual_rate,current_brier,improvement_vs_current
2019,2020,2021,2022,0.5114727049981269,0.492998577985432,0.62,,raw_model,overall,247472,0.25236891011388485,0.6982360543908525,0.564747142216467,0.5289204435249241,0.24912154696639416,-0.0032473631474906894
2019,2020,2021,2022,0.5114727049981269,0.492998577985432,0.62,,raw_model,R,217024,0.2555208420753414,0.7046820403775207,0.5644572665293013,0.5036908360365674,0.24912154696639416,-0.006399295108947267
2019,2020,2021,2022,0.5114727049981269,0.492998577985432,0.62,,raw_model,F,30448,0.229902906369693,0.6522910444469913,0.5668132871564125,0.7087493431424067,0.24912154696639416,0.01921864059670117
2019,2020,2021,2022,0.5114727049981269,0.492998577985432,0.62,,global_platt,overall,247472,0.24888462547543985,0.6909138376430902,0.5367647443097421,0.5289204435249241,0.24912154696639416,0.00023692149095430604
2019,2020,2021,2022,0.5114727049981269,0.492998577985432,0.62,,global_platt,R,217024,0.2507210366490063,0.6946003164790796,0.5366620995166103,0.5036908360365674,0.24912154696639416,-0.001599489682612143
2019,2020,2021,2022,0.5114727049981269,0.492998577985432,0.62,,global_platt,F,30448,0.23579525019522143,0.664637747821042,0.5374963648951543,0.7087493431424067,0.24912154696639416,0.013326296771172724
2019,2020,2021,2022,0.5114727049981269,0.492998577985432,0.62,,global_linear_prior,overall,247472,0.2494680315260211,0.6920830799441466,0.5114727049981269,0.5289204435249241,0.24912154696639416,-0.00034648455962693614
2019,2020,2021,2022,0.5114727049981269,0.492998577985432,0.62,,global_linear_prior,R,217024,0.250046935213886,0.6932410905761331,0.5114727049981269,0.5036908360365674,0.24912154696639416,-0.0009253882474918318
2019,2020,2021,2022,0.5114727049981269,0.492998577985432,0.62,,global_linear_prior,F,30448,0.24534178369512274,0.6838291355341283,0.5114727049981269,0.7087493431424067,0.24912154696639416,0.0037797632712714135
2019,2020,2021,2022,0.5114727049981269,0.492998577985432,0.62,,current_best_global_prior_w075,overall,247472,0.24912154696639416,0.6913893124636288,0.5177957148260307,0.5289204435249241,0.24912154696639416,0.0
2019,2020,2021,2022,0.5114727049981269,0.492998577985432,0.62,,current_best_global_prior_w075,R,217024,0.25001680498395584,0.693180807463604,0.5177700536277476,0.5036908360365674,0.24912154696639416,-0.0008952580175616842
2019,2020,2021,2022,0.5114727049981269,0.492998577985432,0.62,,current_best_global_prior_w075,F,30448,0.2427404225574575,0.6786200858847196,0.5179786199723838,0.7087493431424067,0.24912154696639416,0.00638112440893665
2019,2020,2021,2022,0.5114727049981269,0.492998577985432,0.62,,separate_platt,overall,247472,0.24446883501778285,0.6817510442559902,0.5397638058985009,0.5289204435249241,0.24912154696639416,0.0046527119486113044
2019,2020,2021,2022,0.5114727049981269,0.492998577985432,0.62,,separate_platt,R,217024,0.24980213490025366,0.6927516304934224,0.5167419547228181,0.5036908360365674,0.24912154696639416,-0.0006805879338595
2019,2020,2021,2022,0.5114727049981269,0.492998577985432,0.62,,separate_platt,F,30448,0.2064547101592257,0.6033422414580242,0.7038564960440402,0.7087493431424067,0.24912154696639416,0.04266683680716846
2019,2020,2021,2022,0.5114727049981269,0.5096252922968575,0.5223254344983143,0.1,game_type_prior_alpha_0.1,overall,247472,0.2489334626290089,0.691012716885902,0.5111878687893495,0.5289204435249241,0.24912154696639416,0.00018808433738526364
2019,2020,2021,2022,0.5114727049981269,0.5096252922968575,0.5223254344983143,0.1,game_type_prior_alpha_0.1,R,217024,0.2500215955004565,0.6931903883451885,0.5096252922968575,0.5036908360365674,0.24912154696639416,-0.0009000485340623365
2019,2020,2021,2022,0.5114727049981269,0.5096252922968575,0.5223254344983143,0.1,game_type_prior_alpha_0.1,F,30448,0.2411775854517546,0.6754909430163478,0.5223254344983143,0.7087493431424067,0.24912154696639416,0.007943961514639553
2019,2020,2021,2022,0.5114727049981269,0.5096252922968575,0.5223254344983143,0.1,global_platt_plus_game_type_prior_alpha_0.1,overall,247472,0.24871506913470692,0.6905747361688999,0.5175820876694475,0.5289204435249241,0.24912154696639416,0.0004064778316872353
2019,2020,2021,2022,0.5114727049981269,0.5096252922968575,0.5223254344983143,0.1,global_platt_plus_game_type_prior_alpha_0.1,R,217024,0.24997970957105298,0.693106568138567,0.5163844941017957,0.5036908360365674,0.24912154696639416,-0.0008581626046588187
2019,2020,2021,2022,0.5114727049981269,0.5096252922968575,0.5223254344983143,0.1,global_platt_plus_game_type_prior_alpha_0.1,F,30448,0.23970110020218083,0.6725286148675003,0.5261181670975242,0.7087493431424067,0.24912154696639416,0.00942044676421333
2019,2020,2021,2022,0.5114727049981269,0.5096252922968575,0.5223254344983143,0.1,separate_platt_plus_game_type_prior_alpha_0.1,overall,247472,0.24699503103363263,0.6871046635297413,0.5183318530666372,0.5289204435249241,0.24912154696639416,0.00212651593276153
2019,2020,2021,2022,0.5114727049981269,0.5096252922968575,0.5223254344983143,0.1,separate_platt_plus_game_type_prior_alpha_0.1,R,217024,0.24989596597386235,0.6929390376427108,0.5114044579033477,0.5036908360365674,0.24912154696639416,-0.0007744190074681911
2019,2020,2021,2022,0.5114727049981269,0.5096252922968575,0.5223254344983143,0.1,separate_platt_plus_game_type_prior_alpha_0.1,F,30448,0.22631805702980945,0.6455190353277864,0.5677081998847457,0.7087493431424067,0.24912154696639416,0.02280348993658471
2019,2020,2021,2022,0.5114727049981269,0.507777879595588,0.5331781639985016,0.2,game_type_prior_alpha_0.2,overall,247472,0.24843386259204914,0.6900104925038218,0.5109030325805719,0.5289204435249241,0.24912154696639416,0.0006876843743450212
2019,2020,2021,2022,0.5114727049981269,0.507777879595588,0.5331781639985016,0.2,game_type_prior_alpha_0.2,R,217024,0.25000308165440455,0.6931533492465002,0.5077778795955882,0.5036908360365674,0.24912154696639416,-0.000881534688010388
2019,2020,2021,2022,0.5114727049981269,0.507777879595588,0.5331781639985016,0.2,game_type_prior_alpha_0.2,F,30448,0.23724895068359492,0.6676091741340437,0.5331781639985014,0.7087493431424067,0.24912154696639416,0.011872596282799242
2019,2020,2021,2022,0.5114727049981269,0.507777879595588,0.5331781639985016,0.2,global_platt_plus_game_type_prior_alpha_0.2,overall,247472,0.24832826128679925,0.6897983541195586,0.5173684605128643,0.5289204435249241,0.24912154696639416,0.0007932856795949128
2019,2020,2021,2022,0.5114727049981269,0.507777879595588,0.5331781639985016,0.2,global_platt_plus_game_type_prior_alpha_0.2,R,217024,0.24994645370855,0.6930400254693507,0.5149989345758436,0.5036908360365674,0.24912154696639416,-0.0008249067421558509
2019,2020,2021,2022,0.5114727049981269,0.507777879595588,0.5331781639985016,0.2,global_platt_plus_game_type_prior_alpha_0.2,F,30448,0.2367942823017089,0.6666927155548807,0.5342577142226648,0.7087493431424067,0.24912154696639416,0.012327264664685256
2019,2020,2021,2022,0.5114727049981269,0.507777879595588,0.5331781639985016,0.2,separate_platt_plus_game_type_prior_alpha_0.2,overall,247472,0.24670362690788125,0.6865103149443759,0.5181182259100541,0.5289204435249241,0.24912154696639416,0.002417920058512907
2019,2020,2021,2022,0.5114727049981269,0.507777879595588,0.5331781639985016,0.2,separate_platt_plus_game_type_prior_alpha_0.2,R,217024,0.24987651038454806,0.6929001303831152,0.5100188983773956,0.5036908360365674,0.24912154696639416,-0.0007549634181538978
2019,2020,2021,2022,0.5114727049981269,0.507777879595588,0.5331781639985016,0.2,separate_platt_plus_game_type_prior_alpha_0.2,F,30448,0.22408828719295298,0.6409656714283184,0.5758477470098863,0.7087493431424067,0.24912154696639416,0.025033259773441174
2019,2020,2021,2022,0.5114727049981269,0.5059304668943184,0.5440308934986888,0.3,game_type_prior_alpha_0.3,overall,247472,0.2479692314151419,0.6890757557456132,0.5106181963717941,0.5289204435249241,0.24912154696639416,0.0011523155512522532
