stage,config_name,iterations,learning_rate,depth,l2_leaf_reg,random_strength,bagging_temperature,rsm,raw_mean_auc,raw_worst_auc,raw_mean_brier,raw_worst_brier,raw_mean_skill_margin,raw_worst_skill_margin,raw_mean_pseudo_score,raw_positive_fold_count,raw_mean_pred_std,raw_auc_2022,raw_brier_2022,raw_pseudo_2022,raw_skill_2022,raw_auc_2023,raw_brier_2023,raw_pseudo_2023,raw_skill_2023,raw_auc_2024,raw_brier_2024,raw_pseudo_2024,raw_skill_2024,final_mean_auc,final_worst_auc,final_mean_brier,final_worst_brier,final_mean_skill_margin,final_worst_skill_margin,final_mean_pseudo_score,final_positive_fold_count,final_mean_pred_std,final_auc_2022,final_brier_2022,final_pseudo_2022,final_skill_2022,final_auc_2023,final_brier_2023,final_pseudo_2023,final_skill_2023,final_auc_2024,final_brier_2024,final_pseudo_2024,final_skill_2024,delta_vs_v2_raw_mean_auc,delta_vs_v2_raw_auc_2022,delta_vs_v2_raw_auc_2023,delta_vs_v2_raw_auc_2024,delta_vs_v2_final_mean_auc,delta_vs_v2_final_auc_2022,delta_vs_v2_final_auc_2023,delta_vs_v2_final_auc_2024,delta_vs_v2_final_mean_brier,delta_vs_v2_final_brier_2022,delta_vs_v2_final_brier_2023,delta_vs_v2_final_brier_2024,delta_vs_v2_final_pseudo_2022,delta_vs_v2_final_pseudo_2023,delta_vs_v2_final_pseudo_2024,selection_note,corr_vs_v2,mean_abs_diff_vs_v2,max_abs_diff_vs_v2
stage2,stage2_from_conservative_d5_i300_lr003_l2_10_rs1_bag1_rsm085_4,450,0.03,4,10.0,1.0,1.0,0.85,0.5205278161710432,0.5119920490382459,0.25279430115113155,0.2554970416537855,-0.0031374568597244135,-0.005690114896997528,47.68042574414113,1,0.061349562076060876,0.534907963980132,0.24880720113911686,143.0412772324234,0.00035640680720480655,0.5146834354947516,0.2540786606604923,0.0,-0.004078662489380519,0.5119920490382459,0.2554970416537855,0.0,-0.005690114896997528,0.520375678539629,0.5119924660360401,0.2497461826788273,0.25058899170083243,-8.933838742017364e-05,-0.0005889935297206661,42.92502740415301,2,0.010442039664796336,0.5346411809377425,0.24888834391306502,110.47521567272616,0.0002752640332566447,0.5144933886451043,0.25058899170083243,0.0,-0.0005889935297206661,0.5119924660360401,0.24976121242258448,18.29986653973288,4.571433420350046e-05,0.0009797923486724036,0.0024222781657934345,-0.000787433138460969,0.0013045320186845233,0.0009300402961419652,0.002362443932924174,-0.0008770954076428028,0.001304772363144635,-1.4678529966866138e-05,-5.221358621190775e-05,2.0963349836478073e-05,-1.2785353525140986e-05,20.95554268228301,0.0,5.1180940781473225,; Candidate 2 - highest discrimination,0.9969935758965063,0.0009570250736734417,0.018328641321821548
stage2,stage2_from_shallow_more_trees_d4_i450_lr003_l2_5_6,550,0.0255,4,5.0,,,,0.5202133780390951,0.5118542530219142,0.2528501118238457,0.2554941832131363,-0.003193267532438574,-0.00568725645634835,25.693817097097845,1,0.061718799087704945,0.5341744721454057,0.2489715490212269,77.08145129129353,0.00019205892509477351,0.5146114089499652,0.2540846032371739,0.0,-0.004084605066062147,0.5118542530219142,0.2554941832131363,0.0,-0.00568725645634835,0.520072995160764,0.5118544583596136,0.24975432081242258,0.250593085709723,-9.747652101543824e-05,-0.0005930875386112311,40.20742099579505,2,0.010361537234134743,0.5339459128833614,0.24890612733615275,103.33796828965082,0.00025748061016891977,0.5144186142393168,0.250593085709723,0.0,-0.0005930875386112311,0.5118544583596136,0.24976374939139198,17.28429469773433,4.317736539599659e-05,0.000665354216724312,0.0016887863310671714,-0.00085945968324741,0.0011667360023528417,0.0006273569172769999,0.0016671758785430368,-0.0009518698134303172,0.0011667646867181691,-6.540396371601531e-06,-3.443016312418279e-05,2.5057358727043066e-05,-1.0248384717637116e-05,13.818295299207662,0.0,4.102522236148776,,0.9969690813170157,0.0009492363082449067,0.022619473335423024
stage1,conservative_d5_i300_lr003_l2_10_rs1_bag1_rsm085,300,0.03,5,10.0,1.0,1.0,0.85,0.5201650241621549,0.5115586958300172,0.252769674048956,0.255399890722712,-0.0031128297575488593,-0.0055929639659240415,36.71054172340853,1,0.06041800249885454,0.534040845932424,0.24888920001555762,110.1316251702256,0.00027440793076405345,0.5148955307240236,0.25401993140859835,0.0,-0.004019933237486589,0.5115586958300172,0.255399890722712,0.0,-0.0055929639659240415,0.5200029376533968,0.5115590237536691,0.2497533227511711,0.25058497756589504,-9.647845976397858e-05,-0.0005849793947832749,39.52429364837906,2,0.010410326636472227,0.5338196256341087,0.2489082723438352,102.47708507314631,0.0002553356024864728,0.5146301635724125,0.25058497756589504,0.0,-0.0005849793947832749,0.5115590237536691,0.2497667183437831,16.095795871990866,4.020841300486633e-05,0.0006170003397841795,0.0015551601180854302,-0.0005753379091889554,0.0008711788104558416,0.0005572994099097839,0.00154088862929036,-0.0007403204803345664,0.000871330080773669,-7.538457623079697e-06,-3.2285155441735824e-05,1.694921489908685e-05,-7.279432326506852e-06,12.957412082703158,0.0,2.91402341040531,,0.9966881397108832,0.0009749183662138483,0.01966734114638391
stage1,shallow_more_trees_d4_i450_lr003_l2_5,450,0.03,4,5.0,,,,0.5200256242290014,0.5111839434099451,0.2528621370006385,0.25546527363046057,-0.003205292709231348,-0.005658346873672587,33.36762411529255,1,0.06167269092488497,0.534698642203181,0.24891418801792678,100.10287234587766,0.00024941992839488947,0.5141942870738784,0.2542069493535281,0.0,-0.004206951182416346,0.5111839434099451,0.25546527363046057,0.0,-0.005658346873672587,0.5198939114213568,0.511184238756131,0.24975494534083922,0.25060362676307935,-9.81010494320959e-05,-0.000603628591967581,41.368759998810994,2,0.010406985063440217,0.5344687380957588,0.24889224317014383,108.91027723290216,0.0002713647761778404,0.5140287574121805,0.25060362676307935,0.0,-0.000603628591967581,0.511184238756131,0.24976896608929453,15.196002763530835,3.796066749345295e-05,0.00047760040663069603,0.0022129563888424464,-0.001276581559334189,0.0004964263903837196,0.0004482731778697735,0.0021900010909404743,-0.0013417266405666428,0.000496545083235489,-5.915867954953136e-06,-4.8314329133103406e-05,3.559841208339298e-05,-5.031686815093472e-06,19.390604242459005,0.0,2.014230301945279,,0.9969215795650164,0.0009316825305269052,0.019220074634444417
stage1,random_strength_2,220,0.045,6,5.0,2.0,,,0.5200273434085253,0.5108060785026403,0.25282637132194796,0.2555644727963957,-0.0031695270305408343,-0.005757546039607736,22.43788533323394,1,0.06101467067256808,0.533213877497535,0.24899588681239224,67.31365599970182,0.00016772113392943266,0.5160620742254007,0.25391875435705596,0.0,-0.0039187561859442,0.5108060785026403,0.2555644727963957,0.0,-0.005757546039607736,0.5198666110125019,0.5108061300472925,0.2497503646739895,0.2505556809143782,-9.352038258240529e-05,-0.0005556827432664224,36.794865310788246,2,0.010270452835910403,0.5330242730418421,0.24892085339119666,97.42777331162695,0.0002427545551250132,0.515769429948371,0.2505556809143782,0.0,-0.0005556827432664224,0.5108061300472925,0.24977455971639378,12.956822620737778,3.236704039419336e-05,0.0004793195861545474,0.0007281916831964885,0.0005912055921881709,0.00011856148307887171,0.00042097276901487124,0.000745536037023764,0.0003989458956239478,0.00011843637439701293,-1.0496534804671498e-05,-1.9704108080276228e-05,-1.2347436617765606e-05,5.619402841661181e-07,7.908100321183795,0.0,-0.2249498408477777,Candidate 1 - fold-stable,0.9958084690941568,0.0011142727610553974,0.026515056607977705
stage1,baseline_l2_20,220,0.045,6,20.0,,,,0.5199992047570422,0.5108393044346583,0.25293403645014884,0.25569557163183376,-0.0032771921587417263,-0.005888644875045784,16.187283412454004,1,0.061694719762289775,0.5344755748764053,0.24904260948818477,48.561850237362016,0.00012099845813690058,0.5146827349600631,0.25406392823042806,0.0,-0.004063930059316295,0.5108393044346583,0.25569557163183376,0.0,-0.005888644875045784,0.5198415606856747,0.5108394421881308,0.24975431710846338,0.2505855001296529,-9.747281705625259e-05,-0.0005855019585411514,39.19757823328677,2,0.010269196974221082,0.5342774626673084,0.24890361110818365,104.34783806551235,0.0002599968381380158,0.5144077772015848,0.2505855001296529,0.0,-0.0005855019585411514,0.5108394421881308,0.2497738400875536,13.24489663434795,3.3086669234377863e-05,0.0004511809346714468,0.001989889062066763,-0.0007881336731494493,0.00015178741509691562,0.00039592244218766837,0.001998725662490042,-0.0009627068511622872,0.00015174851523536148,-6.544100330796443e-06,-3.6946391093278796e-05,1.7471778656963366e-05,-1.5768855601838716e-07,14.828165075069194,0.0,0.06312417276239479,,0.9965451945056606,0.0010106485968980738,0.02470696925879856
stage2,stage2_from_conservative_d5_i300_lr003_l2_10_rs1_bag1_rsm085_2,400,0.0255,5,10.0,1.0,1.0,0.85,0.5199365031110957,0.5114578192081288,0.2528113948802882,0.25541976340335365,-0.0031545505888810796,-0.005612836646565672,30.65993646253078,1,0.06105104063195527,0.5336588790443928,0.2489344277346694,91.97980938759234,0.00022918021165227453,0.5146928110807655,0.2540799935028416,0.0,-0.004079995331729841,0.5114578192081288,0.25541976340335365,0.0,-0.005612836646565672,0.5197818250747487,0.5114580451636892,0.24975410263373302,0.2505814592579959,-9.725834232589732e-05,-0.0005814610868841441,38.741170252949274,2,0.010360108900097047,0.5334301019818168,0.2489125071397943,100.77748054662638,0.00025110080652737676,0.51445732807874,0.2505814592579959,0.0,-0.0005814610868841441,0.5114580451636892,0.2497683415034089,15.446030212221444,3.858525337907537e-05,0.0003884792887249855,0.0011731932300542702,-0.0007780575524470867,0.0007703021885674399,0.0003361868312616867,0.0011513649769985257,-0.000913155974007096,0.0007703514907937414,-6.758575061160954e-06,-2.8050359482639786e-05,1.3430906999956083e-05,-5.656272700715892e-06,11.257807556183224,0.0,2.2642577506358883,,0.9970261608615925,0.0009232911420481868,0.01868519550898362
stage2,stage2_from_conservative_d5_i300_lr003_l2_10_rs1_bag1_rsm085_3,300,0.03,5,15.0,1.0,1.0,0.85,0.5198993037808312,0.5109842153882586,0.25291106130283286,0.2555524066836527,-0.0032542170114256974,-0.005745479926864722,40.55701488935977,1,0.061010144246696596,0.5342865799476408,0.2488604479816007,121.67104466807932,0.00030315996472096707,0.5144271160065942,0.2543203292432451,0.0,-0.004320331072133338,0.5109842153882586,0.2555524066836527,0.0,-0.005745479926864722,0.5197386441139192,0.5109841690447887,0.2497586131287096,0.2505984858062917,-0.00010176883730241466,-0.0005984876351799173,39.210428671473785,2,0.010351264318082738,0.5340645878942594,0.24890411927636916,104.14388846400675,0.0002594886699525123,0.5141671754027098,0.2505984858062917,0.0,-0.0005984876351799173,0.5109841690447887,0.24977323430346782,13.487397550414602,3.369245332016102e-05,0.0003512799584604043,0.001800894133302311,-0.0010437526266183772,0.00029669836869716804,0.00029300587043223913,0.001785850889441054,-0.0012033086500372603,0.0002964753718932567,-2.2480800845881e-06,-3.643822290777532e-05,3.0457455295729297e-05,-7.634726418015436e-07,14.624215473563595,0.0,0.3056250888290464,Candidate 3 - lower correlation ensemble probe,0.9963483242547692,0.0009994219618690453,0.021123216239081644
stage1,baseline_more_trees_i450_lr002,450,0.02,6,5.0,,,,0.5198799975139422,0.5111214389630743,0.25286660986708626,0.2555115625484074,-0.003209765575679119,-0.005704635791619422,25.925858479682848,1,0.06137034840750666,0.5337194130437969,0.24896981453318456,77.77757543904855,0.00019379341313710552,0.5147991405349555,0.2541184525196668,0.0,-0.0041184543485550396,0.5111214389630743,0.2555115625484074,0.0,-0.005704635791619422,0.5197239346187271,0.5111217055937499,0.24975531625278122,0.25058337985555534,-9.847196137405256e-05,-0.0005833816844435791,38.51191284329661,2,0.010319725838649365,0.5334976830588153,0.248911671745027,101.1127601543366,0.00025193620129465577,0.5145524152036159,0.25058337985555534,0.0,-0.0005833816844435791,0.5111217055937499,0.2497708971577612,14.422978375553225,3.602959902676561e-05,0.0003319736915714522,0.001233727229458359,-0.0006717280982571072,0.0004339219435128827,0.00027829637524012796,0.001218946053996972,-0.0008180688491311594,0.00043401192085446016,-5.544956012959457e-06,-2.8885754249918794e-05,1.535150455939105e-05,-3.1006183484061367e-06,11.593087163893443,0.0,1.2412059139676686,,0.997327465938432,0.000890416707103909,0.017026201206063463
stage2,stage2_from_shallow_more_trees_d4_i450_lr003_l2_5_7,450,0.03,4,7.5,,,,0.5197476031347773,0.5110344957483242,0.2528615534551924,0.25542291825085894,-0.003204709163785282,-0.005615991494070965,28.155130454786843,1,0.06143595006488092,0.5339316875629054,0.24895315092973225,84.46539136436053,0.0002104570165894215,0.5142766260931024,0.25420859118498607,0.0,-0.004208593013874301,0.5110344957483242,0.25542291825085894,0.0,-0.005615991494070965,0.5196218159608718,0.5110346308233434,0.2497587374782547,0.25059786710063353,-0.000101893186847557,-0.0005978689295217665,39.07670495009835,2,0.010347158681497817,0.5337271246309121,0.2489081469340479,102.52741737822834,0.0002554610122737777,0.51410369242836,0.25059786710063353,0.0,-0.0005978689295217665,0.5110346308233434,0.24977019840008266,14.702697472066717,3.672835670531782e-05,0.00019957931240655036,0.0014460017485669052,-0.0011942425401101353,0.00034697872876277014,0.0001761777173847623,0.0014483876260937834,-0.0012667916243871424,0.000346937150447979,-2.123730539482782e-06,-3.241056522904073e-05,2.9838749637578488e-05,-3.7993760269583454e-06,13.00774438778518,0.0,1.520925010481161,,0.9967731668873074,0.0009555637706971519,0.020877816118720638
