stage,config_name,fold,valid_year,target_rate,iterations,learning_rate,depth,l2_leaf_reg,random_strength,bagging_temperature,rsm,raw_actual_rate,raw_constant_brier,raw_brier,raw_skill_margin,raw_pseudo_score,raw_auc,raw_logloss,raw_pred_mean,raw_pred_std,final_actual_rate,final_constant_brier,final_brier,final_skill_margin,final_pseudo_score,final_auc,final_logloss,final_pred_mean,final_pred_std
stage2,stage2_from_conservative_d5_i300_lr003_l2_10_rs1_bag1_rsm085_1,2019-2020_cal2021_valid2022,2022,0.5114727049981269,400,0.03,5,10.0,1.0,1.0,0.85,0.5289204435249241,0.24916360794632167,0.2491744392348401,-1.0831288518420301e-05,0.0,0.5318702944584621,0.6915314966263054,0.5456333165230228,0.05716087110989697,0.5289204435249241,0.24916360794632167,0.24895140556393308,0.00021220238238858768,85.16588122062485,0.5317051097118892,0.691048467177316,0.5116109836605727,0.01087058093068312
stage2,stage2_from_conservative_d5_i300_lr003_l2_10_rs1_bag1_rsm085_1,2019-2021_cal2022_valid2023,2023,0.5276733290608981,400,0.03,5,10.0,1.0,1.0,0.85,0.49995723449750534,0.24999999817111176,0.2541214949146774,-0.004121496743565628,0.0,0.5147911544063297,0.7018899981939165,0.541924458280729,0.061823362024620555,0.49995723449750534,0.24999999817111176,0.25058928388538154,-0.0005892857142697772,0.0,0.514507240951348,0.694329897826154,0.5272118653009598,0.014388950554374383
stage2,stage2_from_conservative_d5_i300_lr003_l2_10_rs1_bag1_rsm085_1,2019-2022_cal2023_valid2024,2024,0.48774205570452267,400,0.03,5,10.0,1.0,1.0,0.85,0.4861049201797189,0.24980692675678798,0.2555041517916785,-0.005697225034890535,0.0,0.5116749724990562,0.7048901910011669,0.5346358697799288,0.06549249360778467,0.4861049201797189,0.24980692675678798,0.24976364347917349,4.328327761449202e-05,17.326692328524828,0.5116755859271356,0.6926742577925451,0.4877356024660652,0.005668117799089666
stage2,stage2_from_conservative_d5_i300_lr003_l2_10_rs1_bag1_rsm085_2,2019-2020_cal2021_valid2022,2022,0.5114727049981269,400,0.0255,5,10.0,1.0,1.0,0.85,0.5289204435249241,0.24916360794632167,0.2489344277346694,0.00022918021165227453,91.97980938759234,0.5336588790443928,0.6910374043219953,0.5448033703063323,0.05661961608069064,0.5289204435249241,0.24916360794632167,0.2489125071397943,0.00025110080652737676,100.77748054662638,0.5334301019818168,0.690970565800505,0.5115884830608011,0.011160702992185833
stage2,stage2_from_conservative_d5_i300_lr003_l2_10_rs1_bag1_rsm085_2,2019-2021_cal2022_valid2023,2023,0.5276733290608981,400,0.0255,5,10.0,1.0,1.0,0.85,0.49995723449750534,0.24999999817111176,0.2540799935028416,-0.004079995331729841,0.0,0.5146928110807655,0.7018108810254651,0.5411038208955153,0.06177298797452057,0.49995723449750534,0.24999999817111176,0.2505814592579959,-0.0005814610868841441,0.0,0.51445732807874,0.6943141429303756,0.5270066428592015,0.014403973391949348
stage2,stage2_from_conservative_d5_i300_lr003_l2_10_rs1_bag1_rsm085_2,2019-2022_cal2023_valid2024,2024,0.48774205570452267,400,0.0255,5,10.0,1.0,1.0,0.85,0.4861049201797189,0.24980692675678798,0.25541976340335365,-0.005612836646565672,0.0,0.5114578192081288,0.7047063548724216,0.5341307811098728,0.0647605178406546,0.4861049201797189,0.24980692675678798,0.2497683415034089,3.858525337907537e-05,15.446030212221444,0.5114580451636892,0.6926836668381541,0.4877378336724651,0.005515650316155961
stage2,stage2_from_conservative_d5_i300_lr003_l2_10_rs1_bag1_rsm085_3,2019-2020_cal2021_valid2022,2022,0.5114727049981269,300,0.03,5,15.0,1.0,1.0,0.85,0.5289204435249241,0.24916360794632167,0.2488604479816007,0.00030315996472096707,121.67104466807932,0.5342865799476408,0.6908838625840885,0.5441566562106317,0.05642139552561825,0.5289204435249241,0.24916360794632167,0.24890411927636916,0.0002594886699525123,104.14388846400675,0.5340645878942594,0.6909537840094496,0.5115997301494932,0.01108823560637368
stage2,stage2_from_conservative_d5_i300_lr003_l2_10_rs1_bag1_rsm085_3,2019-2021_cal2022_valid2023,2023,0.5276733290608981,300,0.03,5,15.0,1.0,1.0,0.85,0.49995723449750534,0.24999999817111176,0.2543203292432451,-0.004320331072133338,0.0,0.5144271160065942,0.7022917313573107,0.5438725264991453,0.061782156978775406,0.49995723449750534,0.24999999817111176,0.2505984858062917,-0.0005984876351799173,0.0,0.5141671754027098,0.6943483977918745,0.5271940178224089,0.014532348639182888
stage2,stage2_from_conservative_d5_i300_lr003_l2_10_rs1_bag1_rsm085_3,2019-2022_cal2023_valid2024,2024,0.48774205570452267,300,0.03,5,15.0,1.0,1.0,0.85,0.4861049201797189,0.24980692675678798,0.2555524066836527,-0.005745479926864722,0.0,0.5109842153882586,0.704982583308976,0.5348629672124274,0.06482688023569612,0.4861049201797189,0.24980692675678798,0.24977323430346782,3.369245332016102e-05,13.487397550414602,0.5109841690447887,0.6926934594648082,0.48773959415004253,0.005433208708691643
stage2,stage2_from_conservative_d5_i300_lr003_l2_10_rs1_bag1_rsm085_4,2019-2020_cal2021_valid2022,2022,0.5114727049981269,450,0.03,4,10.0,1.0,1.0,0.85,0.5289204435249241,0.24916360794632167,0.24880720113911686,0.00035640680720480655,143.0412772324234,0.534907963980132,0.6907782633061983,0.5436299224059239,0.05695558255330754,0.5289204435249241,0.24916360794632167,0.24888834391306502,0.0002752640332566447,110.47521567272616,0.5346411809377425,0.6909221909682774,0.5115865826680861,0.01126039100174439
stage2,stage2_from_conservative_d5_i300_lr003_l2_10_rs1_bag1_rsm085_4,2019-2021_cal2022_valid2023,2023,0.5276733290608981,450,0.03,4,10.0,1.0,1.0,0.85,0.49995723449750534,0.24999999817111176,0.2540786606604923,-0.004078662489380519,0.0,0.5146834354947516,0.701786051889063,0.5414844368096132,0.06187198618840519,0.49995723449750534,0.24999999817111176,0.25058899170083243,-0.0005889935297206661,0.0,0.5144933886451043,0.6943292738145721,0.5271032839294943,0.014461256019859123
