stage,config_name,valid_year,feature_seconds,train_seconds,inference_seconds,rows_train,rows_cal,rows_valid
stage1,baseline_current,2022,13.608336687088013,8.3021240234375,0.059638023376464844,481500,247088,247472
stage1,baseline_current,2023,18.617401361465454,11.593218803405762,0.07574462890625,728588,247472,245525
stage1,baseline_current,2024,23.438973426818848,18.035665273666382,0.13641786575317383,976060,245525,253507
stage1,shallow_more_trees_d4_i450_lr003_l2_5,2022,13.608336687088013,15.619447708129883,0.09640002250671387,481500,247088,247472
stage1,shallow_more_trees_d4_i450_lr003_l2_5,2023,18.617401361465454,22.28365993499756,0.11787772178649902,728588,247472,245525
stage1,shallow_more_trees_d4_i450_lr003_l2_5,2024,23.438973426818848,28.53920078277588,0.08519721031188965,976060,245525,253507
stage1,shallow_more_trees_d5_i450_lr003_l2_5,2022,13.608336687088013,17.921931505203247,0.09272146224975586,481500,247088,247472
stage1,shallow_more_trees_d5_i450_lr003_l2_5,2023,18.617401361465454,25.338456869125366,0.11603784561157227,728588,247472,245525
stage1,shallow_more_trees_d5_i450_lr003_l2_5,2024,23.438973426818848,32.63949632644653,0.09255003929138184,976060,245525,253507
stage1,shallow_slow_d5_i600_lr002_l2_5,2022,13.608336687088013,23.700358390808105,0.11632180213928223,481500,247088,247472
stage1,shallow_slow_d5_i600_lr002_l2_5,2023,18.617401361465454,33.912697076797485,0.09362363815307617,728588,247472,245525
stage1,shallow_slow_d5_i600_lr002_l2_5,2024,23.438973426818848,44.664252042770386,0.09804248809814453,976060,245525,253507
stage1,baseline_more_trees_i300_lr003,2022,13.608336687088013,13.73568081855774,0.08421015739440918,481500,247088,247472
stage1,baseline_more_trees_i300_lr003,2023,18.617401361465454,19.34156823158264,0.09722590446472168,728588,247472,245525
stage1,baseline_more_trees_i300_lr003,2024,23.438973426818848,24.561965703964233,0.10296463966369629,976060,245525,253507
stage1,baseline_more_trees_i450_lr002,2022,13.608336687088013,20.659093379974365,0.08464884757995605,481500,247088,247472
stage1,baseline_more_trees_i450_lr002,2023,18.617401361465454,28.780184507369995,0.09377002716064453,728588,247472,245525
stage1,baseline_more_trees_i450_lr002,2024,23.438973426818848,37.17929816246033,0.09303092956542969,976060,245525,253507
stage1,baseline_more_trees_i450_lr003,2022,13.608336687088013,20.301462650299072,0.07294559478759766,481500,247088,247472
stage1,baseline_more_trees_i450_lr003,2023,18.617401361465454,28.807260990142822,0.10918498039245605,728588,247472,245525
stage1,baseline_more_trees_i450_lr003,2024,23.438973426818848,37.4079270362854,0.08714723587036133,976060,245525,253507
stage1,baseline_fast_i200_lr006,2022,13.608336687088013,9.12084150314331,0.06941771507263184,481500,247088,247472
stage1,baseline_fast_i200_lr006,2023,18.617401361465454,12.794955015182495,0.07038164138793945,728588,247472,245525
stage1,baseline_fast_i200_lr006,2024,23.438973426818848,16.598783254623413,0.07623529434204102,976060,245525,253507
stage1,baseline_l2_3,2022,13.608336687088013,10.130724430084229,0.08389973640441895,481500,247088,247472
stage1,baseline_l2_3,2023,18.617401361465454,14.075377702713013,0.07448315620422363,728588,247472,245525
stage1,baseline_l2_3,2024,23.438973426818848,18.21660327911377,0.0757598876953125,976060,245525,253507
stage1,baseline_l2_10,2022,13.608336687088013,10.142926216125488,0.06912112236022949,481500,247088,247472
stage1,baseline_l2_10,2023,18.617401361465454,14.797881841659546,0.092254638671875,728588,247472,245525
stage1,baseline_l2_10,2024,23.438973426818848,18.41868305206299,0.07952570915222168,976060,245525,253507
stage1,baseline_l2_20,2022,13.608336687088013,10.158664464950562,0.08945631980895996,481500,247088,247472
stage1,baseline_l2_20,2023,18.617401361465454,14.284372329711914,0.07925820350646973,728588,247472,245525
stage1,baseline_l2_20,2024,23.438973426818848,18.416373252868652,0.07518649101257324,976060,245525,253507
stage1,deeper_d7_l2_10,2022,13.608336687088013,11.607351064682007,0.07317423820495605,481500,247088,247472
stage1,deeper_d7_l2_10,2023,18.617401361465454,16.138656854629517,0.08373045921325684,728588,247472,245525
stage1,deeper_d7_l2_10,2024,23.438973426818848,20.65608811378479,0.0799262523651123,976060,245525,253507
stage1,deeper_d7_i300_lr003_l2_10,2022,13.608336687088013,15.733781576156616,0.07501864433288574,481500,247088,247472
stage1,deeper_d7_i300_lr003_l2_10,2023,18.617401361465454,21.824278593063354,0.09220123291015625,728588,247472,245525
stage1,deeper_d7_i300_lr003_l2_10,2024,23.438973426818848,28.110406398773193,0.08313584327697754,976060,245525,253507
stage1,deeper_d8_l2_20,2022,13.608336687088013,14.256201028823853,0.09009838104248047,481500,247088,247472
stage1,deeper_d8_l2_20,2023,18.617401361465454,18.968517780303955,0.08806252479553223,728588,247472,245525
stage1,deeper_d8_l2_20,2024,23.438973426818848,24.26700782775879,0.07907485961914062,976060,245525,253507
stage1,deeper_d8_i300_lr003_l2_20,2022,13.608336687088013,18.56917667388916,0.10446429252624512,481500,247088,247472
