alpha,feature_set,train_start,train_end,cal_year,valid_year,stage,trend_prior,train_seconds,brier,logloss,auc,pred_mean,pred_std,actual_rate,baseline_brier,improvement_vs_catboost_baseline
20,combo_core,2019,2020,2021,2022,raw,0.5114727049981269,8.826958417892456,0.2512263356417243,0.6957856404505028,0.5197263926977913,0.5463312058012639,0.06435133794222903,0.5289204435249241,0.2488975149153299,-0.0023288207263943983
20,combo_core,2019,2020,2021,2022,platt,0.5114727049981269,8.826958417892456,0.24942212639710404,0.6920108426790041,0.5197263926977913,0.5379588317731364,0.04136322010721121,0.5289204435249241,0.2488975149153299,-0.0005246114817741288
20,combo_core,2019,2020,2021,2022,platt_plus_trend_w075,0.5114727049981269,8.826958417892456,0.2490042244520707,0.6911539194783302,0.5197263926977913,0.5180942366918793,0.010340805026802803,0.5289204435249241,0.2488975149153299,-0.00010670953674080108
20,combo_core,2019,2021,2022,2023,raw,0.5129662444084708,13.655205726623535,0.2547143294641239,0.7030644753533347,0.5109875549834433,0.5435839138831999,0.06284638832596397,0.49995723449750534,0.2501588034603313,-0.004555526003792609
20,combo_core,2019,2021,2022,2023,platt,0.5129662444084708,13.655205726623535,0.25379616843598385,0.7010975062972779,0.5109875549834433,0.5342144788121622,0.0610209636894239,0.49995723449750534,0.2501588034603313,-0.003637364975652535
20,combo_core,2019,2021,2022,2023,platt_plus_trend_w075,0.5129662444084708,13.655205726623535,0.25029314546494125,0.6937363632536359,0.5109875549834433,0.5182783030093937,0.015255240922355974,0.49995723449750534,0.2501588034603313,-0.00013434200460993306
20,combo_core,2019,2022,2023,2024,raw,0.49806160773054486,19.356561422348022,0.2558924935590607,0.7056388552893936,0.5074697111682285,0.5367513030758964,0.0644216221251826,0.4861049201797189,0.2498392201633735,-0.006053273395687175
20,combo_core,2019,2022,2023,2024,platt,0.49806160773054486,19.356561422348022,0.25008251601787845,0.6933130968260515,0.5074697111682285,0.5007891098590193,0.013623935074262704,0.4861049201797189,0.2498392201633735,-0.0002432958545049435
20,combo_core,2019,2022,2023,2024,platt_plus_trend_w075,0.49806160773054486,19.356561422348022,0.2499468488159326,0.6930408753434383,0.5074697111682285,0.4987434832626635,0.003405983768565676,0.4861049201797189,0.2498392201633735,-0.0001076286525590886
50,combo_core,2019,2020,2021,2022,raw,0.5114727049981269,10.121933221817017,0.2511940853904224,0.6956916041198573,0.5187178632231176,0.5429823766130396,0.06419087783008734,0.5289204435249241,0.2488975149153299,-0.002296570475092463
50,combo_core,2019,2020,2021,2022,platt,0.5114727049981269,10.121933221817017,0.249507930153989,0.6921786155900358,0.5187178632231176,0.5379129433185664,0.04206222862743868,0.5289204435249241,0.2488975149153299,-0.0006104152386590955
50,combo_core,2019,2020,2021,2022,platt_plus_trend_w075,0.5114727049981269,10.121933221817017,0.24901519669309777,0.691175641469451,0.5187178632231176,0.5180827645782368,0.01051555715685967,0.5289204435249241,0.2488975149153299,-0.00011768177776785849
50,combo_core,2019,2021,2022,2023,raw,0.5129662444084708,14.60192084312439,0.25488382635688034,0.7034168825594319,0.5100022483159022,0.542791184969302,0.06380778086877754,0.49995723449750534,0.2501588034603313,-0.004725022896549025
50,combo_core,2019,2021,2022,2023,platt,0.5129662444084708,14.60192084312439,0.25403902073314505,0.7016078043615882,0.5100022483159022,0.5331226537863148,0.06277770440944226,0.49995723449750534,0.2501588034603313,-0.003880217272813735
50,combo_core,2019,2021,2022,2023,platt_plus_trend_w075,0.5129662444084708,14.60192084312439,0.25032155687640656,0.6937933661397238,0.5100022483159022,0.5180053467529319,0.01569442610236057,0.49995723449750534,0.2501588034603313,-0.0001627534160752453
