candidate_name,valid_year,context,context_value,n,auc,prediction_std
B_QUERYRMSE_PITCHER_GAME,2022,count_state,1-2,23740,0.5017921095264428,3.509831623685692e-06
B_QUERYRMSE_PITCHER_GAME,2022,count_state,2-0,8700,0.5052613727900963,3.6755043106011668e-06
B_QUERYRMSE_PITCHER_GAME,2022,count_state,2-1,13114,0.5070964163891,3.726126789225158e-06
B_QUERYRMSE_PITCHER_GAME,2022,count_state,2-2,20240,0.5043331986299028,3.607218214618966e-06
B_QUERYRMSE_PITCHER_GAME,2022,count_state,3-0,2809,0.5091334341286429,4.370683133319867e-06
B_QUERYRMSE_PITCHER_GAME,2022,count_state,3-1,5605,0.5140739999164452,3.855120347138518e-06
B_QUERYRMSE_PITCHER_GAME,2022,count_state,3-2,11806,0.49685498718051696,4.041007806856294e-06
B_QUERYRMSE_PITCHER_GAME,2022,pitcher_bucket,lt50,4074,0.5368556259423894,2.3233057002491316e-06
B_QUERYRMSE_PITCHER_GAME,2022,pitcher_bucket,50_300,16327,0.5562209546596513,2.7931813723465144e-06
B_QUERYRMSE_PITCHER_GAME,2022,pitcher_bucket,300_1000,39788,0.5196629066544569,3.0582201527320152e-06
B_QUERYRMSE_PITCHER_GAME,2022,pitcher_bucket,1000_plus,187283,0.491968275307577,3.6730536672784924e-06
B_QUERYRMSE_PITCHER_GAME,2023,game_type,F,25686,0.5085733226867396,0.011716278991956266
B_QUERYRMSE_PITCHER_GAME,2023,game_type,R,219839,0.513361215836423,0.010460222180811548
B_QUERYRMSE_PITCHER_GAME,2023,count_state,0-0,63138,0.5116688721880143,0.010186213047916929
B_QUERYRMSE_PITCHER_GAME,2023,count_state,0-1,30327,0.5085172794826165,0.009875328480015927
B_QUERYRMSE_PITCHER_GAME,2023,count_state,0-2,14526,0.5026388758110754,0.01119569779320793
B_QUERYRMSE_PITCHER_GAME,2023,count_state,1-0,25591,0.512005836480285,0.010555464183979565
B_QUERYRMSE_PITCHER_GAME,2023,count_state,1-1,25293,0.5066208221804437,0.010340242890096973
B_QUERYRMSE_PITCHER_GAME,2023,count_state,1-2,23456,0.5133623553079274,0.010798834079941625
B_QUERYRMSE_PITCHER_GAME,2023,count_state,2-0,8774,0.5260153989853339,0.011479731965330262
B_QUERYRMSE_PITCHER_GAME,2023,count_state,2-1,13479,0.516036114555939,0.011489037777342618
B_QUERYRMSE_PITCHER_GAME,2023,count_state,2-2,20380,0.5067686091353839,0.010892678126973867
B_QUERYRMSE_PITCHER_GAME,2023,count_state,3-0,2858,0.5004089050654248,0.011858867364697826
B_QUERYRMSE_PITCHER_GAME,2023,count_state,3-1,5807,0.5141086075871768,0.011888563301995569
B_QUERYRMSE_PITCHER_GAME,2023,count_state,3-2,11896,0.5061620486056471,0.011830515329506066
B_QUERYRMSE_PITCHER_GAME,2023,pitcher_bucket,lt50,3191,0.49399498123283814,0.004754457259275667
B_QUERYRMSE_PITCHER_GAME,2023,pitcher_bucket,50_300,13817,0.5031512410080957,0.007291471666765986
B_QUERYRMSE_PITCHER_GAME,2023,pitcher_bucket,300_1000,28132,0.4936519281832501,0.007492843156598261
B_QUERYRMSE_PITCHER_GAME,2023,pitcher_bucket,1000_plus,200385,0.5155305409630082,0.011243646478955016
B_QUERYRMSE_PITCHER_GAME,2024,game_type,F,30010,0.5055717547095977,0.007992228969344478
B_QUERYRMSE_PITCHER_GAME,2024,game_type,R,223497,0.5106881660119226,0.0064239926904581385
