candidate_name,objective,group_definition,calibration_mode,valid_year,metric_actual_rate,metric_constant_brier,metric_brier,metric_skill_margin,metric_pseudo_score,metric_auc,metric_ap,metric_logloss,metric_pred_mean,metric_pred_std
A_CLASSIFIER,Logloss,none,platt,2022,0.5289204435249241,0.24916360794632167,0.24821174557430123,0.00095186237202044,382.0230329244163,0.5324856858143385,0.5604150629286363,0.6895538848731501,0.5348896027577381,0.02862439904538513
A_CLASSIFIER,Logloss,none,v2_strength,2022,0.5289204435249241,0.24916360794632167,0.24894055749927693,0.00022305044704473698,89.51967299044315,0.5322787370048183,0.557910902076993,0.6910267618039342,0.5115676534729856,0.01099229483839128
A_CLASSIFIER,Logloss,none,platt,2023,0.49995723449750534,0.24999999817111176,0.25267638406318943,-0.002676385892077665,0.0,0.5154708686332126,0.5087634496828064,0.6987763406570034,0.5311629375524517,0.05538384867760476
A_CLASSIFIER,Logloss,none,v2_strength,2023,0.49995723449750534,0.24999999817111176,0.25056802835099595,-0.000568030179884188,0.0,0.5153704840527471,0.5097092630361051,0.694287061114121,0.527189297933662,0.014285022476808469
A_CLASSIFIER,Logloss,none,platt,2024,0.4861049201797189,0.24980692675678798,0.2500138247696704,-0.0002068980128824005,0.0,0.5106875170195614,0.48997484956973414,0.6931755822046753,0.49999525244929005,0.012986016692207763
A_CLASSIFIER,Logloss,none,v2_strength,2024,0.4861049201797189,0.24980692675678798,0.24977399777610962,3.2928980678359476e-05,13.181772461585556,0.5106876936728955,0.4899561652971903,0.6926949806395462,0.48773544324372964,0.00562363776754328
B_QUERYRMSE_PITCHER_GAME,QueryRMSE,pitcher_id_game_type,platt,2022,0.5289204435249241,0.24916360794632167,0.24917834686785395,-1.473892153228129e-05,0.0,0.4998412662056906,0.528781784019497,0.6915030577217158,0.5327591385770349,8.062818294573705e-06
B_QUERYRMSE_PITCHER_GAME,QueryRMSE,pitcher_id_game_type,v2_strength,2022,0.5289204435249241,0.24916360794632167,0.24946803296850592,-0.0003044250221842515,0.0,0.4998412662056906,0.528781784019497,0.6920830828305995,0.5114727049981269,3.518833616485838e-06
B_QUERYRMSE_PITCHER_GAME,QueryRMSE,pitcher_id_game_type,platt,2023,0.49995723449750534,0.24999999817111176,0.25113464897517684,-0.0011346508040650793,0.0,0.5112844396601446,0.5071057613508798,0.6954398211835743,0.5312804131205576,0.02804357005873442
B_QUERYRMSE_PITCHER_GAME,QueryRMSE,pitcher_id_game_type,v2_strength,2023,0.49995723449750534,0.24999999817111176,0.2506604020423128,-0.0006604038712010596,0.0,0.5112306158365724,0.50724489559103,0.6944713265662922,0.5278515901900369,0.01069599734094218
