alpha,feature_set,mean_brier,std_brier,worst_brier,folds_improved,mean_improvement,mean_auc,mean_logloss,mean_pred_std,mean_train_seconds
100,batter_env,0.249634711485603,0.0007088950665227425,0.2501467474285736,2,-2.865305924757792e-06,0.5207332874626257,0.6924165329762434,0.008273766976259046,13.305065711339315
20,batter_env,0.2496390199140434,0.0007357341306502033,0.25018268034227237,1,-7.173734365141978e-06,0.5203791024637537,0.692425192529305,0.00837999183298088,13.063061396280924
50,batter_env,0.24964299990101782,0.0006997791074405086,0.25015357842667674,2,-1.1153721339557388e-05,0.5202393978660337,0.6924331611002188,0.008252912557948485,13.287203391393026
300,pitcher_batter_hand,0.24964508472857894,0.0007179408320672897,0.2501760090212536,1,-1.3238548900673663e-05,0.5203657413533688,0.6924373221919655,0.008246944056758639,13.526103734970093
100,pitcher_batter_hand,0.2496463361921449,0.0007224358056089227,0.2501816860895872,1,-1.4490012466635468e-05,0.5204864639712632,0.692439890492463,0.00830315790004675,13.672918240229288
1000,batter_env,0.2496515010051048,0.0007016100293684218,0.2501695989409424,1,-1.9654825426559015e-05,0.5198284403834259,0.6924502184336648,0.008246625751329595,13.54078475634257
20,pitcher_batter_hand,0.24965825217374127,0.0006919373734579127,0.25017093601150475,1,-2.6405994063024203e-05,0.5198261425293086,0.6924637333566944,0.008098682379854066,13.211663007736206
300,batter_env,0.24966146975490952,0.0006894905142672563,0.250177005574807,1,-2.9623575231257915e-05,0.5191928249502409,0.692470177674222,0.008292483324919261,13.21775515874227
1000,pitcher_batter_hand,0.24966739284004183,0.0006895626671430985,0.25018498713207177,1,-3.554666036361306e-05,0.519156790134312,0.6924820584024095,0.00813324661992639,14.006364981333414
50,pitcher_batter_hand,0.24968182909935446,0.000672998065573344,0.250192085584891,0,-4.998291967624654e-05,0.5182013156989201,0.692511011311206,0.008111771744101874,13.359569470087687
