alpha,feature_set,train_start,train_end,cal_year,valid_year,stage,trend_prior,train_seconds,brier,logloss,auc,pred_mean,pred_std,actual_rate,baseline_brier,improvement_vs_catboost_baseline
20,batter_env,2019,2020,2021,2022,raw,0.5114727049981269,8.21007227897644,0.24873727953772917,0.6906330708557075,0.5366135268173935,0.5447588855541774,0.05674647496029756,0.5289204435249241,0.2488975149153299,0.00016023537760073703
20,batter_env,2019,2020,2021,2022,platt,0.5114727049981269,8.21007227897644,0.24803345755865838,0.689191009836842,0.5366135268173935,0.5360899117217616,0.032160438488817514,0.5289204435249241,0.2488975149153299,0.0008640573566715271
20,batter_env,2019,2020,2021,2022,platt_plus_trend_w075,0.5114727049981269,8.21007227897644,0.2488018316584304,0.6907485768002338,0.5366135268173935,0.5176270066790356,0.008040109622204378,0.5289204435249241,0.2488975149153299,9.568325689951473e-05
20,pitcher_batter_hand,2019,2020,2021,2022,raw,0.5114727049981269,9.116050481796265,0.24897629828737525,0.691120527348517,0.53343410584828,0.5456109485296431,0.05601995544078547,0.5289204435249241,0.2488975149153299,-7.878337204533792e-05
20,pitcher_batter_hand,2019,2020,2021,2022,platt,0.5114727049981269,9.116050481796265,0.24817296956561927,0.6894745367361518,0.53343410584828,0.5355790921753508,0.02958354495012442,0.5289204435249241,0.2488975149153299,0.0007245453497106424
20,pitcher_batter_hand,2019,2020,2021,2022,platt_plus_trend_w075,0.5114727049981269,9.116050481796265,0.24887120902944176,0.690887672027611,0.53343410584828,0.517499301792433,0.007395886237531105,0.5289204435249241,0.2488975149153299,2.6305885888144864e-05
20,batter_env,2019,2021,2022,2023,raw,0.5129662444084708,13.098836183547974,0.2541774114455943,0.7020118665376927,0.5141156265999596,0.5419691176986005,0.06192244543002164,0.49995723449750534,0.2501588034603313,-0.00401860798526299
20,batter_env,2019,2021,2022,2023,platt,0.5129662444084708,13.098836183547974,0.25277502421651643,0.6989743101009058,0.5141156265999596,0.5309632848114878,0.05548669846491482,0.49995723449750534,0.2501588034603313,-0.002616220756185117
20,batter_env,2019,2021,2022,2023,platt_plus_trend_w075,0.5129662444084708,13.098836183547974,0.25018268034227237,0.6935147284369563,0.5141156265999596,0.517465504509225,0.013871674616228707,0.49995723449750534,0.2501588034603313,-2.3876881941053973e-05
20,pitcher_batter_hand,2019,2021,2022,2023,raw,0.5129662444084708,13.030700922012329,0.2540785370613936,0.7017949674233003,0.5148133773307328,0.5421439959594051,0.06143368536814236,0.49995723449750534,0.2501588034603313,-0.003919733601062292
