train_start,train_end,cal_year,valid_year,method,group_name,lambda,space,prior_rate,brier,logloss,pred_mean,pred_std,actual_rate,bias
2019,2020,2021,2022,current_best_plus_game_type,game_type,50,prob,0.5114727049981269,0.24476260139050318,0.6823333011884117,0.5452209997407346,0.06238732153997383,0.5289204435249241,0.016300556215810502
2019,2020,2021,2022,current_best_plus_game_type,game_type,100,prob,0.5114727049981269,0.24476236348971095,0.6823327463062224,0.5451743873340053,0.062265811053374205,0.5289204435249241,0.016253943809081184
2019,2020,2021,2022,current_best_plus_game_type,game_type,300,prob,0.5114727049981269,0.244761754937332,0.6823313628752549,0.5449896916504678,0.06178444057869004,0.5289204435249241,0.016069248125543778
2019,2020,2021,2022,current_best_plus_game_type,game_type,500,prob,0.5114727049981269,0.24476167682076397,0.6823312665150831,0.5448077544603647,0.06131041683606924,0.5289204435249241,0.0158873109354406
2019,2020,2021,2022,current_best_plus_game_type,game_type,1000,prob,0.5114727049981269,0.24476364925375582,0.6823362399354649,0.5443645762981206,0.060156422229155106,0.5289204435249241,0.015444132773196562
2019,2020,2021,2022,current_best_plus_game_type,game_type,3000,prob,0.5114727049981269,0.24479691222724842,0.6824157399455865,0.5427429445052347,0.055942698998102294,0.5289204435249241,0.013822500980310681
2019,2020,2021,2022,current_best_plus_game_type,game_type,50,logit,0.5114727049981269,0.24476306834281644,0.6823345479706212,0.5450563407796633,0.06195555195542957,0.5289204435249241,0.016135897254739184
2019,2020,2021,2022,current_best_plus_game_type,game_type,100,logit,0.5114727049981269,0.24476295431993933,0.6823342934853558,0.54501534140419,0.06184898556192104,0.5289204435249241,0.01609489787926588
2019,2020,2021,2022,current_best_plus_game_type,game_type,300,logit,0.5114727049981269,0.24476275977094938,0.6823339098662939,0.5448526211465574,0.06142611935943627,0.5289204435249241,0.015932177621633348
2019,2020,2021,2022,current_best_plus_game_type,game_type,500,logit,0.5114727049981269,0.24476297192215668,0.682334508773601,0.5446919178849325,0.061008621164841875,0.5289204435249241,0.015771474360008475
