train_start,train_end,cal_year,valid_year,method,group_name,lambda,space,prior_rate,brier,logloss,pred_mean,pred_std,actual_rate,bias,delta_vs_current,current_brier
2019,2020,2021,2022,raw_model,,,,,0.2523689101138848,0.6982360543908525,0.564747142216467,0.0660783878996609,0.5289204435249241,0.0358266986915429,0.0032473631474906894,
2019,2020,2021,2022,platt,,,,,0.2488846254754398,0.6909138376430902,0.5367647443097421,0.020745015418055,0.5289204435249241,0.007844300784818,-0.00023692149095430604,
2019,2020,2021,2022,linear_all_history_prior,,,,0.5114727049981269,0.2494680315260211,0.6920830799441466,0.5114727049981269,0.0,0.5289204435249241,-0.0174477385267971,0.00034648455962699165,
2019,2020,2021,2022,current_best,,,,0.5114727049981269,0.2491215469663941,0.6913893124636288,0.5177957148260307,0.0051862538545137,0.5289204435249241,-0.0111247286988933,0.0,
2019,2021,2022,2023,raw_model,,,,,0.2542368694346819,0.7021798832570163,0.5387933677062605,0.0634250697682921,0.4999572344975053,0.0388361332087551,0.004031059105421564,
2019,2021,2022,2023,platt,,,,,0.2523360089136384,0.6980165787350958,0.530580405031529,0.0488230974803534,0.4999572344975053,0.0306231705340236,0.0021301985843780735,
2019,2021,2022,2023,linear_all_history_prior,,,,0.5129662444084708,0.2501692325099754,0.6934857591900527,0.5129662444084708,0.0,0.4999572344975053,0.0130090099109654,-3.657781928489978e-05,
2019,2021,2022,2023,current_best,,,,0.5129662444084708,0.2502058103292603,0.6935605260486172,0.5173697845642353,0.0122057743700883,0.4999572344975053,0.0174125500667299,0.0,
2019,2022,2023,2024,raw_model,,,,,0.2560536962308621,0.7060923799584506,0.5333742859831672,0.0691496419482986,0.4861049201797189,0.0472693658034482,0.006207664051712414,
2019,2022,2023,2024,platt,,,,,0.2500249677510503,0.6931975969299533,0.5003080196545674,0.0119148414487359,0.4861049201797189,0.0142030994748484,0.00017893557190062914,
2019,2022,2023,2024,linear_all_history_prior,,,,0.4918391589212803,0.2498398082507333,0.6928267745223177,0.4918391589212803,0.0,0.4861049201797189,0.0057342387415613,-6.2239284163989606e-06,
2019,2022,2023,2024,current_best,,,,0.4918391589212803,0.2498460321791497,0.6928392092919858,0.4939563741046021,0.0029787103621839,0.4861049201797189,0.0078514539248831,0.0,
2019,2020,2021,2022,current_best_plus_game_type,game_type,3000.0,prob,0.5114727049981269,0.2447969122272484,0.6824157399455865,0.5427429445052347,0.0559426989981022,0.5289204435249241,0.0138225009803106,-0.004324634739145711,0.2491215469663941
2019,2020,2021,2022,current_best_plus_count_state,count_state,3000.0,logit,0.5114727049981269,0.2490509585359512,0.6912470449505282,0.5395010800626507,0.0089046536020187,0.5289204435249241,0.0105806365377266,-7.058843044291385e-05,0.2491215469663941
2019,2021,2022,2023,current_best_plus_game_type,game_type,3000.0,prob,0.5129662444084708,0.2546860915274971,0.7032778778163291,0.5255864906197033,0.0577130453308511,0.4999572344975053,0.0256292561221979,0.004480281198236791,0.2502058103292603
2019,2021,2022,2023,current_best_plus_count_state,count_state,3000.0,logit,0.5129662444084708,0.2506899107030957,0.694533054463979,0.5292358522078565,0.0144369248815036,0.4999572344975053,0.0292786177103511,0.0004841003738353944,0.2502058103292603
2019,2022,2023,2024,current_best_plus_game_type,game_type,3000.0,prob,0.4918391589212803,0.249655891346148,0.6924583746028234,0.4843022142806613,0.0089991193952767,0.4861049201797189,-0.0018027058990576,-0.0001901408330017007,0.2498460321791497
2019,2022,2023,2024,current_best_plus_count_state,count_state,3000.0,logit,0.4918391589212803,0.2496980959929461,0.6925429967082237,0.485858092136795,0.0080754941687524,0.4861049201797189,-0.0002468280429239,-0.0001479361862035955,0.2498460321791497
