train_start,train_end,cal_year,valid_year,method,group_name,lambda,space,prior_rate,brier,logloss,pred_mean,pred_std,actual_rate,bias
2019,2020,2021,2022,raw_model,,,,,0.25236891011388485,0.6982360543908525,0.564747142216467,0.0660783878996609,0.5289204435249241,0.03582669869154298
2019,2020,2021,2022,platt,,,,,0.24888462547543985,0.6909138376430902,0.5367647443097421,0.02074501541805502,0.5289204435249241,0.007844300784818015
2019,2020,2021,2022,linear_all_history_prior,,,,0.5114727049981269,0.2494680315260211,0.6920830799441466,0.5114727049981269,0.0,0.5289204435249241,-0.017447738526797152
2019,2020,2021,2022,current_best,,,,0.5114727049981269,0.24912154696639416,0.6913893124636288,0.5177957148260307,0.005186253854513755,0.5289204435249241,-0.01112472869889336
2019,2021,2022,2023,raw_model,,,,,0.2542368694346819,0.7021798832570163,0.5387933677062605,0.06342506976829212,0.49995723449750534,0.038836133208755175
2019,2021,2022,2023,platt,,,,,0.25233600891363844,0.6980165787350958,0.530580405031529,0.04882309748035343,0.49995723449750534,0.03062317053402369
2019,2021,2022,2023,linear_all_history_prior,,,,0.5129662444084708,0.2501692325099754,0.6934857591900527,0.5129662444084708,0.0,0.49995723449750534,0.013009009910965486
2019,2021,2022,2023,current_best,,,,0.5129662444084708,0.2502058103292603,0.6935605260486172,0.5173697845642353,0.012205774370088358,0.49995723449750534,0.01741255006672998
2019,2022,2023,2024,raw_model,,,,,0.25605369623086216,0.7060923799584506,0.5333742859831672,0.06914964194829863,0.4861049201797189,0.04726936580344826
2019,2022,2023,2024,platt,,,,,0.2500249677510503,0.6931975969299533,0.5003080196545674,0.011914841448735931,0.4861049201797189,0.01420309947484849
2019,2022,2023,2024,linear_all_history_prior,,,,0.4918391589212803,0.2498398082507333,0.6928267745223177,0.4918391589212803,0.0,0.4861049201797189,0.0057342387415613705
2019,2022,2023,2024,current_best,,,,0.4918391589212803,0.2498460321791497,0.6928392092919858,0.4939563741046021,0.0029787103621839828,0.4861049201797189,0.007851453924883178
