group_name,space,lambda,mean_improvement,min_improvement,folds_improved,mean_brier,std_brier
game_type,prob,3000,1.1498124636882823e-05,-0.004480281198236791,2,0.24971296503363116,0.004944836687138308
game_type,logit,3000,-1.19487497991048e-05,-0.004553159563536635,2,0.24973641190806717,0.004982816468074192
count_state,logit,3000,-8.852525239633202e-05,-0.0004841003738353944,2,0.24981298841066438,0.0008254945501235682
count_state,prob,3000,-8.907965642148315e-05,-0.0004857414866561438,2,0.24981354281468957,0.0008263419494422412
count_state,logit,1000,-0.00011303676480103886,-0.0005265258520327221,2,0.2498374999230691,0.0008325861515420281
count_state,prob,1000,-0.00011376269254138409,-0.0005284119424912581,2,0.24983822585080942,0.0008334680710560409
count_state,logit,500,-0.0001206727595971883,-0.000538385962120469,2,0.24984513591786525,0.0008340218385599522
count_state,prob,500,-0.00012145648912766556,-0.0005403448551198342,2,0.24984591964739575,0.0008349093121977696
count_state,logit,300,-0.0001239612761122407,-0.0005432841214830786,2,0.2498484244343803,0.0008345227521610755
count_state,prob,300,-0.00012477056464223665,-0.000545273706985816,2,0.24984923372291026,0.000835411775180604
count_state,logit,100,-0.00012740488533905894,-0.0005482721580735705,2,0.24985186804360712,0.0008349689507368162
count_state,prob,100,-0.00012824138057959678,-0.0005502933991916592,2,0.24985270453884767,0.0008358590163242054
count_state,logit,50,-0.00012829214222619587,-0.0005495333026900862,2,0.24985275530049425,0.0008350706496808239
count_state,prob,50,-0.00012913572223813286,-0.0005515626136353147,2,0.24985359888050618,0.000835960883857795
balls,logit,3000,-0.00012979528851311817,-0.0005364113117026781,2,0.2498542584467812,0.0008298622671770185
balls,prob,3000,-0.00013051378119369184,-0.0005382752981847316,2,0.2498549769394617,0.0008307209672840004
game_type,prob,1000,-0.0001336605607736574,-0.004948783351593378,2,0.2498581237190417,0.0051984164086019205
balls,logit,1000,-0.0001401493962181107,-0.0005520111713899212,2,0.24986461255448614,0.0008315397663243655
balls,prob,1000,-0.00014094595736604174,-0.0005539727749103718,2,0.24986540911563407,0.0008324061411996431
balls,logit,500,-0.0001429635346527347,-0.000556022927380273,2,0.2498674266929208,0.0008318834787490464
balls,prob,500,-0.00014378233092799766,-0.0005580104338020475,2,0.24986824548919606,0.0008327511347078739
balls,logit,300,-0.00014411779726120066,-0.0005576400973502094,2,0.24986858095552925,0.0008320106960534244
game_type,logit,1000,-0.000144915564900705,-0.004980989462668506,2,0.24986937872316875,0.005214079328447027
balls,prob,300,-0.00014494585335892798,-0.0005596381440532983,2,0.249869409011627,0.0008328787707438428
balls,logit,100,-0.00014528915160309333,-0.0005592643667012287,2,0.24986975230987116,0.0008321316437339742
balls,logit,50,-0.00014558472223621943,-0.0005596715409268427,2,0.24987004788050426,0.0008321608677823792
balls,prob,100,-0.00014612669104274723,-0.0005612730583414716,2,0.2498705898493108,0.0008330000782477306
balls,prob,50,-0.00014642466865897688,-0.0005616829103377574,2,0.24987088782692704,0.0008330293825932612
inning_bucket,logit,3000,-0.0001691284934036049,-0.0006311618516956496,2,0.24989359165167166,0.0008808511057436571
inning_bucket,prob,3000,-0.00016991211137867834,-0.0006331331464598522,2,0.24989437526964675,0.000881725256729904
game_type,prob,500,-0.0001765372034354673,-0.005078990356876534,2,0.2499010003617035,0.005265820035354955
strikes,logit,3000,-0.00018185783582900608,-0.0005900139809192906,1,0.24990632099409704,0.0008403904363813675
inning_bucket,logit,1000,-0.00018209048575178652,-0.0006564463364003292,2,0.24990655364401984,0.0008884777596342196
strikes,prob,3000,-0.00018257273260764242,-0.0005918599788941603,1,0.2499070358908757,0.0008412351018592824
inning_bucket,prob,1000,-0.00018294430567279232,-0.0006585179877882097,2,0.24990740746394083,0.0008893635083447964
game_type,logit,500,-0.0001834013966674486,-0.005098277130479945,2,0.24990786455493552,0.00527505017733471
inning_bucket,logit,500,-0.0001859300360244065,-0.0006643426264017482,2,0.24991039319429245,0.0008911683747558047
inning_bucket,prob,500,-0.00018680318675565188,-0.0006664421613946647,2,0.2499112663450237,0.0008920578351653725
inning_bucket,logit,300,-0.00018758134759958023,-0.0006678246137876154,2,0.24991204450586765,0.0008924138942176523
inning_bucket,prob,300,-0.00018846258442920907,-0.0006699360520889264,2,0.24991292574269727,0.0008933051782063909
inning_bucket,logit,100,-0.00018931634545055198,-0.0006715462802703853,2,0.2499137795037186,0.000893786961581541
inning_bucket,logit,50,-0.00018976495832404017,-0.0006725197566930796,2,0.2499142281165921,0.0008941533396069143
inning_bucket,prob,100,-0.0001902059541454837,-0.0006736702935372652,2,0.24991466911241353,0.0008946803990788116
inning_bucket,prob,50,-0.0001906567147450152,-0.0006746470481880928,2,0.24991511987301307,0.0008950473834776299
strikes,logit,1000,-0.0001927748860200973,-0.0006081914844006664,1,0.24991723804428814,0.0008439034527168162
strikes,prob,1000,-0.0001935510516419825,-0.0006101261629820609,1,0.24991801420991003,0.0008447578379804758
game_type,prob,300,-0.00019453521456426945,-0.005132702667331068,2,0.24991899837283235,0.005293254423619756
strikes,logit,500,-0.00019563815119478614,-0.0006129066572718722,1,0.24992010130946282,0.0008447905948816598
strikes,prob,500,-0.00019643073924227594,-0.0006148646837141336,1,0.2499208938975103,0.000845647275301598
strikes,logit,300,-0.00019679916583183651,-0.000614812621399341,1,0.24992126232409992,0.0008451464435549439
batter_side,logit,3000,-0.0001974327319969512,-0.0006335471388571601,1,0.249921895890265,0.0008580788224483027
strikes,prob,300,-0.0001975984545671272,-0.0006167801259173156,1,0.24992206161283517,0.0008460040254558345
strikes,logit,100,-0.00019796929650539585,-0.000616730106165031,1,0.24992243245477344,0.0008455028582286635
batter_side,prob,3000,-0.00019818571582925584,-0.0006354715856543569,1,0.24992264887409732,0.0008589541831440009
strikes,logit,50,-0.00019826326463901847,-0.0006172112895035942,1,0.24992272642290705,0.000845592050275233
strikes,prob,100,-0.00019877536280034822,-0.0006187071695598068,1,0.24992323852106843,0.0008463613318372393
strikes,prob,50,-0.00019907103746305554,-0.000619190755355048,1,0.2499235341957311,0.0008464507452599816
game_type,logit,300,-0.0001994562463516573,-0.00514645675690667,2,0.24992391940461975,0.0052998073912603645
batter_side,logit,1000,-0.00020502749126071382,-0.0006465381085081212,1,0.24992949064952877,0.0008608025462616069
batter_side,prob,1000,-0.00020582303109308495,-0.0006485247490656265,1,0.24993028618936117,0.0008616856999339422
batter_side,logit,500,-0.00020698662511781096,-0.0006498655635110984,1,0.24993144978338586,0.0008614901112788417
batter_side,logit,300,-0.00020777724990524624,-0.0006512057028327245,1,0.2499322404081733,0.000861765891671063
batter_side,prob,500,-0.00020779330382795594,-0.0006518682875166215,1,0.24993225646209605,0.0008623751651772444
batter_side,logit,100,-0.00020857189778513327,-0.0006525511198063882,1,0.24993303505605322,0.0008620421054066665
batter_side,prob,300,-0.0002085884424541662,-0.0006532149221630812,1,0.2499330516007222,0.0008626516999319207
batter_side,logit,50,-0.0002087711914811885,-0.0006528883022216547,1,0.24993323434974923,0.0008621112267302566
batter_side,prob,100,-0.0002093876379355708,-0.0006545668702579444,1,0.2499338507962036,0.0008629286646885133
batter_side,prob,50,-0.00020958807384345116,-0.0006549056910781226,1,0.24993405123211154,0.0008629979732397955
game_type,prob,100,-0.00021304130497323825,-0.005187381059442664,2,0.24993750446324128,0.005320963726417952
