method,group_name,space,lambda,mean_brier,std_brier,max_brier,mean_logloss,mean_pred,mean_pred_std,mean_actual,mean_bias,folds
current_best_plus_game_type,game_type,prob,3000.0,0.24971296503363116,0.004944836687138308,0.2546860915274971,0.6927173307882463,0.5175438831351998,0.04088495457474339,0.5049941994007161,0.012549683734483674,3
current_best,,,,0.24972446315826805,0.0005522599298718376,0.2502058103292603,0.6925963492680772,0.5097072911649561,0.006790246195595365,0.5049941994007161,0.0047130917642399335,3
current_best_plus_game_type,game_type,logit,3000.0,0.24973641190806717,0.0049828164680741855,0.25475896989279695,0.6927703790192227,0.517635048364788,0.04110963644651917,0.5049941994007161,0.012640848964071916,3
current_best_plus_count_state,count_state,logit,3000.0,0.24981298841066438,0.0008254945501235678,0.2506899107030957,0.6927743653742436,0.5181983414691008,0.010472357550758293,0.5049941994007161,0.013204142068384642,3
current_best_plus_count_state,count_state,prob,3000.0,0.24981354281468957,0.0008263419494422412,0.25069155181591646,0.6927754891155646,0.518216255883922,0.010494778569606497,0.5049941994007161,0.01322205648320579,3
linear_all_history_prior,,,,0.24982569076224326,0.0003508136009130435,0.2501692325099754,0.6927985378855057,0.5054260361092927,0.0,0.5049941994007161,0.00043183670857656803,3
current_best_plus_count_state,count_state,logit,1000.0,0.2498374999230691,0.0008325861515420339,0.25073233618129304,0.692823671274327,0.5186511873804979,0.010992313446266937,0.5049941994007161,0.01365698797978182,3
current_best_plus_count_state,count_state,prob,1000.0,0.24983822585080942,0.0008334680710560416,0.2507342222717516,0.6928251417655867,0.5186718017424071,0.01101869514860006,0.5049941994007161,0.013677602341690983,3
current_best_plus_count_state,count_state,logit,500.0,0.24984513591786525,0.0008340218385599465,0.2507441962913808,0.6928390351042498,0.5187670258174916,0.011159341924344202,0.5049941994007161,0.013772826416775408,3
current_best_plus_count_state,count_state,prob,500.0,0.24984591964739575,0.0008349093121977633,0.25074615518438015,0.6928406224626574,0.5187883804579774,0.011187044160809137,0.5049941994007161,0.013794181057261304,3
current_best_plus_count_state,count_state,logit,300.0,0.2498484244343803,0.0008345227521610755,0.2507490944507434,0.6928456522308951,0.518813161501057,0.011232369904495715,0.5049941994007161,0.013818962100340967,3
current_best_plus_count_state,count_state,prob,300.0,0.24984923372291026,0.000835411775180604,0.25075108403624613,0.69284729126916,0.5188348173272865,0.011260654139195104,0.5049941994007161,0.01384061792657045,3
