train_start,train_end,cal_year,valid_year,method,group_name,lambda,space,prior_rate,brier,logloss,pred_mean,pred_std,actual_rate,bias,current_brier,delta_vs_current
2019,2020,2021,2022,current_best_plus_game_type,game_type,50,prob,0.5114727049981269,0.2447626013905031,0.6823333011884117,0.5452209997407346,0.0623873215399738,0.5289204435249241,0.0163005562158105,0.2491215469663941,-0.0043589455758910045
2019,2020,2021,2022,current_best_plus_game_type,game_type,100,prob,0.5114727049981269,0.2447623634897109,0.6823327463062224,0.5451743873340053,0.0622658110533742,0.5289204435249241,0.0162539438090811,0.2491215469663941,-0.004359183476683209
2019,2020,2021,2022,current_best_plus_game_type,game_type,300,prob,0.5114727049981269,0.244761754937332,0.6823313628752549,0.5449896916504678,0.06178444057869,0.5289204435249241,0.0160692481255437,0.2491215469663941,-0.004359792029062115
2019,2020,2021,2022,current_best_plus_game_type,game_type,500,prob,0.5114727049981269,0.2447616768207639,0.6823312665150831,0.5448077544603647,0.0613104168360692,0.5289204435249241,0.0158873109354406,0.2491215469663941,-0.00435987014563019
2019,2020,2021,2022,current_best_plus_game_type,game_type,1000,prob,0.5114727049981269,0.2447636492537558,0.6823362399354649,0.5443645762981206,0.0601564222291551,0.5289204435249241,0.0154441327731965,0.2491215469663941,-0.004357897712638309
2019,2020,2021,2022,current_best_plus_game_type,game_type,3000,prob,0.5114727049981269,0.2447969122272484,0.6824157399455865,0.5427429445052347,0.0559426989981022,0.5289204435249241,0.0138225009803106,0.2491215469663941,-0.004324634739145711
2019,2020,2021,2022,current_best_plus_game_type,game_type,50,logit,0.5114727049981269,0.2447630683428164,0.6823345479706212,0.5450563407796633,0.0619555519554295,0.5289204435249241,0.0161358972547391,0.2491215469663941,-0.004358478623577716
2019,2020,2021,2022,current_best_plus_game_type,game_type,100,logit,0.5114727049981269,0.2447629543199393,0.6823342934853558,0.54501534140419,0.061848985561921,0.5289204435249241,0.0160948978792658,0.2491215469663941,-0.004358592646454801
2019,2020,2021,2022,current_best_plus_game_type,game_type,300,logit,0.5114727049981269,0.2447627597709493,0.6823339098662939,0.5448526211465574,0.0614261193594362,0.5289204435249241,0.0159321776216333,0.2491215469663941,-0.004358787195444802
2019,2020,2021,2022,current_best_plus_game_type,game_type,500,logit,0.5114727049981269,0.2447629719221566,0.682334508773601,0.5446919178849325,0.0610086211648418,0.5289204435249241,0.0157714743600084,0.2491215469663941,-0.004358575044237506
2019,2020,2021,2022,current_best_plus_game_type,game_type,1000,logit,0.5114727049981269,0.244765182935006,0.6823400351564952,0.5442987569610374,0.0599877544759141,0.5289204435249241,0.0153783134361132,0.2491215469663941,-0.004356364031388116
