group_name,group_value,folds,mean_n,mean_actual_rate,mean_pred_rate,mean_residual,min_residual,max_residual,same_sign,mean_brier
count_state,3-2,3,11824.333333333334,0.47476109000069505,0.5085562131553704,-0.033795123154675165,-0.0495184960270184,-0.0153220005222722,True,0.2502391810128181
game_type,F,3,28714.666666666668,0.5469777034252338,0.5167831118568103,0.030194591568423534,-0.0608503294920103,0.1907707231700228,False,0.24847424066037263
balls,3,3,20595.333333333332,0.4795837892979002,0.508515320391698,-0.028931531093797768,-0.0420958260928859,-0.0125977973479424,True,0.2501720787668356
count_state,3-1,3,5810.666666666667,0.48298789315319196,0.508650592048698,-0.02566269889550607,-0.034722822304729,-0.0078192874952162,True,0.24999021291364412
count_state,2-0,3,8955.333333333334,0.4972825884385024,0.5094760077729128,-0.0121934193344103,-0.0245736781419834,0.0087229284621803,False,0.2497254046670279
month,9,3,37349.666666666664,0.498070269472551,0.509519465201756,-0.011449195729204867,-0.0180783525168027,-0.0010314145798159,True,0.24985914798433037
inning_bucket,7-9,3,77797.66666666667,0.498384863172449,0.5090744581065071,-0.01068959493405803,-0.0218958977268247,0.005611411614793,False,0.24979672316283255
game_type,R,3,220120.0,0.4988386080118723,0.5088520370397936,-0.010013429027921234,-0.0140792175911802,-0.0036237917948042,True,0.24992049992349505
count_state,2-1,3,13346.333333333334,0.49947171922474337,0.5094235194253057,-0.009951800200562166,-0.0197838305545798,0.0097074045916768,False,0.2496421670720945
month,7,3,31716.333333333332,0.5009855457907175,0.5096953166625878,-0.008709770871870267,-0.0137919184794444,0.0009623538165259,False,0.24982860479038968
count_state,1-0,3,25807.333333333332,0.5015052118699731,0.5100198483042301,-0.0085146364342569,-0.0213867729624093,0.0099575968630226,False,0.24972303717340094
balls,2,3,42721.666666666664,0.5015986382579668,0.5093266258394793,-0.007727987581512399,-0.020390802320894,0.0092815029254549,False,0.24975176392463036
month,8,3,39219.666666666664,0.5023762256558896,0.5100557571235214,-0.0076795314676317665,-0.0133480461418119,0.0001126288697397,False,0.2498871269709221
count_state,0-1,3,30963.333333333332,0.517776473543494,0.5102542107393367,0.007522262804157233,-0.0065190276479064,0.0222577418251936,False,0.24955680853189488
strikes,2,3,71534.66666666667,0.5018383187492775,0.5091641363705527,-0.007325817621275166,-0.0212028518208977,0.0049897508891486,False,0.24989043907536967
month,4,3,41757.0,0.5041104503043481,0.5098133183592092,-0.005702868054861101,-0.0309353056019851,0.0157241467647114,False,0.24973156778840386
strikes,0,3,101902.66666666667,0.5042680961579395,0.5099578537835089,-0.005689757625569366,-0.0178997216462107,0.0114903524793213,False,0.2496816325559893
batter_side,2,3,127815.66666666667,0.5053524375173241,0.5101905294008287,-0.004838091883504467,-0.0199187631400005,0.0142370175409973,False,0.24970730133530117
inning_bucket,4-6,3,83376.0,0.5051320981115827,0.5098050631660779,-0.0046729650544951665,-0.0192114932043706,0.0139743075145057,False,0.24970073578425
batter_side,1,3,121019.0,0.5047245329524374,0.5091955316555777,-0.004470998703140367,-0.0147243719865949,0.0080671892543673,False,0.24973787849067422
count_state,2-2,3,20420.0,0.5049097188977444,0.5091974372284772,-0.0042877183307328,-0.0189914313681908,0.009245649337493,False,0.24983584536204095
count_state,0-2,3,15425.333333333334,0.5053057409085037,0.5091033198110962,-0.003797578902592533,-0.0148378996429671,0.0048493788765616,False,0.24991582372848267
count_state,0-0,3,64179.666666666664,0.5069133296596465,0.5100847497642568,-0.0031714201046101668,-0.0151840537046108,0.0134453345376663,False,0.24963413737492832
balls,1,3,74949.33333333333,0.5069348745555201,0.509830319176251,-0.002895444620730833,-0.015717437920337,0.0132686681166008,False,0.2496940743560679
month,5,3,42839.666666666664,0.5117378762867396,0.5099882226187352,0.0017496536680045652,-0.0214702487514095,0.0329893661196109,False,0.2494525122462331
inning_bucket,1-3,3,83610.0,0.5115737935580081,0.5102235642477856,0.001350229310222533,-0.0121345922320167,0.0157440622646614,False,0.24966143506112784
count_state,1-2,3,23865.0,0.5104207790388692,0.5094846137729468,0.0009361652659223664,-0.0127053731666842,0.0115546310115177,False,0.2497422094411431
strikes,1,3,75397.33333333333,0.508968528342865,0.5098831787775956,-0.0009146504347305337,-0.0132047156137813,0.0164638934408822,False,0.24962525305048566
count_state,1-1,3,25277.0,0.5091624192969647,0.5099619555178844,-0.0007995362209195668,-0.0127746093827977,0.0182149227535396,False,0.24961889439841875
month,6,3,42303.666666666664,0.5090955816297721,0.5096775358076872,-0.0005819541779152005,-0.0144208106029664,0.0191226471206696,False,0.24961420227919698
balls,0,3,110568.33333333333,0.5097328372631948,0.5099967018631045,-0.0002638645999096332,-0.0127041018649102,0.0147133740085406,False,0.24965132859069886
