candidate_name,calibration_mode,auc,brier,skill_margin,pseudo_score,prediction_std,low_half_actual_rate,high_half_actual_rate,high_minus_low_actual_rate
A_GLOBAL_PITCHER,native,0.5225359563796205,0.25157514136158565,-0.0015751431904738877,0.0,0.04390725744810098,0.48150717513676367,0.5128300869168378,0.03132291178007418
A_GLOBAL_PITCHER,platt,0.5225359563796205,0.25088574786589307,-0.000885749694781307,0.0,0.03389303360012735,0.48150717513676367,0.5128300869168378,0.03132291178007418
A_GLOBAL_PITCHER,v2_strength,0.5226100532756341,0.25040084559417064,-0.00040084742305887544,0.0,0.011993642915545779,0.48150717513676367,0.5128300869168378,0.03132291178007418
B_PITCHER_COUNT,native,0.5242766280200291,0.2516907304823795,-0.0016907323112677342,0.0,0.04659465710781371,0.47815607110575475,0.5148299133294508,0.036673842223696074
B_PITCHER_COUNT,platt,0.5242766280200291,0.250812422544538,-0.0008124243734262404,0.0,0.03402570748844584,0.47815607110575475,0.5148299133294508,0.036673842223696074
B_PITCHER_COUNT,v2_strength,0.5243845878637836,0.2503769659599106,-0.00037696778879883763,0.0,0.012016688026157966,0.47815607110575475,0.5148299133294508,0.036673842223696074
C_PITCHER_GAME,native,0.5215931666105038,0.2521113190898946,-0.0021113209187828275,0.0,0.051431142773343416,0.4835602917077939,0.5120772946859904,0.028517002978196482
C_PITCHER_GAME,platt,0.5215931666105038,0.25165755479794977,-0.0016575566268380026,0.0,0.04687381719842067,0.4835602917077939,0.5120772946859904,0.028517002978196482
C_PITCHER_GAME,v2_strength,0.5215717082857894,0.25037987145422336,-0.0003798732831115925,0.0,0.013388423401149502,0.4835602917077939,0.5120772946859904,0.028517002978196482
D_PITCHER_BATTER_HAND,native,0.5262766328246055,0.2515693725715629,-0.0015693744004511567,0.0,0.04871902083531674,0.47806623995533487,0.5150768129015376,0.03701057294620275
D_PITCHER_BATTER_HAND,platt,0.5262766328246055,0.2506880716051637,-0.0006880734340519445,0.0,0.03504449746911339,0.47806623995533487,0.5150768129015376,0.03701057294620275
D_PITCHER_BATTER_HAND,v2_strength,0.5265342009333169,0.2503271571701003,-0.00032715899898852485,0.0,0.0119578527285846,0.47806623995533487,0.5150768129015376,0.03701057294620275
E_MULTI_CONTEXT,native,0.5234868443828194,0.2505941996736701,-0.0005942015025583169,0.0,0.03336579913676538,0.4808313194780087,0.5138835122294563,0.03305219275144755
E_MULTI_CONTEXT,platt,0.5234868443828194,0.2513041705721254,-0.0013041724010136313,0.0,0.04103807742071279,0.4808313194780087,0.5138835122294563,0.03305219275144755
E_MULTI_CONTEXT,v2_strength,0.5231452532511084,0.2504006080255405,-0.00040060985442871844,0.0,0.014829659969970843,0.4808313194780087,0.5138835122294563,0.03305219275144755
F_PITCHER_COUNT_PLUS_CATBOOST,native,0.5233282008626482,0.25328376192190627,-0.003283763750794505,0.0,0.06577237429755077,0.48322770890014827,0.5166866238198806,0.03345891491973235
F_PITCHER_COUNT_PLUS_CATBOOST,platt,0.5233282008626482,0.25157186848264435,-0.0015718703115325805,0.0,0.04829519233561146,0.48322770890014827,0.5166866238198806,0.03345891491973235
F_PITCHER_COUNT_PLUS_CATBOOST,v2_strength,0.5234283308419676,0.250363891278249,-0.0003638931071372198,0.0,0.014008542819727342,0.48322770890014827,0.5166866238198806,0.03345891491973235
