candidate_name,scope,n,hierarchy_better_rate,v2_better_rate,tie_rate,both_poor_top_decile_rate
C_PITCHER_GAME,overall,746504,0.47072085347164916,0.45988768981813893,0.06962722235915682,0.07216840097306913
C_PITCHER_GAME,2022,247472,0.4856468610590289,0.4729545160664641,0.041523889571345445,0.0526685847287774
C_PITCHER_GAME,2023,245525,0.4189430811526321,0.41285408817839325,0.16833316362895837,0.0634192037470726
C_PITCHER_GAME,2024,253507,0.5062976564749692,0.4926846201485561,0.0014634704367137792,0.051899947535965475
C_PITCHER_GAME,bucket_lt50,131589,0.4929743367606715,0.5067444847213672,0.00048636284187888047,0.09743975560267196
C_PITCHER_GAME,bucket_50_300,34277,0.4809639116608805,0.43425620678589144,0.08495492604370278,0.07535665314934212
C_PITCHER_GAME,bucket_300_1000,85119,0.4617770415535897,0.4300332475710476,0.10838943126681469,0.06367556009821544
C_PITCHER_GAME,bucket_1000_plus,495519,0.4656390572309034,0.45434584748516205,0.08026937413096168,0.0678702532092614
E_MULTI_CONTEXT,overall,746504,0.46897404434537526,0.4574818085368598,0.07366202994223742,0.06647117764941649
E_MULTI_CONTEXT,2022,247472,0.4868712419990949,0.49322347578715975,0.020038630632960498,0.05260797181095235
E_MULTI_CONTEXT,2023,245525,0.4050096731493738,0.39144689950106915,0.2036289583545464,0.059708787292536404
E_MULTI_CONTEXT,2024,253507,0.513453277424292,0.48654672257570797,0.00013411858449668057,0.05356065118517438
E_MULTI_CONTEXT,bucket_lt50,131589,0.494813396256526,0.5049054252255127,0.0004331669060483779,0.09743975560267196
E_MULTI_CONTEXT,bucket_50_300,34277,0.48738220964495144,0.45800390932695395,0.05470140327333197,0.06616681739942236
E_MULTI_CONTEXT,bucket_300_1000,85119,0.4629988604189429,0.45354151247077623,0.08350662014356372,0.055440031015401965
E_MULTI_CONTEXT,bucket_1000_plus,495519,0.46186523624724785,0.4455288293688032,0.09272903763528745,0.0643204397813202
D_PITCHER_BATTER_HAND,overall,746504,0.48430283025944937,0.4769284558421656,0.038921425739178894,0.06816708282875912
D_PITCHER_BATTER_HAND,2022,247472,0.48491142432275164,0.49605611948018363,0.01916580461627982,0.05000969806685201
D_PITCHER_BATTER_HAND,2023,245525,0.4542144384482232,0.4488422767538947,0.09706139904286733,0.05536299765807962
D_PITCHER_BATTER_HAND,2024,253507,0.512849743794057,0.4854579952427349,0.0018973835042030397,0.04550170212262383
D_PITCHER_BATTER_HAND,bucket_lt50,131589,0.49392426418621616,0.5058401538122488,0.0003343744537917303,0.09743975560267196
D_PITCHER_BATTER_HAND,bucket_50_300,34277,0.48787816903462966,0.4614464509729556,0.05079207631939785,0.0718265892581031
D_PITCHER_BATTER_HAND,bucket_300_1000,85119,0.4698245985032719,0.45149731552297373,0.07881906507360284,0.05891751547833034
D_PITCHER_BATTER_HAND,bucket_1000_plus,495519,0.48398749593860174,0.47469017333341407,0.04149386804542308,0.06321049243318622
