level,history_count_threshold,valid_year,matched_group_count,pearson,spearman,sign_agreement,median_history_count,median_validation_count
pitcher_count,0,2022,2813,0.32232220649060933,0.24900233944909297,0.5801635264841806,55.0,30.0
pitcher_count,0,2023,3109,0.24506888482024422,0.18340168699542592,0.5484078481826954,76.0,28.0
pitcher_count,0,2024,3189,0.17187843270937658,0.12216164845392749,0.5412354970210097,88.0,30.0
pitcher_count,50,2022,1473,0.3830416982496521,0.33984866799643243,0.6320434487440597,138.0,57.0
pitcher_count,50,2023,1824,0.2816324900927744,0.25447854149998234,0.5805921052631579,163.5,52.0
pitcher_count,50,2024,1987,0.1992963788854364,0.16101506636855525,0.5671867136386513,180.0,49.0
pitcher_count,100,2022,939,0.3856878422680979,0.34741303733078877,0.6325878594249201,198.0,81.0
pitcher_count,100,2023,1307,0.30285172277911726,0.2862608375675877,0.595256312165264,224.0,72.0
pitcher_count,100,2024,1493,0.23382428320170748,0.20923686009412754,0.5807099799062291,249.0,60.0
pitcher_count,300,2022,255,0.4918497393249865,0.4523741115491492,0.6705882352941176,431.0,193.0
pitcher_count,300,2023,453,0.3818853490938053,0.383863625288444,0.6445916114790287,469.0,134.0
pitcher_count,300,2024,592,0.2750766492231835,0.2662644629356772,0.5945945945945946,495.0,101.5
pitcher_game,0,2022,299,0.6768722020581398,0.6850709714868461,0.7926421404682275,479.0,252.0
pitcher_game,0,2023,352,0.19837310082176374,0.2541692452639571,0.5823863636363636,411.0,190.0
pitcher_game,0,2024,371,0.14666015701628352,0.22037195137999968,0.568733153638814,463.0,180.0
pitcher_game,50,2022,261,0.6957124974118822,0.7093181435459612,0.7854406130268199,645.0,345.0
pitcher_game,50,2023,308,0.19990874246706183,0.2635123146882779,0.6006493506493507,704.5,256.5
pitcher_game,50,2024,330,0.1494983869598963,0.22514562496499127,0.5878787878787879,721.0,239.5
pitcher_game,100,2022,226,0.7167854213653237,0.7315293052978831,0.7876106194690266,819.5,410.5
pitcher_game,100,2023,256,0.20412929890773587,0.28101258172146926,0.6171875,1059.5,389.0
pitcher_game,100,2024,280,0.151940025706577,0.2354811698784222,0.6142857142857143,1244.0,355.5
pitcher_game,300,2022,160,0.7814501713609434,0.7696824094691199,0.80625,1470.5,646.0
pitcher_game,300,2023,191,0.24724995387567833,0.36391567925048224,0.6544502617801047,1688.0,672.0
pitcher_game,300,2024,209,0.13046637802645844,0.23678697512586563,0.5980861244019139,1989.0,536.0
pitcher_batter_hand,0,2022,490,0.4542402978014578,0.39080419234391106,0.6204081632653061,447.5,242.5
pitcher_batter_hand,0,2023,538,0.34318611119579884,0.310621629605793,0.5799256505576208,598.5,247.5
pitcher_batter_hand,0,2024,547,0.22842857379193865,0.2235383317569018,0.5630712979890311,764.0,259.0
pitcher_batter_hand,50,2022,437,0.47972167194557985,0.4203584815748825,0.6224256292906178,525.0,253.0
pitcher_batter_hand,50,2023,480,0.3665252180387625,0.35330143395301505,0.6041666666666666,751.0,287.5
pitcher_batter_hand,50,2024,485,0.23499897748757964,0.2338591485250852,0.5793814432989691,904.0,303.0
pitcher_batter_hand,100,2022,385,0.5093846002665853,0.4486362056381327,0.6415584415584416,616.0,299.0
pitcher_batter_hand,100,2023,434,0.3786534624277653,0.37191388765784467,0.6129032258064516,846.0,315.5
pitcher_batter_hand,100,2024,451,0.24401706628595182,0.25219109146417695,0.5920177383592018,1007.0,311.0
pitcher_batter_hand,300,2022,297,0.5359104553775182,0.5089010247818937,0.6734006734006734,818.0,351.0
pitcher_batter_hand,300,2023,354,0.4127953127655439,0.4249515525893841,0.6299435028248588,1009.0,374.0
pitcher_batter_hand,300,2024,368,0.2775581009901954,0.29986035300266545,0.6059782608695652,1214.5,357.5
pitcher_base,0,2022,1650,0.3380244920838526,0.23018478489119656,0.5496969696969697,62.0,36.0
pitcher_base,0,2023,1809,0.25757621740037157,0.20054818253725648,0.5533443891652847,85.0,34.0
pitcher_base,0,2024,1865,0.12857066125027172,0.09764799733213464,0.5335120643431636,104.0,35.0
pitcher_base,50,2022,931,0.37789138133400685,0.3062371025638969,0.5735767991407089,144.0,64.0
pitcher_base,50,2023,1164,0.2965058305647118,0.27144730794555433,0.5798969072164949,164.0,57.5
pitcher_base,50,2024,1289,0.1483842818697871,0.14086261060227806,0.5539177657098526,174.0,52.0
pitcher_base,100,2022,602,0.43830979736536935,0.38837941250313995,0.6029900332225914,251.0,107.0
pitcher_base,100,2023,826,0.3155706274852292,0.30733549243804686,0.6101694915254238,255.0,83.0
pitcher_base,100,2024,956,0.16366402439496772,0.1632848827072978,0.5575313807531381,260.0,70.5
pitcher_base,300,2022,256,0.5324642681413914,0.5014828374418635,0.63671875,606.0,221.0
pitcher_base,300,2023,366,0.36344273786395936,0.38103271193736893,0.6338797814207651,604.5,192.0
pitcher_base,300,2024,428,0.20043270028097232,0.19871170576734576,0.5677570093457944,656.0,161.0
