level,history_count_threshold,valid_year,matched_group_count,pearson,spearman,sign_agreement,median_history_count,median_validation_count
pitcher,0,2022,246,0.4299590150046805,0.41972669943286417,0.6300813008130082,858.0,497.5
pitcher,0,2023,271,0.21970760142178655,0.2425123732340801,0.5793357933579336,1219.0,487.0
pitcher,0,2024,276,0.11078244122261588,0.14605499350751275,0.5543478260869565,1480.0,502.5
pitcher,50,2022,233,0.43814488833012705,0.42634097079311417,0.6351931330472103,903.0,500.0
pitcher,50,2023,259,0.24714399148480395,0.28507716569805264,0.6023166023166023,1324.0,514.0
pitcher,50,2024,262,0.12398817499580389,0.1733746222990441,0.5687022900763359,1687.5,523.0
pitcher,100,2022,218,0.45327872318922585,0.43458081270378857,0.6330275229357798,968.5,528.0
pitcher,100,2023,241,0.2978844151138266,0.3500750896049362,0.6265560165975104,1496.0,561.0
pitcher,100,2024,245,0.1248681533714493,0.17961305273808845,0.5836734693877551,1778.0,607.0
pitcher,300,2022,178,0.5906870018298626,0.5458061193983802,0.6741573033707865,1464.5,662.5
pitcher,300,2023,205,0.345159025989266,0.38226657937624486,0.6439024390243903,1893.0,672.0
pitcher,300,2024,215,0.17116751617092973,0.23211137675384577,0.6,2197.0,677.0
