candidate_name,calibration_mode,valid_year,pitcher_sample_bucket,n,actual_rate,brier,auc,prediction_std
V2_BASELINE,platt,2022,lt50,4074,0.5621011291114384,0.24648150511513534,0.5304313450956587,0.014945683555508843
V2_BASELINE,platt,2022,50_300,16327,0.5654437434923746,0.2462779360090773,0.5150630967080827,0.019339754782578666
V2_BASELINE,platt,2022,300_1000,39788,0.551874937166985,0.24684772365912888,0.5253348691431872,0.023105674961341575
V2_BASELINE,platt,2022,1000_plus,187283,0.5201379730141017,0.24870775435439832,0.5347979479039292,0.030475512376673185
V2_BASELINE,v2_strength,2022,lt50,4074,0.5621011291114384,0.24853820382689246,0.5304339152485951,0.006470831217397385
V2_BASELINE,v2_strength,2022,50_300,16327,0.5654437434923746,0.2483971841331406,0.5150537991457846,0.0075203187758326046
V2_BASELINE,v2_strength,2022,300_1000,39788,0.551874937166985,0.24850576295948557,0.5252497859958722,0.009064995479047122
V2_BASELINE,v2_strength,2022,1000_plus,187283,0.5201379730141017,0.2490890517617536,0.534538310875922,0.01166088140210261
A_GLOBAL_PITCHER,native,2022,lt50,43261,0.5488083955525762,0.24851333828374197,0.5088285284079328,0.010864067997228156
A_GLOBAL_PITCHER,native,2022,50_300,14321,0.5537322812652747,0.24882581756925973,0.5191603577145745,0.06389651963228674
A_GLOBAL_PITCHER,native,2022,300_1000,34032,0.5417842031029619,0.2447370975651821,0.5619139521525318,0.06680558365816168
A_GLOBAL_PITCHER,native,2022,1000_plus,155858,0.5183115399915308,0.24859853505253787,0.5401727074777096,0.03998290979090205
A_GLOBAL_PITCHER,platt,2022,lt50,43261,0.5488083955525762,0.24802435748009838,0.5088285284079328,0.004943886377785577
A_GLOBAL_PITCHER,platt,2022,50_300,14321,0.5537322812652747,0.24678306963493438,0.5191603577145745,0.029487164689790187
A_GLOBAL_PITCHER,platt,2022,300_1000,34032,0.5417842031029619,0.2455220343709,0.5619139521525318,0.03117257003357562
A_GLOBAL_PITCHER,platt,2022,1000_plus,155858,0.5183115399915308,0.24891230475638357,0.5401727074777096,0.01823965972327408
A_GLOBAL_PITCHER,v2_strength,2022,lt50,43261,0.5488083955525762,0.24922151267189097,0.5088285284079328,0.0021598621612226856
A_GLOBAL_PITCHER,v2_strength,2022,50_300,14321,0.5537322812652747,0.24798292610759148,0.5205728500217934,0.01160654052863415
A_GLOBAL_PITCHER,v2_strength,2022,300_1000,34032,0.5417842031029619,0.24795440961316084,0.5612539300099612,0.011097667370977322
A_GLOBAL_PITCHER,v2_strength,2022,1000_plus,155858,0.5183115399915308,0.24922061070326013,0.5401680176155004,0.007887649012592904
B_PITCHER_COUNT,native,2022,lt50,43261,0.5488083955525762,0.24850035089165406,0.5088873940033563,0.01140069209596871
