candidate_name,calibration_mode,hierarchy_structure,smoothing_policy,model_combination,mean_auc,mean_brier,worst_skill_margin,positive_fold_count,auc_2022,pseudo_2022,skill_2022,delta_auc_2022_vs_v2,delta_skill_2022_vs_v2,auc_2023,pseudo_2023,skill_2023,delta_auc_2023_vs_v2,delta_skill_2023_vs_v2,auc_2024,pseudo_2024,skill_2024,delta_auc_2024_vs_v2,delta_skill_2024_vs_v2,delta_mean_auc_vs_v2,bucket_improvement_rate_vs_v2,success_a,success_b,success_c,success_d,success_e
C_PITCHER_GAME,platt,global -> pitcher -> game_type,alpha_pitcher=100; alpha_context=300,pure,0.5299376093996242,0.2494583143768455,-0.0016575566268380026,2,0.5503900097567345,860.7941650494472,0.002144785798628618,0.018111272751916152,0.0019217353515838809,0.5215931666105038,0.0,-0.0016575566268380026,0.006222682557756709,-0.0010895264469538146,0.5178296518316343,43.37772907305472,0.00010836057189428372,0.007141958158738859,7.543159121592424e-05,0.010491971156137203,0.5,True,False,False,False,False
C_PITCHER_GAME,native,global -> pitcher -> game_type,alpha_pitcher=100; alpha_context=300,pure,0.5299376093996242,0.2501652916100795,-0.0021113209187828275,1,0.5503900097567345,915.6482585436421,0.0022814622370850024,0.018111272751916152,0.0020584117900402654,0.5215931666105038,0.0,-0.0021113209187828275,0.006222682557756709,-0.0015432907388986394,0.5178296518316343,0.0,-0.0016954832743192594,0.007141958158738859,-0.0017284122549976189,0.010491971156137203,0.4166666666666667,True,False,False,False,False
C_PITCHER_GAME,v2_strength,global -> pitcher -> game_type,alpha_pitcher=100; alpha_context=300,pure,0.5298270320205184,0.24954782051603885,-0.0003798732831115925,2,0.5500798882422279,233.5527787331581,0.0005819285299504262,0.01780115123740955,0.00035887808290568923,0.5215717082857894,0.0,-0.0003798732831115925,0.006201224233042257,0.0001881568967725955,0.517829499533538,50.04508117088698,0.00012501607926593272,0.007141805860642503,9.208709858757325e-05,0.0103813937770314,0.75,True,True,True,True,True
E_MULTI_CONTEXT,platt,logit global + pitcher + count + game offsets,alpha_pitcher=100; alpha_context=300,multi,0.5287514660485988,0.24958893658099168,-0.0013041724010136313,2,0.5439007827277764,489.00343786027594,0.0012184186087542126,0.011622045722958108,0.0009953681617094756,0.5234868443828194,0.0,-0.0013041724010136313,0.008116360330072347,-0.0007361422211294433,0.5188667710352004,115.88026291507633,0.0002894769235058381,0.008179077362304943,0.0002565479428274786,0.0093058278051118,0.5833333333333334,True,False,False,False,False
E_MULTI_CONTEXT,native,logit global + pitcher + count + game offsets,alpha_pitcher=100; alpha_context=300,multi,0.5287514660485988,0.24945421698352796,-0.0005942015025583169,1,0.5439007827277764,553.7077569379952,0.0013796382246653582,0.011622045722958108,0.0011565877776206213,0.5234868443828194,0.0,-0.0005942015025583169,0.008116360330072347,-2.6171322674128916e-05,0.5188667710352004,0.0,-0.00017755479846945366,0.008179077362304943,-0.00021048377914781313,0.0093058278051118,0.5,True,False,False,False,False
D_PITCHER_BATTER_HAND,v2_strength,global -> pitcher -> batter_hand,alpha_pitcher=100; alpha_context=300,pure,0.5287378672577927,0.24960138098605267,-0.00032715899898852485,2,0.5384194822982123,103.3792765654313,0.00025758353535923484,0.006140745293394034,3.453308831449786e-05,0.5265342009333169,0.0,-0.00032715899898852485,0.01116371688056983,0.00024087118089566317,0.5212599185418488,94.4591019777695,0.00023596537969272635,0.010572224868953373,0.00020303639901436688,0.009292229014305708,0.6666666666666666,True,True,True,True,False
D_PITCHER_BATTER_HAND,platt,global -> pitcher -> batter_hand,alpha_pitcher=100; alpha_context=300,pure,0.5286700628381235,0.24941136515051862,-0.0006880734340519445,2,0.538478722502822,464.22990392156265,0.0011566919777767082,0.006199985498003713,0.0009336415307319712,0.5262766328246055,0.0,-0.0006880734340519445,0.01090614877185836,-0.00012004325416775652,0.5212548331869431,107.21034937575318,0.00026781887894078427,0.010567139514047641,0.0002348898982624248,0.00922442459463646,0.5833333333333334,True,False,False,False,False
D_PITCHER_BATTER_HAND,native,global -> pitcher -> batter_hand,alpha_pitcher=100; alpha_context=300,pure,0.5286700628381235,0.2503052751275761,-0.0015693744004511567,1,0.538478722502822,451.32321468167055,0.0011245332052001733,0.006199985498003713,0.0009014827581554363,0.5262766328246055,0.0,-0.0015693744004511567,0.01090614877185836,-0.0010013442205669687,0.5212548331869431,0.0,-0.0015004513132560182,0.010567139514047641,-0.0015333802939343777,0.00922442459463646,0.4166666666666667,True,False,False,False,False
E_MULTI_CONTEXT,v2_strength,logit global + pitcher + count + game offsets,alpha_pitcher=100; alpha_context=300,multi,0.5286371615598197,0.24959925565864471,-0.00040060985442871844,2,0.5438994603931502,149.79368133157996,0.0003732313408813803,0.011620723388331866,0.00015018089383664335,0.5231452532511084,0.0,-0.00040060985442871844,0.0077747691983612865,0.0001674203254554696,0.5188667710352004,80.1196405692417,0.0002001444118346074,0.008179077362304943,0.00016721543115624793,0.009191523316332662,0.6666666666666666,True,True,True,True,False
F_PITCHER_COUNT_PLUS_CATBOOST,v2_strength,pitcher-count hierarchy + beta 0.5 CatBoost deviation,alpha_pitcher=100; alpha_context=300,hybrid,0.527829142815766,0.24961249584533632,-0.0003638931071372198,2,0.5411425694739332,120.9928560591457,0.0003014701655142671,0.00886383246911493,7.841971846953011e-05,0.5234283308419676,0.0,-0.0003638931071372198,0.008057846789220502,0.00020413707274696824,0.5189165281313972,78.24774211554067,0.00019546827983540904,0.008228834458501755,0.00016253929915704957,0.008383504572278988,0.75,True,True,True,True,True
