variant,mean_brier,std_brier,worst_brier,mean_auc,min_auc,mean_logloss,mean_pred_std,mean_abs_pred_bias,mean_pseudo_score,min_pseudo_score,zero_score_folds
E_platt_trend_w075,0.24963184617967826,0.0006557172982873049,0.25015880346033137,0.5195480238223708,0.5106875170195614,0.6924109687774193,0.00808285536793314,0.012308319802472953,35.598166894564486,0.0,2
D_platt_trend_w050,0.249646391436625,0.0010552157833929757,0.2505731857026524,0.5195480238223708,0.5106875170195614,0.6924449073876905,0.01616571073586628,0.01255297721183792,89.0507555785458,0.0,2
K_platt_weak_trend_w030,0.24980806832663083,0.0014573661946038273,0.251210555626724,0.5195480238223708,0.5106875170195614,0.692783254663557,0.022631995030212793,0.012748703139329872,115.34524525251832,0.0,2
G_prev_year_prior_w075,0.24982511560928955,0.0009781575766121906,0.2507221703506668,0.5195480238223708,0.5106875170195614,0.6927981113561623,0.00808285536793314,0.015919604635016238,51.021101114800956,0.0,2
F_trend_prior_w100,0.24982569076224326,0.0003508136009130435,0.2501692325099754,0.5,0.5,0.6927985378855057,0.0,0.012063662393108002,0.0,0.0,3
C_platt_trend_w025,0.2498693265330835,0.0015722760847824279,0.2514123792369385,0.5195480238223708,0.5106875170195614,0.692912297270231,0.024248566103799423,0.012874257816476997,119.63170360529038,0.0,2
J_platt_weak_trend_w020,0.2499389203331166,0.001693514210069622,0.25163119529883143,0.5195480238223708,0.5106875170195614,0.6930595176939135,0.025865137177386047,0.01370375255700377,123.00329633176955,0.0,2
I_platt_weak_trend_w010,0.2501031147139242,0.0019558988447788634,0.2521198047776533,0.5195480238223708,0.5106875170195614,0.6934094580236373,0.0290982793245593,0.01536274203805719,127.00188490586406,0.0,2
B_catboost_platt,0.2503006514690537,0.0022460969203765106,0.25267638406318943,0.5195480238223708,0.5106875170195614,0.6938352692449429,0.03233142147173256,0.017021731519110517,127.34101097480557,0.0,2
H_history_mean_prior_w075,0.25045256648956576,0.0013354790995368446,0.2512557046989539,0.5195480238223708,0.5106875170195614,0.6940558850183812,0.00808285536793314,0.029074875045657495,33.80216725523318,0.0,2
A_catboost_raw,0.2528850386995168,0.0033881385189058907,0.2555164325408653,0.5195480238223708,0.5106875170195614,0.6993521187733833,0.06158168080820286,0.034843643944557856,13.581055622831812,0.0,2
