valid_year,variant,prior_type,prior_value,prior_weight,brier,auc,logloss,pred_mean,pred_std,actual_rate,pred_minus_actual,avg_rate_brier,pseudo_score
2022,A_catboost_raw,none,,0.0,0.24906209080176053,0.5324856858143385,0.6913031110776264,0.5443147913690605,0.05695720532425377,0.5289204435249241,0.015394347844136402,0.24916360794632167,40.743166868495436
2022,B_catboost_platt,none,,0.0,0.24821174557430123,0.5324856858143385,0.6895538848731501,0.5348896027577381,0.028624399045385135,0.5289204435249241,0.0059691592328140475,0.24916360794632167,382.0230329244167
2022,C_platt_trend_w025,linear_trend,0.5114727049981269,0.25,0.2482693719394699,0.5324856858143385,0.6896742268640682,0.5290353783178353,0.02146829928403885,0.5289204435249241,0.00011493479291124764,0.24916360794632167,358.89511081587113
2022,D_platt_trend_w050,linear_trend,0.5114727049981269,0.5,0.24849796171981278,0.5324856858143385,0.6901372424903375,0.5231811538779325,0.014312199522692567,0.5289204435249241,-0.005739289646991552,0.24916360794632167,267.1522667356374
2022,E_platt_trend_w075,linear_trend,0.5114727049981269,0.75,0.2488975149153299,0.5324856858143385,0.6909404035192446,0.5173269294380297,0.007156099761346284,0.5289204435249241,-0.011593514086894352,0.24916360794632167,106.79450068369346
2022,F_trend_prior_w100,linear_trend,0.5114727049981269,1.0,0.2494680315260211,0.5,0.6920830799441466,0.5114727049981269,0.0,0.5289204435249241,-0.017447738526797152,0.24916360794632167,0.0
2022,G_prev_year_prior_w075,previous_year_rate,0.5327616072006734,0.75,0.24878222989726692,0.5324856858143385,0.6907071576995325,0.5332936060899396,0.007156099761346284,0.5289204435249241,0.00437316256501552,0.24916360794632167,153.06330334440287
2022,H_history_mean_prior_w075,history_mean_rate,0.5431423520563061,0.75,0.2489109398478301,0.5324856858143385,0.6909644690954932,0.5410791647316641,0.007156099761346284,0.5289204435249241,0.012158721206739997,0.24916360794632167,101.40650176569955
2022,I_platt_weak_trend_w010,linear_trend,0.5114727049981269,0.1,0.2482142805105478,0.5324856858143385,0.6895606573282038,0.5325479129817772,0.025761959140846627,0.5289204435249241,0.003627469456853105,0.24916360794632167,381.00565471759217
2022,J_platt_weak_trend_w020,linear_trend,0.5114727049981269,0.2,0.24824416959322224,0.5324856858143385,0.6896226292841924,0.5302062232058159,0.022899519236308116,0.5289204435249241,0.0012857796808918298,0.24916360794632167,369.00988899530864
2022,K_platt_weak_trend_w030,linear_trend,0.5114727049981269,0.3,0.24830141282232454,0.5324856858143385,0.689739525002768,0.5278645334298547,0.020037079331769597,0.5289204435249241,-0.0010559100950693345,0.24916360794632167,346.03573575755496
2023,A_catboost_raw,none,,0.0,0.2540765927559245,0.5154708686332126,0.7018125133287548,0.5419201905674266,0.06210680490284538,0.49995723449750534,0.04196295606992123,0.24999999817111176,0.0
2023,B_catboost_platt,none,,0.0,0.25267638406318943,0.5154708686332126,0.6987763406570034,0.5311629375524517,0.05538384867760477,0.49995723449750534,0.031205703054946354,0.24999999817111176,0.0
2023,C_platt_trend_w025,linear_trend,0.5129662444084708,0.25,0.2514123792369385,0.5154708686332126,0.6960628887125291,0.5266137642664565,0.04153788650820358,0.49995723449750534,0.02665652976895111,0.24999999817111176,0.0
2023,D_platt_trend_w050,linear_trend,0.5129662444084708,0.5,0.2505731857026524,0.5154708686332126,0.6943142840599225,0.5220645909804613,0.027691924338802385,0.49995723449750534,0.022107356482955975,0.24999999817111176,0.0
2023,E_platt_trend_w075,linear_trend,0.5129662444084708,0.75,0.25015880346033137,0.5154708686332126,0.6934669240938918,0.5175154176944661,0.013845962169401193,0.49995723449750534,0.01755818319696073,0.24999999817111176,0.0
2023,F_trend_prior_w100,linear_trend,0.5129662444084708,1.0,0.2501692325099754,0.5,0.6934857591900527,0.5129662444084708,0.0,0.49995723449750534,0.013009009910965486,0.24999999817111176,0.0
2023,G_prev_year_prior_w075,previous_year_rate,0.5289204435249241,0.75,0.2507221703506668,0.5154708686332126,0.6945980980521068,0.529481067031806,0.013845962169401193,0.49995723449750534,0.02952383253430063,0.24999999817111176,0.0
2023,H_history_mean_prior_w075,history_mean_rate,0.5395365039034485,0.75,0.2512557046989539,0.5154708686332126,0.6956715455480289,0.5374431123156993,0.013845962169401193,0.49995723449750534,0.03748587781819396,0.24999999817111176,0.0
2023,I_platt_weak_trend_w010,linear_trend,0.5129662444084708,0.1,0.2521198047776533,0.5154708686332126,0.6975695853822287,0.5293432682380537,0.04984546380984428,0.49995723449750534,0.029386033740548323,0.24999999817111176,0.0
