valid_year,variant,brier,actual_rate,avg_rate_brier,pseudo_score,pred_mean,pred_std,pred_minus_actual
2022,A_catboost_raw,0.24906209080176053,0.5289204435249241,0.24916360794632167,40.743166868495436,0.5443147913690605,0.05695720532425377,0.015394347844136402
2022,B_catboost_platt,0.24821174557430123,0.5289204435249241,0.24916360794632167,382.0230329244167,0.5348896027577381,0.028624399045385135,0.0059691592328140475
2022,C_platt_trend_w025,0.2482693719394699,0.5289204435249241,0.24916360794632167,358.89511081587113,0.5290353783178353,0.02146829928403885,0.00011493479291124764
2022,D_platt_trend_w050,0.24849796171981278,0.5289204435249241,0.24916360794632167,267.1522667356374,0.5231811538779325,0.014312199522692567,-0.005739289646991552
2022,E_platt_trend_w075,0.2488975149153299,0.5289204435249241,0.24916360794632167,106.79450068369346,0.5173269294380297,0.007156099761346284,-0.011593514086894352
2022,F_trend_prior_w100,0.2494680315260211,0.5289204435249241,0.24916360794632167,0.0,0.5114727049981269,0.0,-0.017447738526797152
2022,G_prev_year_prior_w075,0.24878222989726692,0.5289204435249241,0.24916360794632167,153.06330334440287,0.5332936060899396,0.007156099761346284,0.00437316256501552
2022,H_history_mean_prior_w075,0.2489109398478301,0.5289204435249241,0.24916360794632167,101.40650176569955,0.5410791647316641,0.007156099761346284,0.012158721206739997
2022,I_platt_weak_trend_w010,0.2482142805105478,0.5289204435249241,0.24916360794632167,381.00565471759217,0.5325479129817772,0.025761959140846627,0.003627469456853105
2022,J_platt_weak_trend_w020,0.24824416959322224,0.5289204435249241,0.24916360794632167,369.00988899530864,0.5302062232058159,0.022899519236308116,0.0012857796808918298
2022,K_platt_weak_trend_w030,0.24830141282232454,0.5289204435249241,0.24916360794632167,346.03573575755496,0.5278645334298547,0.020037079331769597,-0.0010559100950693345
2023,A_catboost_raw,0.2540765927559245,0.49995723449750534,0.24999999817111176,0.0,0.5419201905674266,0.06210680490284538,0.04196295606992123
2023,B_catboost_platt,0.25267638406318943,0.49995723449750534,0.24999999817111176,0.0,0.5311629375524517,0.05538384867760477,0.031205703054946354
2023,C_platt_trend_w025,0.2514123792369385,0.49995723449750534,0.24999999817111176,0.0,0.5266137642664565,0.04153788650820358,0.02665652976895111
2023,D_platt_trend_w050,0.2505731857026524,0.49995723449750534,0.24999999817111176,0.0,0.5220645909804613,0.027691924338802385,0.022107356482955975
2023,E_platt_trend_w075,0.25015880346033137,0.49995723449750534,0.24999999817111176,0.0,0.5175154176944661,0.013845962169401193,0.01755818319696073
2023,F_trend_prior_w100,0.2501692325099754,0.49995723449750534,0.24999999817111176,0.0,0.5129662444084708,0.0,0.013009009910965486
2023,G_prev_year_prior_w075,0.2507221703506668,0.49995723449750534,0.24999999817111176,0.0,0.529481067031806,0.013845962169401193,0.02952383253430063
2023,H_history_mean_prior_w075,0.2512557046989539,0.49995723449750534,0.24999999817111176,0.0,0.5374431123156993,0.013845962169401193,0.03748587781819396
2023,I_platt_weak_trend_w010,0.2521198047776533,0.49995723449750534,0.24999999817111176,0.0,0.5293432682380537,0.04984546380984428,0.029386033740548323
2023,J_platt_weak_trend_w020,0.25163119529883143,0.49995723449750534,0.24999999817111176,0.0,0.5275235989236556,0.044307078942083813,0.02756636442615029
2023,K_platt_weak_trend_w030,0.251210555626724,0.49995723449750534,0.24999999817111176,0.0,0.5257039296092575,0.03876869407432334,0.02574669511175215
2024,A_catboost_raw,0.2555164325408653,0.4861049201797189,0.24980692675678798,0.0,0.5332785480993348,0.06568103219750941,0.047173627919615935
2024,B_catboost_platt,0.2500138247696704,0.4861049201797189,0.24980692675678798,0.0,0.49999525244929005,0.012986016692207772,0.013890332269571148
2024,C_platt_trend_w025,0.24992622842284207,0.4861049201797189,0.24980692675678798,0.0,0.49795622906728754,0.009739512519155828,0.011851308887568635
2024,D_platt_trend_w050,0.2498680268874098,0.4861049201797189,0.24980692675678798,0.0,0.49591720568528513,0.006493008346103886,0.009812285505566232
2024,E_platt_trend_w075,0.2498392201633735,0.4861049201797189,0.24980692675678798,0.0,0.4938781823032827,0.003246504173051943,0.007773262123563773
2024,F_trend_prior_w100,0.2498398082507333,0.4861049201797189,0.24980692675678798,0.0,0.4918391589212803,0.0,0.0057342387415613705
2024,G_prev_year_prior_w075,0.24997094657993488,0.4861049201797189,0.24980692675678798,0.0,0.49996673898545146,0.003246504173051943,0.013861818805732562
2024,H_history_mean_prior_w075,0.25119105492191335,0.4861049201797189,0.24980692675678798,0.0,0.5236849462917574,0.003246504173051943,0.037580026112038534
2024,I_platt_weak_trend_w010,0.24997525885357155,0.4861049201797189,0.24980692675678798,0.0,0.49917964309648905,0.011687415022986996,0.013074722916770143
2024,J_platt_weak_trend_w020,0.24994139610729607,0.4861049201797189,0.24980692675678798,0.0,0.4983640337436881,0.010388813353766213,0.012259113563969193
2024,K_platt_weak_trend_w030,0.24991223653084396,0.4861049201797189,0.24980692675678798,0.0,0.49754842439088703,0.009090211684545439,0.011443504211168132
