valid_year,analysis,group,n,actual_rate,prediction_mean,pred_std,model_brier,constant_brier,brier_gain_loss
2022,median_direction,low_half,123736,0.5086555246654167,0.48946214660495796,0.019407131104229845,0.2497389807186156,0.2499330183977933,0.00019403767917769432
2022,median_direction,high_half,123736,0.5491853623844314,0.5334832633912958,0.017500561424100163,0.24721925841388423,0.24900304465424886,0.0017837862403646265
2022,median_direction,high_minus_low,247472,0.04052983771901464,0.044021116786337855,0.028738786938679744,,,
2022,deviation_bucket,0-0.005,40891,0.5341028588197893,0.5116806794773198,0.0028829097766295306,0.24935109216103168,0.24934911888230957,-1.9732787221171666e-06
2022,deviation_bucket,0.005-0.01,40097,0.5269222136319426,0.5125049250095637,0.007521488482372241,0.24949625508468867,0.2495138817301823,1.7626645493623583e-05
2022,deviation_bucket,0.01-0.02,57185,0.5290548220687243,0.5124424801121676,0.014863620253996285,0.24936445986930064,0.2494649481552389,0.00010048828593825498
2022,deviation_bucket,0.02-0.04,68301,0.5245311196029341,0.5120610771561417,0.029434708726109517,0.2489668687945853,0.24956874636301754,0.0006018775684322464
2022,deviation_bucket,0.04+,40998,0.5328308697985268,0.5079228682527186,0.056167327783780516,0.2445671760682611,0.24937830519191317,0.004811129123652086
2023,median_direction,low_half,122762,0.4888727782212737,0.48675159014181973,0.03349218320008168,0.24999384754493773,0.25138166768094544,0.001387820136007717
2023,median_direction,high_half,122763,0.51104160048223,0.568594734640624,0.04096633443048931,0.2549620348183485,0.25015469745430535,-0.004807337364043152
2023,median_direction,high_minus_low,245525,0.022168822260956345,0.08184314449880431,0.05544871193038937,,,
2023,deviation_bucket,0-0.005,25455,0.5026910233745826,0.5279222815393141,0.0028941285856634055,0.2506188503562655,0.250616873990602,-1.9763656635141125e-06
2023,deviation_bucket,0.005-0.01,24604,0.5061372134612259,0.5288570738320061,0.0075096488058413405,0.25042963305393995,0.25042613888605386,-3.4941678860866965e-06
2023,deviation_bucket,0.01-0.02,40002,0.5041247937603119,0.5277807574630641,0.015052988869613216,0.25078252263006023,0.2505375195912379,-0.00024500303882235563
2023,deviation_bucket,0.02-0.04,58270,0.5017676334305817,0.5263749560954517,0.029959281778735514,0.2509849043942353,0.25066798053814576,-0.0003169238560895571
2023,deviation_bucket,0.04+,97194,0.49487622692758815,0.5280426615306668,0.08436513261216332,0.25507626618864254,0.2510493968578453,-0.004026869330797267
2024,median_direction,low_half,126753,0.47676978059690894,0.4786697196376467,0.006730319997423886,0.2493439955357332,0.2495807477275215,0.0002367521917883142
2024,median_direction,high_half,126754,0.49543998611483664,0.49681432019704136,0.011286369605396022,0.2503038392882176,0.2500384644059692,-0.00026537488224837036
2024,median_direction,high_minus_low,253507,0.018670205517927696,0.018144600559394652,0.012986395471073893,,,
2024,deviation_bucket,0-0.005,107120,0.4955190440627334,0.48732393829357384,0.002535401095808304,0.2500333934916911,0.2500404025818121,7.009090120968509e-06
2024,deviation_bucket,0.005-0.01,60217,0.4861417872029493,0.48646305063980727,0.00738115266571983,0.2497834429066605,0.24981051079734884,2.706789068834814e-05
2024,deviation_bucket,0.01-0.02,59217,0.4803519259672054,0.48423772823317285,0.013703578307275723,0.24932642971036487,0.24966856720433625,0.00034213749397138393
2024,deviation_bucket,0.02-0.04,22949,0.4581027495751449,0.49461301817852915,0.027835437039952886,0.24982902034014406,0.24912310887466801,-0.0007059114654760501
2024,deviation_bucket,0.04+,4004,0.4792707292707293,0.5306093451894743,0.012219935593656018,0.2521569038447935,0.24964206070658057,-0.00251484313821293
