valid_year,base_model,calibration,target_rate_estimator,mean_matching,strategy,parameter,cap_type,cap_value,target_rate,actual_rate,constant_brier,model_brier,skill_margin,pseudo_score,auc,logloss,pred_mean,pred_std
2022,catboost,platt,linear_trend_recent3,logit_intercept_shift,temperature,1.75,no_cap,,0.5114727049981269,0.5289204435249241,0.24916360794632167,0.24869872098257925,0.0004648869637424169,186.5789982630888,0.5324856858143385,0.6905405104342079,0.5114727049981268,0.016463954739483446
2022,catboost,platt,linear_trend_recent3,logit_intercept_shift,temperature,2.0,no_cap,,0.5114727049981269,0.5289204435249241,0.24916360794632167,0.24876502254506172,0.0003985854012599488,159.96934887289706,0.5324856858143385,0.6906740429358643,0.5114727049981269,0.014410091945891634
2022,catboost,platt,linear_trend_recent3,logit_intercept_shift,temperature,2.1,no_cap,,0.5114727049981269,0.5289204435249241,0.24916360794632167,0.24878901784722735,0.00037459009909432406,150.33900904783152,0.5324856858143385,0.6907223132122491,0.5114727049981268,0.013725088533314212
2022,catboost,platt,linear_trend_recent3,logit_intercept_shift,temperature,2.2,no_cap,,0.5114727049981269,0.5289204435249241,0.24916360794632167,0.24881165434513322,0.0003519536011884483,141.25401541956765,0.5324856858143385,0.6907678271363626,0.5114727049981268,0.013102204895517553
2022,catboost,platt,linear_trend_recent3,logit_intercept_shift,temperature,2.3,no_cap,,0.5114727049981269,0.5289204435249241,0.24916360794632167,0.24883300681666304,0.00033060112965863087,132.6843564289106,0.5324856858143385,0.6908107409338667,0.5114727049981269,0.012533363482337058
2022,catboost,platt,linear_trend_recent3,logit_intercept_shift,temperature,2.4,no_cap,,0.5114727049981269,0.5289204435249241,0.24916360794632167,0.24885315389316914,0.0003104540531525257,124.59847395507619,0.5324856858143385,0.6908512172076507,0.5114727049981268,0.012011828107959789
2022,catboost,platt,linear_trend_recent3,logit_intercept_shift,temperature,2.5,no_cap,,0.5114727049981269,0.5289204435249241,0.24916360794632167,0.2488721741687899,0.0002914337775317688,116.96482481284086,0.5324856858143385,0.69088941745106,0.5114727049981268,0.011531936781258871
2022,catboost,platt,linear_trend_recent3,logit_intercept_shift,temperature,2.6,no_cap,,0.5114727049981269,0.5289204435249241,0.24916360794632167,0.2488901438964107,0.0002734640499109653,109.75280546181477,0.5324856858143385,0.6909254976640741,0.5114727049981268,0.011088895911362041
2022,catboost,platt,linear_trend_recent3,logit_intercept_shift,temperature,2.75,no_cap,,0.5114727049981269,0.5289204435249241,0.24916360794632167,0.24891528638094435,0.0002483215653773241,99.66205234546973,0.5324856858143385,0.6909759643710947,0.5114727049981269,0.010484654357238374
2022,catboost,platt,linear_trend_recent3,logit_intercept_shift,temperature,3.0,no_cap,,0.5114727049981269,0.5289204435249241,0.24916360794632167,0.24895290363993497,0.0002107043063866998,84.56463932409129,0.5324856858143385,0.6910514409133615,0.5114727049981268,0.009611679212030867
2022,catboost,platt,linear_trend_recent3,logit_intercept_shift,temperature,3.5,no_cap,,0.5114727049981269,0.5289204435249241,0.24916360794632167,0.2490151213527792,0.0001484865935424684,59.594013253515534,0.5324856858143385,0.6911762092245904,0.5114727049981269,0.00823946805749528
2023,catboost,platt,linear_trend_recent3,logit_intercept_shift,temperature,1.75,no_cap,,0.5276733290608981,0.49995723449750534,0.24999999817111176,0.25101671163241124,-0.0010167134612994733,0.0,0.5154708686332126,0.6952251596013611,0.5276733290608981,0.03212856365589922
2023,catboost,platt,linear_trend_recent3,logit_intercept_shift,temperature,2.0,no_cap,,0.5276733290608981,0.49995723449750534,0.24999999817111176,0.2508751645230789,-0.0008751663519671327,0.0,0.5154708686332126,0.694928032586186,0.5276733290608981,0.02816064776630434
2023,catboost,platt,linear_trend_recent3,logit_intercept_shift,temperature,2.1,no_cap,,0.5276733290608981,0.49995723449750534,0.24999999817111176,0.250834792725281,-0.0008347945541692103,0.0,0.5154708686332126,0.6948434687833841,0.5276733290608981,0.026833869488617677
2023,catboost,platt,linear_trend_recent3,logit_intercept_shift,temperature,2.2,no_cap,,0.5276733290608981,0.49995723449750534,0.24999999817111176,0.2508010732720453,-0.0008010751009335515,0.0,0.5154708686332126,0.6947728891636092,0.5276733290608981,0.025626019846027987
2023,catboost,platt,linear_trend_recent3,logit_intercept_shift,temperature,2.3,no_cap,,0.5276733290608981,0.49995723449750534,0.24999999817111176,0.2507727783123434,-0.0007727801412316382,0.0,0.5154708686332126,0.6947136904455493,0.5276733290608981,0.024521848394318466
2023,catboost,platt,linear_trend_recent3,logit_intercept_shift,temperature,2.4,no_cap,,0.5276733290608981,0.49995723449750534,0.24999999817111176,0.25074894000009096,-0.0007489418289791938,0.0,0.5154708686332126,0.6946638265213769,0.527673329060898,0.023508597187247585
2023,catboost,platt,linear_trend_recent3,logit_intercept_shift,temperature,2.5,no_cap,,0.5276733290608981,0.49995723449750534,0.24999999817111176,0.2507287883168091,-0.00072879014569735,0.0,0.5154708686332126,0.6946216736004787,0.527673329060898,0.022575513002164503
2023,catboost,platt,linear_trend_recent3,logit_intercept_shift,temperature,2.6,no_cap,,0.5276733290608981,0.49995723449750534,0.24999999817111176,0.25071170539398796,-0.0007117072228761956,0.0,0.5154708686332126,0.6945859316105764,0.5276733290608981,0.021713469498558045
2023,catboost,platt,linear_trend_recent3,logit_intercept_shift,temperature,2.75,no_cap,,0.5276733290608981,0.49995723449750534,0.24999999817111176,0.25069076777591265,-0.0006907696048008838,0.0,0.5154708686332126,0.6945420984471592,0.5276733290608981,0.020536859097471192
