candidate_id,candidate_type,auc_2023,high_minus_low_actual_rate_2023,skill_2023,pseudo_2023,pred_std_2023,delta_vs_v2_skill_2023
D_high_discrimination_A_C_skill_combo_tuned_catboost_tuned_params,single_model,0.5154105549686989,0.023146319460850384,-0.0005734039164422555,0.0,0.014420885042770134,-5.373736558067499e-06
blend2__A_v2_base__0.0__D_high_discrimination_A_C_skill_combo_tuned_catboost_tuned_params__1.0,two_model_blend,0.5154105549686989,0.023146319460850384,-0.0005734039164422555,0.0,0.014420885042770134,-5.373736558067499e-06
blend2__A_v2_base__0.1__D_high_discrimination_A_C_skill_combo_tuned_catboost_tuned_params__0.9,two_model_blend,0.515343544239011,0.022836778680883907,-0.000572964097841494,0.0,0.014410449337317527,-4.933917957306022e-06
blend2__A_v2_base__0.2__D_high_discrimination_A_C_skill_combo_tuned_catboost_tuned_params__0.8,two_model_blend,0.5153678217886911,0.022364321700935053,-0.0005724137451606215,0.0,0.014399014435969453,-4.383565276433465e-06
blend2__A_v2_base__0.3__D_high_discrimination_A_C_skill_combo_tuned_catboost_tuned_params__0.7,two_model_blend,0.5153364048234227,0.022478363040922822,-0.0005718351686230527,0.0,0.014386814436957808,-3.804988738864701e-06
blend2__A_v2_base__0.4__D_high_discrimination_A_C_skill_combo_tuned_catboost_tuned_params__0.6,two_model_blend,0.5153653007927718,0.022592404380910425,-0.0005712436415939159,0.0,0.014373908532958446,-3.213461709727916e-06
B_tuned_base,single_model,0.5144933886451043,0.021093575341072868,-0.0005889935297206661,0.0,0.014461256019859123,-2.0963349836478073e-05
blend2__A_v2_base__0.0__B_tuned_base__1.0,two_model_blend,0.5144933886451043,0.021093575341072868,-0.0005889935297206661,0.0,0.014461256019859123,-2.0963349836478073e-05
blend2__B_tuned_base__1.0__C_stable_reconstructed_A_recent_vs_longterm_v2_params__0.0,two_model_blend,0.5144933886451043,0.021093575341072868,-0.0005889935297206661,0.0,0.014461256019859123,-2.0963349836478073e-05
blend2__B_tuned_base__0.9__C_stable_reconstructed_A_recent_vs_longterm_v2_params__0.1,two_model_blend,0.514701141488267,0.021109866961071144,-0.0005851981117432625,0.0,0.014456541609407618,-1.7167931859074503e-05
